Charge Code,Charge Code Description,HCPCS Code, June 2019 Prices 
453233,CABLE ORTHO/SPINE 0304,L8699," 2,982.83 "
453308,CAGE/SPACER SPINE 0204,L8699," 8,351.67 "
453316,CAGE/SPACER SPINE 03,L8699," 10,737.70 "
453324,CAGE/SPACER SPINE 0404,L8699," 13,123.71 "
453332,CAGE/SPACER SPINE 0504,L8699," 15,509.74 "
453340,CATH SPEC/OTHER 02 04,Z7610, 358.08 
453357,CATH SPEC/OTHER 03 04,Z7610, 716.16 
453365,CATH SPEC/OTHER 04,Z7610," 1,193.61 "
453373,CATH SPEC/OTHER 05 04,Z7610," 1,669.86 "
453381,CATH SPEC/OTHER 06 04,Z7610," 2,147.30 "
453399,CATH SPEC/OTHER 07 04,Z7610," 2,624.74 "
453456,CATH TRN ANG OTH 02,C1725, 491.73 
453464,CATH TRN ANG OTH 03,C1725, 819.55 
453472,CATH TRN ANG OTH 04,C1725," 7,303.43 "
453605,BONE CEMENT/FILL/PUTTY 02,L8699, 716.16 
453613,BONE CEMENT/FILL/PUTTY 0304,L8699," 1,193.61 "
453621,BONE CEMENT/FILL/PUTTY 04,L8699," 1,669.86 "
453639,BONE CEMENT/FILL/PUTTY 0504,L8699," 2,147.30 "
453647,BONE CEMENT/FILL/PUTTY 06,L8699," 3,579.62 "
453654,BONE CEMENT/FILL/PUTTY 07,L8699," 5,965.65 "
453662,BONE CEMENT/FILL/PUTTY 0804,L8699," 6,391.09 "
453670,BONE CEMENT/FILL/PUTTY 09,L8699," 8,216.95 "
453787,IMP CLIP CARDIAC/NEURO 02 04,L8699, 358.08 
453795,IMP CLIP CARDIAC/NEURO 0304,L8699, 716.16 
453803,IMP CLIP CARDIAC/NEURO 0404,L8699," 1,193.61 "
453811,IMP CLIP CARDIAC/NEURO 05 04,L8699," 1,669.86 "
453829,IMP CLIP CARDIAC/NEURO 06 04,L8699," 2,147.30 "
453837,IMP CLIP CARDIAC/NEURO 07 04,L8699," 2,982.83 "
453845,IMP CLIP CARDIAC/NEURO 08 04,L8699," 4,175.25 "
453852,IMP CLIP CARDIAC/NEURO 09 04,L8699," 5,965.65 "
453860,IMP CLIP CARDIAC/NEURO 10 04,L8699," 8,351.67 "
453878,IMP CLIP CARDIAC/NEURO 11 04,L8699," 10,737.70 "
453886,CONNECTOR SPINE 02,L8699," 2,982.83 "
453894,CONNECTOR SPINE 03,L8699," 4,175.25 "
453902,CONNECTOR SPINE 04,L8699," 5,368.84 "
453910,CONNECTOR SPINE 05,L8699," 6,561.26 "
453928,CONNECTOR SPINE 0604,L8699," 7,754.86 "
453936,CONNECTOR SPINE 0704,L8699," 8,947.29 "
453944,CONNECTOR SPINE 08 04,L8699," 10,737.70 "
453951,DEVICE EXT FIX 0304,L8699, 716.16 
453969,DEVICE EXT FIX 0404,L8699," 1,193.61 "
453977,DEVICE EXT FIX 0504,L8699," 1,669.86 "
453985,DEVICE EXT FIX 06,L8699," 2,147.30 "
453993,DEVICE EXT FIX 0704,L8699," 2,982.83 "
454009,DEVICE EXT FIX 0804,L8699," 4,175.25 "
454017,DEVICE EXT FIX 09,L8699," 5,368.91 "
454025,DEVICE EXT FIX 10,L8699," 6,561.26 "
454033,DEVICE EXT FIX 11,L8699," 8,351.67 "
454041,DEVICE EXT FIX 1204,L8699," 10,737.70 "
454058,DEVICE EXT FIX 13,L8699," 13,123.71 "
454074,GEN NEUROSTM NON 0304,L8699," 47,862.26 "
454082,GEN NEUROSTM NON 04,L8699," 62,043.67 "
454090,GEN NEUROSTM NON 05 04,L8699," 69,525.00 "
454116,GRAFT VASC ALLO/XEN 02,L8699, 662.20 
454124,GRAFT VASC ALLO/XEN 0304,L8670," 1,193.61 "
454132,GRAFT VASC ALLO/XEN 04 04,L8670," 1,669.86 "
454140,GRAFT VASC ALLO/XEN 05,L8670," 2,147.30 "
454157,GRAFT VASC ALLO/XEN 06 04,L8670," 2,624.74 "
454165,GRAFT VASC ALLO/XEN 07 04,L8670," 3,102.18 "
454173,GRAFT VASC ALLO/XEN 08 04,L8670," 3,579.62 "
454181,GRAFT VASC ALLO/XEN 09 04,L8670," 4,055.88 "
454199,GRAFT VASC ALLO/XEN 10 04,L8670," 4,533.32 "
454207,GRAFT VASC ALLO/XEN 11 04,L8670," 5,965.65 "
454215,GRAFT VASC ALLO/XEN 12 04,L8670," 8,351.67 "
454223,GRAFT VASC ALLO/XEN 13 04,L8670," 10,737.70 "
454231,GRAFT VASC ALLO/XEN 14 04,L8670," 13,123.71 "
454371,GRAFT VASC SYN 02,L8699, 716.16 
454389,GRAFT VASC SYN 03,L8699," 1,193.61 "
454397,GRAFT VASC SYN 04,L8699," 1,669.86 "
454405,GRAFT VASC SYN 0504,L8699," 2,147.30 "
454413,GRAFT VASC SYN 06,L8699," 2,624.74 "
454421,GRAFT VASC SYN 0704,L8699," 3,102.18 "
454439,GRAFT VASC SYN 08,L8699," 3,579.62 "
454447,GRAFT VASC SYN 09,L8699," 4,055.88 "
454454,GRAFT VASC SYN 1004,L8699," 4,533.32 "
454462,GRAFT VASC SYN 1104,L8699," 5,965.65 "
454470,GRAFT VASC SYN 12,L8699," 8,351.67 "
454488,GRAFT VASC SYN 13,L8699," 10,737.70 "
454496,GRAFT VASC SYN 14,L8699," 13,123.71 "
454504,GUIDEWIRE 0304,C1769, 716.16 
454512,GUIDEWIRE 04,C1769," 1,193.61 "
454520,GUIDEWIRE 05,C1769," 1,669.86 "
454538,GUIDEWIRE 06,C1769," 2,147.30 "
454546,GUIDEWIRE 07,C1769," 2,624.74 "
454553,GRAFT VASC ALLO/XEN 15 04,L8670," 16,702.16 "
454561,GRAFT VASC ALLO/XEN 16,L8670," 21,474.20 "
454579,GRAFT VASC ALLO/XEN 17,L8670," 29,825.87 "
454587,GRAFT VASC SYN 15 04,L8699," 16,702.16 "
454595,GRAFT VASC SYN 16 04,L8699," 21,474.20 "
454603,IMP BREAST PROSTH 03,L8699," 5,965.65 "
454611,IMP BREAST PROSTH 04,L8699," 8,351.67 "
454629,IMP BREAST PROSTH 05 04,L8699," 10,737.70 "
454637,IMP BREAST PROSTH 06 04,L8699," 13,123.71 "
454645,IMP EAR PROSTH 03,L8699, 596.80 
454652,IMP EAR PROSTH 04,L8699, 835.53 
454660,IMP EAR PROSTH 0504,L8699," 1,074.24 "
454835,ANCHOR/SCREW BONE 10,L8699," 4,055.88 "
455048,IMP PENILE INFL 02,L8699," 25,481.79 "
455055,IMP PENILE INFL 03,L8699," 30,114.84 "
455063,IMP PENILE INFL 0404,L8699," 34,747.90 "
455071,IMP PENILE INFL 05 04,L8699," 39,380.95 "
455089,IMP PENILE INFL 06 04,L8699," 44,014.00 "
455097,IMP PENILE INFL 07 04,L8699," 57,913.16 "
455105,IMP PENILE N-INFL 0204,L8699," 25,481.79 "
455113,IMP PENILE N-INFL 03 04,L8699," 30,114.84 "
455121,IMP PENILE N-INFL 04 04,L8699," 34,747.90 "
455139,IMP PENILE N-INFL 05 04,L8699," 39,380.95 "
455147,IMP PENILE N-INFL 06 04,L8699," 44,014.00 "
455154,IMP PENILE N-INFL 07 04,L8699," 57,913.16 "
455170,IMP TESTICULAR 04,L8699," 5,738.74 "
455238,LEAD AICD DUAL 07 04,C1895," 3,221.55 "
455287,LEAD AICD OTHER 06 04,C1896," 1,095.52 "
455295,LEAD AICD OTHER 07 04,C1896," 2,282.03 "
455345,LEAD AICD SNGL 06 04,C1777," 2,009.04 "
455436,LEAD NEUROSTM 03,C1778, 885.77 
455444,LEAD NEUROSTM 04 04,C1778," 1,241.45 "
455451,LEAD NEUROSTM 05 04,C1778," 1,548.94 "
455469,LEAD NEUROSTM 06 04,C1778," 1,699.50 "
455485,LEAD NEUROSTM KT 02 04,C1897, 532.38 
455493,LEAD NEUROSTM KT 03 04,C1897, 886.91 
455501,LEAD NEUROSTM KT 04 04,C1897," 1,241.45 "
455519,LEAD NEUROSTM KT 05 04,C1897," 1,595.99 "
455576,LEAD PCMKR NSNGL 0504,C1898," 1,432.22 "
455584,LEAD PCMKR NSNGL 06,C1898," 2,009.04 "
455592,LEAD PCMKR NSNGL 07,C1898," 2,465.20 "
455618,LEAD PCMKR TSNGL 03 04,C1779, 912.34 
455709,LEAD PCMKR/AICD 06 04,C1899," 1,857.09 "
455725,LENS IOL 0204,Z7610, 463.50 
455782,MESH SYN 0304,L8699, 716.16 
455790,MESH SYN 04,L8699," 1,193.61 "
455808,MESH SYN 05,L8699," 1,669.86 "
455816,MESH SYN 06,L8699," 2,147.30 "
455824,MESH SYN 0704,L8699," 2,982.83 "
455832,MESH SYN 08,L8699," 4,175.25 "
455840,MESH SYN 09,L8699," 5,965.65 "
455857,MESH SYN 1004,L8699," 8,351.67 "
455865,MESH SYN 11,L8699," 10,737.70 "
455873,MESH SYN 12,L8699," 13,123.71 "
455881,MESH SYN 13,L8699," 15,509.74 "
455899,MESH SYN 14 04,L8699," 17,895.75 "
455907,MESH WIRE 02 04,L8699, 716.16 
455915,MESH WIRE 03 04,L8699," 1,193.61 "
455923,MESH WIRE 04 04,L8699," 1,669.86 "
455931,MESH WIRE 05 04,L8699," 2,147.30 "
455949,MESH WIRE 06,L8699," 2,982.83 "
455956,MESH WIRE 07,L8699," 4,175.25 "
455964,MESH WIRE 0804,L8699," 5,965.65 "
455972,MESH WIRE 09 04,L8699," 8,351.67 "
455980,MESH WIRE 10 04,L8699," 10,737.70 "
455998,MESH WIRE 11 04,L8699," 13,123.71 "
456004,MESH WIRE 12 04,L8699," 15,509.74 "
456012,MESH WIRE 13 04,L8699," 17,895.75 "
456137,PCMKR DUAL RR 03,C1785," 26,246.24 "
456145,PCMKR DUAL RR 0404,C1785," 31,018.29 "
456186,PCMKR OTHER 03 04,C2621," 20,084.41 "
456236,PCMKR SNGL NON-RR 03 04,C2620," 26,246.24 "
456285,PCMKR SNGL RR 0304,C1786," 20,084.41 "
456350,STENT NON-COR TEMP W/ 02,L8699, 716.16 
456368,STENT NON-COR TEMP W/ 03,L8699," 1,193.61 "
456376,STENT NON-COR TEMP W/ 04 04,L8699," 1,669.86 "
456384,STENT NON-COR TEMP W/ 05 04,L8699," 2,147.30 "
456392,STENT NON-COR TEMP W/ 06 04,L8699," 2,624.74 "
456400,STENT NON-COR TEMP W/ 07 04,L8699," 3,102.18 "
456418,STENT NON-COR TEMP W/ 08 04,L8699," 3,579.62 "
456426,STENT NON-COR TEMP W/ 09,L8699," 4,055.88 "
456434,STENT NON-COR TEMP W/ 10 04,L8699," 4,533.32 "
456442,STENT NON-COR TEMP W/ 1104,L8699," 5,965.65 "
456459,STENT NON-COR TEMP W/ 12 04,L8699," 8,351.67 "
456467,STENT NON-COR TEMP W/ 13 04,L8699," 10,737.70 "
456475,STENT NON-COR TEMP WO 02,L8699, 716.16 
456483,STENT NON-COR TEMP WO 03,L8699," 1,193.61 "
456491,STENT NON-COR TEMP WO 04 04,L8699," 1,669.86 "
456509,STENT NON-COR TEMP WO 05 04,L8699," 2,147.30 "
456517,STENT NON-COR TEMP WO 06 04,L8699," 2,624.74 "
456525,STENT NON-COR TEMP WO 07 04,L8699," 3,102.18 "
456533,STENT NON-COR TEMP WO 08 04,L8699," 3,579.62 "
456541,STENT NON-COR TEMP WO 09 04,L8699," 4,055.88 "
456558,STENT NON-COR TEMP WO 10 04,L8699," 4,533.32 "
456566,STENT NON-COR TEMP WO 11 04,L8699," 5,965.65 "
456574,STENT NON-COR TEMP WO 12 04,L8699," 8,351.67 "
456582,STENT NON-COR TEMP WO 13 04,L8699," 10,737.70 "
456590,TISS CONN HUMAN 02,L8699," 1,669.86 "
456608,TISS CONN HUMAN 03,L8699," 2,147.30 "
456616,TISS CONN HUMAN 04,L8699," 2,624.74 "
456624,TISS CONN HUMAN 05,L8699," 3,340.90 "
456632,TISS CONN HUMAN 06,L8699," 4,055.88 "
456640,TISS CONN HUMAN 07,L8699," 4,533.32 "
456715,VALVE CARDIAC 0304,L8699," 21,474.20 "
