Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
BL019072,,PLATELETS PHERES PASC LEURED PATHRED,"$1,769.00",,,,,,,,,,,,,,,,,,,,,,,,
BL072103,,FRESH FROZEN PLASMA(FFP),$239.00,,,,,,,,,,,,,,,,,,,,,,,,
BL072154,,CRYO POOR PLASMA,$298.00,,,,,,,,,,,,,,,,,,,,,,,,
BL072251,,CRYOPRECIPITATE,$184.00,,,,,,,,,,,,,,,,,,,,,,,,
BL072262,,PLATELETS IRRADIATED - VOL REDUCED,$420.00,,,,,,,,,,,,,,,,,,,,,,,,
BL072460,,PLATELET RANDOM-LEUKO REDUCED,$381.00,,,,,,,,,,,,,,,,,,,,,,,,
BL073001,,COMPATIBILITY-37,$64.00,,,,,,,,,,,,,,,,,,,,,,,,
BL073003,,COMPATIBILITY-AHG,$113.00,,,,,,,,,,,,,,,,,,,,,,,,
BL073053,,BLOOD (WHOLE) TRANSFUSION,$474.00,,,,,,,,,,,,,,,,,,,,,,,,
BL073055,,POOLED COMPONENT FEE,$437.00,,,,,,,,,,,,,,,,,,,,,,,,
BL073100,,THERAPEUTIC PHLEBOTOMY                                    01,$231.00,,,,,,,,,,,,,,,,,,,,,,,,
BL073401,,WASHED RBC'S,$727.00,,,,,,,,,,,,,,,,,,,,,,,,
BL078102,,DAT-ANTI-IGG,$97.00,,,,,,,,,,,,,,,,,,,,,,,,
BL078103,,DAT-ANTI COMPLEMENT,$97.00,,,,,,,,,,,,,,,,,,,,,,,,
BL079019,,PLASMA EXCHANGE,"$5,631.00",,,,,,,,,,,,,,,,,,,,,,,,
BL086003,,IGE PEANUT CONPONENT PROFILE,$14.00,,,,,,,,,,,,,,,,,,,,,,,,
BL086030,,IMMUNE AB TITER-AHG PREVIOUS,$199.00,,,,,,,,,,,,,,,,,,,,,,,,
BL086032,,IMMUNE AB TITER-AHG,$199.00,,,,,,,,,,,,,,,,,,,,,,,,
BL086252,,IRRADIATION EA UNIT,$168.00,,,,,,,,,,,,,,,,,,,,,,,,
BL086317,,"HBIG (HBS AB MONITOR, POST-TRANSPLANT SERUM)",$189.00,,,,,,,,,,,,,,,,,,,,,,,,
BL086341,,ZNT8 ANTIBODIES,$439.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087140,,LEUKO REDUCED IRRADIATED RBC,$687.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087210,,HPC ABO TYPE,$25.00,,,,,,,,,,,,,,,,,,,,,,,,
