Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
PI004156,*,ELETRIPTAN 40 MG TAB,$237.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004162,*,FACTOR IX CONC (RECOMBINANT),$5.10,,,,,,,,,,,,,,,,,,,,,,,,
PI004164,*,D12.5W,$57.08,,,,,,,,,,,,,,,,,,,,,,,,
PI004165,*,D7.5W,$0.41,,,,,,,,,,,,,,,,,,,,,,,,
PI004167,*,CALCIUM CARB 500MG/5ML (ELEMEN,$57.41,,,,,,,,,,,,,,,,,,,,,,,,
PI004168,*,DIPHTH/HEPB/PERTUSSISACEL/POL,$251.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004170,*,APREPITANT 80 MG CAP,$72.01,,,,,,,,,,,,,,,,,,,,,,,,
PI004171,*,DOCUSATE/SENNA 50 MG/8.6 MG TA,$1.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004175,*,BICALUTAMIDE 50 MG TAB,$104.75,,,,,,,,,,,,,,,,,,,,,,,,
PI004179,*,D5W 1/2NS 500ML,$67.18,,,,,,,,,,,,,,,,,,,,,,,,
PI004182,*,ACETAZOLAMIDE 30MG/ML,$66.92,,,,,,,,,,,,,,,,,,,,,,,,
PI004183,*,ACETYLCYSTEINE 20% ORAL SOLN 4,$61.42,,,,,,,,,,,,,,,,,,,,,,,,
PI004185,*,ALBUTEROL 0.5% SOLN FOR CONTIN,$2.45,,,,,,,,,,,,,,,,,,,,,,,,
PI004187,*,ALLOPURINOL 20 MG/ML,$13.38,,,,,,,,,,,,,,,,,,,,,,,,
PI004188,*,AMIODARONE 5 MG/ML,$14.43,,,,,,,,,,,,,,,,,,,,,,,,
PI004189,*,AMLODIPINE 1 MG/ML LIQ,$37.37,,,,,,,,,,,,,,,,,,,,,,,,
PI004192,*,ARIPIPRAZOLE 20 MG TAB,$81.61,,,,,,,,,,,,,,,,,,,,,,,,
PI004193,*,ARIPIPRAZOLE 30 MG TAB,$230.10,,,,,,,,,,,,,,,,,,,,,,,,
PI004195,*,AZATHIOPRINE 50 MG/ML,$101.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004196,*,PROPOFOL 10MG/ML 100ML VIAL,$1.03,,,,,,,,,,,,,,,,,,,,,,,,
PI004198,*,PROPOFOL 10MG/ML 20ML IVPUSH,$3.03,,,,,,,,,,,,,,,,,,,,,,,,
PI004199,*,PROPOFOL 10MG/ML 50ML VIAL,$1.59,,,,,,,,,,,,,,,,,,,,,,,,
PI004203,*,MORPHINE 25MG/ML PF 20ML AMP,$8.20,,,,,,,,,,,,,,,,,,,,,,,,
PI004204,*,VALSARTAN 320 MG TAB,$61.44,,,,,,,,,,,,,,,,,,,,,,,,
PI004206,*,HYDROCORTISONE 2.5 MG/ML LIQ,$80.15,,,,,,,,,,,,,,,,,,,,,,,,
PI004212,*,GLIMEPIRIDE 4MG TAB,$44.95,,,,,,,,,,,,,,,,,,,,,,,,
PI004216,*,TERAZOSIN 5MG CAP,$33.96,,,,,,,,,,,,,,,,,,,,,,,,
PI004225,*,ADDERALL 10 MG TAB,$52.54,,,,,,,,,,,,,,,,,,,,,,,,
PI004229,*,ALBUTEROL CONT NEB 1MG/ML,$4.61,,,,,,,,,,,,,,,,,,,,,,,,
PI004230,*,ECULIZUMAB 300MG/30ML VIAL,$336.70,,,,,,,,,,,,,,,,,,,,,,,,
PI004234,*,DEXAMETH/NEOMY/POLY B OPHTH SUSP 5ML,$67.85,,,,,,,,,,,,,,,,,,,,,,,,
PI004235,*,DEXAMETH/NEOMY/POLY B OPHTH OINT 3.5GM,$59.23,,,,,,,,,,,,,,,,,,,,,,,,
PI004236,*,POTASSIUM CHLORIDE 20 MEQ/7.5ML LIQ,$41.95,,,,,,,,,,,,,,,,,,,,,,,,
PI004237,*,ALUM 1% STERILE IRRIGATION SOLUTION,$111.70,,,,,,,,,,,,,,,,,,,,,,,,
PI004240,*,LIDOCAINE 2% (LOCAL) 10ML VIAL,$3.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004242,*,BACLOFEN 1MG/ML 20ML (20MG) KIT,$660.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004243,*,VERAPAMIL 240MG ER CAPSULE (24 HR RELEASE),$60.35,,,,,,,,,,,,,,,,,,,,,,,,
PI004244,*,VERAPAMIL 180MG ER CAPSULE (24 HR RELEASE),$60.30,,,,,,,,,,,,,,,,,,,,,,,,
PI004250,*,PYRIDOSTIGMINE 12 MG/ML SYRUP,$16.15,,,,,,,,,,,,,,,,,,,,,,,,
PI004251,*,CABERGOLINE 0.5MG TABLET,$35.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004258,*,CARFILZOMIB 60MG INJ,$70.81,,,,,,,,,,,,,,,,,,,,,,,,
PI004259,*,GLUTAMINE 5G PKT,$40.64,,,,,,,,,,,,,,,,,,,,,,,,
PI004261,*,PROPRANOLOL 60MG LA CAP,$60.75,,,,,,,,,,,,,,,,,,,,,,,,
PI004263,*,PROPRANOLOL 120MG LA CAP,$60.70,,,,,,,,,,,,,,,,,,,,,,,,
PI004264,*,LEUPROLIDE DEP 45MG 6MONTH KIT,"$2,595.72",,,,,,,,,,,,,,,,,,,,,,,,
PI004265,*,LEVETIRACETAM 1000MG/NACL 0.75% 100ML PREMIX,$89.56,,,,,,,,,,,,,,,,,,,,,,,,
PI004266,*,MOXIFLOXACIN 400MG TAB,$78.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004269,*,FIDAXOMICIN 200MG TAB,"$1,100.70",,,,,,,,,,,,,,,,,,,,,,,,
PI004271,*,HYDROXOCOBALAMIN 5G KIT,"$3,575.00",,,,,,,,,,,,,,,,,,,,,,,,
PI004272,*,NITROGLYCERIN DILUTION 50MCG/ML 10ML VIAL,$62.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004277,*,OCTREOTIDE LAR DEPOT 10MG INJ,$294.11,,,,,,,,,,,,,,,,,,,,,,,,
PI004278,*,OCTREOTIDE LAR DEPOT 20MG INJ,$381.99,,,,,,,,,,,,,,,,,,,,,,,,
PI004279,*,OCTREOTIDE LAR DEPOT 30MG INJ,$360.40,,,,,,,,,,,,,,,,,,,,,,,,
PI004285,*,EPOPROSTENOL 0.5MG (VELETRI),$223.70,,,,,,,,,,,,,,,,,,,,,,,,
PI004286,*,METHADONE 0.5MG/0.5ML INJ,$176.89,,,,,,,,,,,,,,,,,,,,,,,,
PI004287,*,LIDOCAINE 2% TOP JELLY 10ML,$63.23,,,,,,,,,,,,,,,,,,,,,,,,
PI004289,*,CLOBAZAM 10MG TAB,$73.72,,,,,,,,,,,,,,,,,,,,,,,,
PI004294,*,EXEMESTANE 25MG TAB,$104.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004295,*,PENTOSTATIN 10MG VIAL,"$9,341.40",,,,,,,,,,,,,,,,,,,,,,,,
PI004296,*,IMMUNE GLOBULIN 10% ORDERS (GAMMAGARD),$324.95,,,,,,,,,,,,,,,,,,,,,,,,
PI004297,*,IMMUNE GLOBULIN 10% ORDERS (GAMUNEX-C),$180.50,,,,,,,,,,,,,,,,,,,,,,,,
PI004298,*,IMMUNE GLOBULIN 5% ORDERS (FLEBOGAMA),$153.55,,,,,,,,,,,,,,,,,,,,,,,,
PI004302,*,TRAMADOL 50MG/10 ML ORAL LIQ,$38.20,,,,,,,,,,,,,,,,,,,,,,,,
PI004303,*,CRRT PRISMASOL B22GK 4K/0CA 5L,$433.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004304,*,INDOMETHACINC50MG RECTAL SUPP,$41.35,,,,,,,,,,,,,,,,,,,,,,,,
PI004305,*,CHLOROTHIAZIDE 500MG INJ,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004306,*,ATENOLOL 2MG/ML SUSP,$19.83,,,,,,,,,,,,,,,,,,,,,,,,
PI004308,*,DARUNAVIR 800MG TAB,$234.90,,,,,,,,,,,,,,,,,,,,,,,,
PI004309,*,PERTUZUMAB 420MG/14ML INJ,$23.23,,,,,,,,,,,,,,,,,,,,,,,,
PI004312,*,CHLOROTHIAZIDE 10MG INJ,$492.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004314,*,METHOTREXATE 50MG PF VIAL,$18.88,,,,,,,,,,,,,,,,,,,,,,,,
PI004317,*,RITONAVIR 100MG TAB,$68.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004320,*,VASOPRESSIN 20 UNTIS/ML INJ (INTERMITT/ADD),"$1,136.68",,,,,,,,,,,,,,,,,,,,,,,,
PI004321,*,ESMOLOL 2500MG/250ML,"$1,931.18",,,,,,,,,,,,,,,,,,,,,,,,
PI004322,*,ESMOLOL 2000MG/100ML,"$2,160.75",,,,,,,,,,,,,,,,,,,,,,,,
PI004324,*,VERAPAMIL 10MG/4ML VIAL,$51.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004325,*,TRIAMCINOLONE 0.025% CRM 15GM,$62.55,,,,,,,,,,,,,,,,,,,,,,,,
PI004326,*,ALBUTEROL-IPRATROPIUM 100MCG-20MG MDI,"$1,258.00",,,,,,,,,,,,,,,,,,,,,,,,
PI004334,*,APIXABAN 2.5MG TAB,$60.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004335,*,APIXABAN 5MG TAB,$56.03,,,,,,,,,,,,,,,,,,,,,,,,
PI004336,*,CLOZAPINE 200MG TAB,$47.54,,,,,,,,,,,,,,,,,,,,,,,,
PI004337,*,BELATACEPT 250MG INJ,$17.81,,,,,,,,,,,,,,,,,,,,,,,,
PI004340,*,PREDNISOLONE 15MG/5ML ORAL LIQ,$19.57,,,,,,,,,,,,,,,,,,,,,,,,
PI004341,*,PREDNISOLONE 22.5MG/7.5ML ORAL LIQ,$13.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004342,*,PREDNISOLONE 30MG/10ML ORAL LIQ,$9.27,,,,,,,,,,,,,,,,,,,,,,,,
PI004343,*,PREDNISOLONE 37.5MG/12.5ML ORAL LIQ,$10.06,,,,,,,,,,,,,,,,,,,,,,,,
PI004346,*,TROSPIUM 60MG SR CAP,$65.95,,,,,,,,,,,,,,,,,,,,,,,,
PI004348,*,IOHEXOL 300MG/ML 10ML INJ,$2.62,,,,,,,,,,,,,,,,,,,,,,,,
PI004349,*,HYDROCORTISONE 2.5% RECTAL CREAM 2/APP,$80.43,,,,,,,,,,,,,,,,,,,,,,,,
PI004356,*,GUAIFEN/DM 200-20MG/10ML UD CUP,$52.73,,,,,,,,,,,,,,,,,,,,,,,,
PI004359,*,IRBESARTAN 75MG TAB,$60.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004360,*,METFORMIN HCL 1000MG TAB,$55.75,,,,,,,,,,,,,,,,,,,,,,,,
PI004363,*,LABETALOL HCL 5MG/ML VIAL 40ML,$338.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004365,*,BISOPROLOL FUMARATE 5MG TABS 100 EA,$40.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004369,*,ENTACAPONE 200MG TABS,$62.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004370,*,ENTECAVIR 0.5MG TABS 30 EA,$233.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004371,*,ENTECAVIR 1MG TABS 30 EA,$233.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004373,*,ETHACRYNIC ACID 25MG TABS 100 EA,$106.92,,,,,,,,,,,,,,,,,,,,,,,,
PI004378,*,METHYLPREDNISOLONE 4MG TABS 21 EA,$20.42,,,,,,,,,,,,,,,,,,,,,,,,
PI004382,*,RAMELTEON 8MG TABS 30 EA,$67.25,,,,,,,,,,,,,,,,,,,,,,,,
PI004383,*,RIVASTIGMINE 4.6MG/24HR PTCH 30 EA,$29.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004384,*,RIVASTIGMINE 9.5MG/24HR PTCH 30 EA,$69.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004385,*,SAXAGLIPTIN 2.5MG TABS 30 EA,$38.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004387,*,SELENIUM 50MCG TAB,$29.08,,,,,,,,,,,,,,,,,,,,,,,,
PI004390,*,TELMISARTAN 20MG TABS 30 EA,$34.34,,,,,,,,,,,,,,,,,,,,,,,,
PI004391,*,THYROID 90MG TABS 100 EA,$55.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004395,*,HEPARIN FLUSH 10UNITS/ML 3ML SYR,$42.45,,,,,,,,,,,,,,,,,,,,,,,,
PI004396,*,MESALAMINE 0.375GM CAP-SR,$17.99,,,,,,,,,,,,,,,,,,,,,,,,
PI004397,*,ADO-TRASTUZUMAB EMTANSINE (KADCYLA) 100 MG VIAL,$60.60,,,,,,,,,,,,,,,,,,,,,,,,
PI004398,*,ADO-TRASTUZUMAB EMTANSINE (KADCYLA) 160 MG VIAL,$61.85,,,,,,,,,,,,,,,,,,,,,,,,
PI004399,*,PANCRELIPASE (VIOKACE) TAB,$23.62,,,,,,,,,,,,,,,,,,,,,,,,
PI004400,*,EMTRICIT-RILPIVIR-TENOFVR 200-25-300 TAB,$261.60,,,,,,,,,,,,,,,,,,,,,,,,
PI004401,*,CANDESARTAN 32MG/HCTZ 25MG,$64.20,,,,,,,,,,,,,,,,,,,,,,,,
PI004405,*,CETIRIZINE 5MG/5ML SYRUP,$42.85,,,,,,,,,,,,,,,,,,,,,,,,
PI004407,*,FERRIC SUBSULFATE TOPICAL SOLUTION (MONSEL'S) 8ML,$72.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004408,*,NYSTATIN 100000 UNITS/1ML PKG SUSP,$58.12,,,,,,,,,,,,,,,,,,,,,,,,
PI004409,*,LACTULOSE PER ML PKG SYRUP,$8.41,,,,,,,,,,,,,,,,,,,,,,,,
PI004410,*,SENNA CONC PER ML PKG SYRUP,$12.59,,,,,,,,,,,,,,,,,,,,,,,,
PI004411,*,MILK OF MAGNESIA TRIPLE CONC PER ML PKG SYR,$27.54,,,,,,,,,,,,,,,,,,,,,,,,
PI004412,*,LEVETIRACETAM 100MG/ML PKG ORAL LIQ,$18.88,,,,,,,,,,,,,,,,,,,,,,,,
PI004413,*,LIDOCAINE 2% VISCOUS PER ML PKG SOLN,$20.02,,,,,,,,,,,,,,,,,,,,,,,,
PI004414,*,MULTIVITAMIN PER ML PKG LIQ,$20.14,,,,,,,,,,,,,,,,,,,,,,,,
PI004416,*,NALOXONE 1MG/ML PKG ORAL LIQ,$100.10,,,,,,,,,,,,,,,,,,,,,,,,
PI004417,*,POTASSIUM CHLORIDE 2.67MEQ/1ML PKG SOLN,$33.16,,,,,,,,,,,,,,,,,,,,,,,,
PI004418,*,FAMOTIDINE 8MG/ML PKG SUSP,$77.18,,,,,,,,,,,,,,,,,,,,,,,,
PI004419,*,PHENYTOIN 25MG/ML PKG SUSP,$28.33,,,,,,,,,,,,,,,,,,,,,,,,
PI004422,*,CALCIUM CARB 100MG/ML (ELEMENTAL) PKG SUSP,$47.31,,,,,,,,,,,,,,,,,,,,,,,,
PI004423,*,DOCUSATE 10MG/ML PKG LIQ,$26.49,,,,,,,,,,,,,,,,,,,,,,,,
PI004424,*,FERROUS SULF 15MG/1ML (ELEMENTAL IRON) PKG LIQ,$71.42,,,,,,,,,,,,,,,,,,,,,,,,
PI004425,*,SODIUM CHLORIDE 4MEG/ML PKG ORAL LIQ,$23.60,,,,,,,,,,,,,,,,,,,,,,,,
PI004426,*,ASCORBIC ACID 100MG/ML PKG SOLN,$36.29,,,,,,,,,,,,,,,,,,,,,,,,
PI004427,*,MEGESTROL 40MG/ML PKG SUSP,$18.23,,,,,,,,,,,,,,,,,,,,,,,,
PI004429,*,SHOHLS (NA)/BICITRA(NA) ORAL SOLN PER ML PKG,$6.93,,,,,,,,,,,,,,,,,,,,,,,,
PI004430,*,AMOXICILLIN 50MG/ML PKG SUSP,$15.13,,,,,,,,,,,,,,,,,,,,,,,,
PI004431,*,CARBAMAZEPINE 20MG/ML PKG SUSP,$33.52,,,,,,,,,,,,,,,,,,,,,,,,
PI004432,*,ATOVAQUONE 150MG/ML PKG SUSP,$43.47,,,,,,,,,,,,,,,,,,,,,,,,
PI004433,*,POSACONAZOLE 40MG/ML PKG SUSP,$53.07,,,,,,,,,,,,,,,,,,,,,,,,
PI004434,*,VALPROIC ACID 50MG/ML PKG SYRUP,$10.48,,,,,,,,,,,,,,,,,,,,,,,,
PI004435,*,AMANTADINE 10MG/ML PKG ORAL SOLUTION,$8.93,,,,,,,,,,,,,,,,,,,,,,,,
PI004436,*,OXCARBAZEPINE 60MG/ML PKG SUSP,$11.42,,,,,,,,,,,,,,,,,,,,,,,,
PI004437,*,LITHIUM CIRTATE 1.6MEQ/ML PKG LIQ,$46.20,,,,,,,,,,,,,,,,,,,,,,,,
PI004439,*,CLARITHROMYCIN 50MG/ML PKG SUSP,$17.45,,,,,,,,,,,,,,,,,,,,,,,,
PI004441,*,CIPHENHYDRAMINE 2.5MG/ML PKG LIQ,$100.07,,,,,,,,,,,,,,,,,,,,,,,,
PI004442,*,CETIRIZINE 1MG/ML PKG SYRUP,$31.74,,,,,,,,,,,,,,,,,,,,,,,,
PI004443,*,FUROSEMIDE 10MG.ML PKG ORAL LIQ,$79.30,,,,,,,,,,,,,,,,,,,,,,,,
PI004444,*,SUCRALFATE 100MG/ML PKG SUSP,$32.49,,,,,,,,,,,,,,,,,,,,,,,,
PI004445,*,SODIUM POLYSTY SULF 0.25GM/ML PKG SUSP,$1.50,,,,,,,,,,,,,,,,,,,,,,,,
PI004446,*,HYDROXYZINE HCL 2MG/ML PKG SYRUP,$15.34,,,,,,,,,,,,,,,,,,,,,,,,
PI004447,*,CIPROFLOXACIN 100MG/ML PKG SUSP,$35.70,,,,,,,,,,,,,,,,,,,,,,,,
PI004448,*,SULFAMETHOX/TRIMETH PER ML PKG SUSP,$6.57,,,,,,,,,,,,,,,,,,,,,,,,
PI004450,*,AZITHROMYCIN 40MG/ML PKG SUSP,$102.55,,,,,,,,,,,,,,,,,,,,,,,,
PI004451,*,NITROFURANTOIN 5MG/ML PKG SUSP,$16.91,,,,,,,,,,,,,,,,,,,,,,,,
PI004452,*,FLUOXETINE 4MG/ML PKG ORAL SOLN,$29.69,,,,,,,,,,,,,,,,,,,,,,,,
PI004453,*,CLINDAMYCIN 15MG/ML PKG ORAL SOLN,$6.58,,,,,,,,,,,,,,,,,,,,,,,,
PI004454,*,ERYTHROMYCIN 40MG/ML PKG SUSP,$38.09,,,,,,,,,,,,,,,,,,,,,,,,
PI004455,*,AMIODARONE INFUSION 360MG/200ML D5W (SN),$9.65,,,,,,,,,,,,,,,,,,,,,,,,
PI004456,*,DILTIAZEM INFUSION 100MG/100ML NACL 0.9%  (SN),$105.20,,,,,,,,,,,,,,,,,,,,,,,,
PI004457,*,EPOPROSTENOL (VELETRI) INFUSION 1.5MG/250ML NACL 0.9% (SN),$149.13,,,,,,,,,,,,,,,,,,,,,,,,
PI004459,*,INSULIN REGULAR INFUSION 250 UNITS/250ML NACL 0.9%(SN),$2.06,,,,,,,,,,,,,,,,,,,,,,,,
PI004500,*,CAFFEINE CITRATE LIQ 12MG/0.6ML                    01,$61.60,,,,,,,,,,,,,,,,,,,,,,,,
PI004501,*,CAFFEINE CITRATE LIQ 15MG/0.7ML,$54.06,,,,,,,,,,,,,,,,,,,,,,,,
PI004503,*,CAFFEINE CITRATE LIQ 20MG/1ML,$95.47,,,,,,,,,,,,,,,,,,,,,,,,
PI004504,*,CAFFEINE CITRATE LIQ 25MG/1.25ML                01,$63.35,,,,,,,,,,,,,,,,,,,,,,,,
PI004509,*,FOSFOMYCIN 3G PKT,$247.80,,,,,,,,,,,,,,,,,,,,,,,,
PI004568,*,DOCUSATE 20 MG/ 5 ML PED LIQ,$59.66,,,,,,,,,,,,,,,,,,,,,,,,
PI004569,*,DOCUSATE 30 MG/ 7.5 ML PED LIQ,$60.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004607,*,FAMOTIDINE 10 MG/ 1.25 ML SUSP,$41.17,,,,,,,,,,,,,,,,,,,,,,,,
PI004612,*,FERROUS SULF 2.25 MG/ 0.15 ML (ELEMENTAL IRON) LIQ,$60.05,,,,,,,,,,,,,,,,,,,,,,,,
PI004613,*,FERROUS SULF 3 MG/ 0.2 ML (ELEMENTAL IRON) LIQ,$50.67,,,,,,,,,,,,,,,,,,,,,,,,
PI004614,*,FERROUS SULF 3.75 MG/ 0.25 ML (ELEMENTAL IRON) LIQ,$50.22,,,,,,,,,,,,,,,,,,,,,,,,
PI004615,*,FERROUS SULF 4.5 MG/ 0.3 ML (ELEMENTAL IRON) LIQ,$43.07,,,,,,,,,,,,,,,,,,,,,,,,
PI004651,*,FUROSEMIDE 40 MG / 4 ML PED ORAL LIQ,$61.90,,,,,,,,,,,,,,,,,,,,,,,,
PI004681,*,VASOPRESSIN INFUSION 100 UNITS/100ML NACL 0.9% (SN),$106.00,,,,,,,,,,,,,,,,,,,,,,,,
PI004682,*,NESIRITIDE INFUSION 0.6MG/100ML D5W (SN),$423.32,,,,,,,,,,,,,,,,,,,,,,,,
PI004684,*,NOREPINEPHRINE INFUSION 4MG/250ML NACL 0.9% (SN),$78.68,,,,,,,,,,,,,,,,,,,,,,,,
PI004685,*,PHENYLEPHRINE INFUSION 30MG/250ML NACL 0.9% (SN),$32.07,,,,,,,,,,,,,,,,,,,,,,,,
PI004686,*,EPINEPHRINE INFUSION 1MG/50ML NACL 0.9% (SN),$10.01,,,,,,,,,,,,,,,,,,,,,,,,
PI004687,*,EPINEPHRINE INFUSION 6MG/100ML NACL 0.9% (SN),$1.67,,,,,,,,,,,,,,,,,,,,,,,,
PI004688,*,EPINEPHRINE INFUSION 15MG/250ML NACL 0.9% (SN),$0.61,,,,,,,,,,,,,,,,,,,,,,,,
PI004690,*,MILRINONE INFUSION 5MG/50ML D5W (SN),$100.45,,,,,,,,,,,,,,,,,,,,,,,,
PI004691,*,ROPIVACAINE DILUTION 0.25% (SN),$1.09,,,,,,,,,,,,,,,,,,,,,,,,
PI004694,*,FENTANYL DILUTION 10 MCG/ML (SN),$100.19,,,,,,,,,,,,,,,,,,,,,,,,
PI004882,*,BUPRENORPHINE-NALOX 2MG/0.5MG SBL FLM,$103.75,,,,,,,,,,,,,,,,,,,,,,,,
PI004883,*,BUPRENORPHINE-NALOX 4MG/1MG SLB FLM,$106.75,,,,,,,,,,,,,,,,,,,,,,,,
PI004884,*,BUPRENORPHINE-NALOX 8MG/2MG SBL FLM,$89.63,,,,,,,,,,,,,,,,,,,,,,,,
PI004886,*,DICLOFENAC 1% GEL 100G,$231.26,,,,,,,,,,,,,,,,,,,,,,,,
PI004899,*,DEXAMETHASONE 1 MG / ML ORAL LIQUID,$6.93,,,,,,,,,,,,,,,,,,,,,,,,
PI004902,*,DEXAMETHASONE 2 MG / 2 ML ORAL LIQUID,$0.72,,,,,,,,,,,,,,,,,,,,,,,,
PI005025,*,PHENYLEPHRINE BOLUS (CARDIAC 120 MCG/ML) (SN),$60.70,,,,,,,,,,,,,,,,,,,,,,,,
PI005027,*,SUFENTANIL INFUSION 250MCG/250ML NACL 0.9% (SN),$107.77,,,,,,,,,,,,,,,,,,,,,,,,
PI005028,*,REMIFENTANIL INFUSION 5MG/250ML NACL 0.9% (SN),$105.49,,,,,,,,,,,,,,,,,,,,,,,,
PI005029,*,REMIFENTANIL INFUSION 1MG/100ML NACL 0.9% (SN),$76.09,,,,,,,,,,,,,,,,,,,,,,,,
PI005030,*,DEXMEDETOMIDINE INFUSION 400MCG/100ML NACL 0.9% (SN),"$2,060.98",,,,,,,,,,,,,,,,,,,,,,,,
PI005031,*,KETAMINE INFUSION 100MG/100ML NACL 0.9% (SN),$62.70,,,,,,,,,,,,,,,,,,,,,,,,
PI005032,*,DEXAMETHASONE P.F. 10MG/ML 1ML VIAL,$6.10,,,,,,,,,,,,,,,,,,,,,,,,
PI005118,*,HCTZ - SPIRONOLACTONE 1 MG-1 MG/ 0.2 ML SUSP,$60.05,,,,,,,,,,,,,,,,,,,,,,,,
PI005119,*,HCTZ - SPIRONOLACTONE 1.5 MG-1.5 MG/ 0.3 ML SUSP,$34.85,,,,,,,,,,,,,,,,,,,,,,,,
PI005120,*,HCTZ - SPIRONOLACTONE 2 MG-2 MG/ 0.4 ML SUSP,$34.77,,,,,,,,,,,,,,,,,,,,,,,,
PI005189,*,URSODIOL 50 MG / 1 ML LIQ,$36.20,,,,,,,,,,,,,,,,,,,,,,,,
PI005230,*,"OCTREOTIDE INFUSION 1,200MG/250ML NACL 0.9% (SN)",$4.38,,,,,,,,,,,,,,,,,,,,,,,,
PI005232,*,FLUCONAZOLE 40MG/ML PKG SUSP,$27.65,,,,,,,,,,,,,,,,,,,,,,,,
PI005233,*,LEVOFLOXACIN 25MG/ML PKG SUSP,$22.87,,,,,,,,,,,,,,,,,,,,,,,,
PI005234,*,MULTIVITAMIN DIALYSIS PER ML PKG LIQ,$59.17,,,,,,,,,,,,,,,,,,,,,,,,
PI005235,*,OXYBUTYNIN 1MG/ML PKG SYRUP,$31.65,,,,,,,,,,,,,,,,,,,,,,,,
PI005236,*,POLYCITRA PER ML ORAL SOLN,$5.02,,,,,,,,,,,,,,,,,,,,,,,,
PI005238,*,RISPERIDONE 1MG/ML PKG SOLN,$64.14,,,,,,,,,,,,,,,,,,,,,,,,
PI005239,*,VORICONAZOLE 40MG/ML PKG SUSP,$67.59,,,,,,,,,,,,,,,,,,,,,,,,
PI005240,*,NALOXONE 4MG/ML ORAL LIQ,$110.69,,,,,,,,,,,,,,,,,,,,,,,,
PI005242,*,ACYCLOVIR 40MG/ML PKG SUS,$14.26,,,,,,,,,,,,,,,,,,,,,,,,
PI005243,*,AMINOCAPROIC ACID 0.25G/ML PKG ORAL SOLN,$28.97,,,,,,,,,,,,,,,,,,,,,,,,
PI005245,*,CEFPHALEXIN 50MG/ML PKG SUSP,$14.05,,,,,,,,,,,,,,,,,,,,,,,,
PI005246,*,CHLOROTHIAZIDE 50MG/ML PKG SUS,$39.09,,,,,,,,,,,,,,,,,,,,,,,,
PI005247,*,CYPROHEPTADINE 0.4MG/ML PKG SYRUP,$13.68,,,,,,,,,,,,,,,,,,,,,,,,
PI005248,*,DOXYCYCLINE 10MG/ML PKG SYRUP,$14.46,,,,,,,,,,,,,,,,,,,,,,,,
PI005250,*,ETHOSUXIMIDE 50/ML KPG SYRUP,$20.31,,,,,,,,,,,,,,,,,,,,,,,,
PI005251,*,FELBAMATE 120MG/ML PKG SUSP,$39.00,,,,,,,,,,,,,,,,,,,,,,,,
PI005253,*,GABAPENTIN 50MG/ML PKG ORAL SOLN,$29.63,,,,,,,,,,,,,,,,,,,,,,,,
PI005255,*,GLYCOPYRROLATE 0.2MG/1ML PKG ORAL SOLN,$26.35,,,,,,,,,,,,,,,,,,,,,,,,
PI005258,*,ITRACONAZOLE 10MG/ML PKG ORAL SOLN,$21.57,,,,,,,,,,,,,,,,,,,,,,,,
PI005259,*,LAMIVUDINE 10MG/ML PKG ORAL SOLN,$5.27,,,,,,,,,,,,,,,,,,,,,,,,
PI005260,*,LOPERAMIDE 0.2MG/ML PKG SOLN,$9.75,,,,,,,,,,,,,,,,,,,,,,,,
PI005262,*,LORATADINE 1MG/ML PKG LIQ,$20.17,,,,,,,,,,,,,,,,,,,,,,,,
PI005266,*,NAPROXEN 25MG/ML PKG SUSP,$6.89,,,,,,,,,,,,,,,,,,,,,,,,
PI005267,*,NEVIRAPINE 10MG/ML PKG SUSP,$50.30,,,,,,,,,,,,,,,,,,,,,,,,
PI005268,*,ONDANSETRON 0.8MG/ML PKG ORAL LIQ,$46.07,,,,,,,,,,,,,,,,,,,,,,,,
