ITEM #,ITEM DESCRIPTION,ITEM PRICE
11254612,CHEMODEVERV MUSC; INNERV FACIAL NRV,376.25 
11254613,CHEMODENERVATION MUSC;CERV SP MUSC,674.04 
11254615,BOTOX THERAPY,"1,050.00 "
11254616,CHEMODENERVATION LARYNX PERCUTANEOUS,"1,179.97 "
11254617,CHEMODENERVATION 1 EXTREMITY,"1,179.97 "
11254618,CHEMODENERVATION 1 EXTREMITY EA ADDTL,"1,179.97 "
11254619,CHEMODENERVATION 1 EXTREMITY 5/>MUSCLES,"1,179.97 "
11254620,CHEMODENERVATION 1 EXTREM 5/> EA ADDTL,"1,179.97 "
11254621,CHEMODENERVATION TRUNK MUSC 1-5 MUSC,"1,179.97 "
11254622,CHEMODENERVATION TRUNK MUSC 6/>,"1,179.97 "
11254640,DESTRUC NEUROLYTIC;OTH PERIPH NERV,930.20 
11255860,NDLE EMG;1 EXT W/WO REL PARASP AREA,195.96 
11255861,NDLE EMG;2 EXT W/WO REL PARASP AREA,195.96 
11255867,NDLE EMG;CRANIL NRV SPL MUSC UNI`,195.96 
11255868,NDLE EMG;CRANIL NRV SPL MUSC BIL,195.96 
11255869,NDLE EMG;THORACIC PARASPINAL MUSC,113.05 
11255870,NDLE EMG; LTD-1 MUS EXTREM/NON-LIM,113.05 
11257345,CHEMODEVERVATION EXTRAOCULAR MUSCLE,506.87 
12310025,LABOR RM 1ST HR LEVEL I,155.35 
12310062,RECOV VAG DEL ADDL 15 MIN,171.94 
12310070,MAG HOURLY,68.88 
12310071,TOCOLYSIS TERBUT HOURLY,57.33 
12310074,LABOR INDUCTION,68.78 
12310075,NON-STRESS,126.05 
12310076,OXYTOCIN,244.49 
12310077,UAC/UVC PLACEMENT,341.04 
12310078,FSE PLACEMENT,275.63 
12310079,IUPC PLACEMENT,275.63 
12311000,REC VAG DELIVERY 1ST 30 M,329.81 
12311001,DELIVERY FLAT RATE,718.20 
12311002,LABOR ROOM EA ADDL HR,76.39 
13020037,BOARD SHAMPOO    5356,16.17 
13021309,CART ISOLATION DAILY,90.67 
13030281,PT TRACTION,56.81 
13031309,ISOLATION DAILY,31.82 
