BILL ITEM ID,LONG DESCRIPTION,CPT-4,HCPCS,REVENUE, TMMC Standard Price Schedule ,TMMC OP Lab Price Schedule
7893971,LD STM SURG SPNL CORD MRI 565 977C165,,C1778,278," $19,500.00 ",
7893973,PLT 113MMX2MM TI 6 HL LCK 40-20906,,C1713,278," $2,582.00 ",
7893974,SCR BONE 3.5MM 28MM VARIAX TI 40-35028,,C1713,278, $331.00 ,
7893975,SCR BONE 3.5MM 22MM VARIAX TI 40-35022,,C1713,278, $343.00 ,
7893980,GFT EVAS 14CM 23MM 14.5MM RLT231414,,,278," $13,530.00 ",
7896316,AICD Unify Assura CD3357-40C,,C1882,278," $65,121.00 ",
7896317,Lead Optisure CM LDA210Q-58,,C1777,278," $9,276.00 ",
7896343,PNCH DIS F/4.5MM PSHLCK/CRKSCR AR-1933PBS,,C1713,278, $225.00 ,
7896345,KT F/DISP FIBERTAK SUTR ANCH AR-3600DC,,C1713,278, $585.00 ,
7896346,ANCHOR SUTURE FIBERTAK AR-3600,,C1713,278, $915.00 ,
7896351,NL FX 45MM 2.4MM SNL 2MM FLT 532445,,C1713,278, $551.00 ,
7896352,NL FX 20MM 1.5MM SNL 2MM FLT 531520,,C1713,278, $551.00 ,
7896353,NL FX 16MM 1.5MM SNL 2MM FLT 531516,,C1713,278, $551.00 ,
7896354,SCR BONE 4MM 34MM DART-FIRE TI D1N40034S,,C1713,278, $551.00 ,
7896355,SCR BONE 4MM 36MM DART-FIRE TI D1N40036S,,C1713,278, $551.00 ,
7896358,PLT STRG 100MM TCP SYSTEM 08-310,,C1713,278," $3,987.00 ",
7896359,LD ACUITY X4 SPRL QUAD LV 86CM 4677,,C1900,278," $6,447.00 ",
7899974,SCREW 3.0 X 30MM D1N30030S,,C1713,278, $729.00 ,
7899975,SHTH INTRO 20FR 7.5MM 6.6MM 28 DSL2028,,C1894,278, $990.00 ,
7899976,GFT EPRSTH 10CM 26MM 26MM TAG TGU262610,,,278," $48,750.00 ",
7899980,EXPANDER TIS CRESCENT 14MM 3614-14,,,278," $2,760.00 ",
7903946,EP Cath INQUIRY IBI-81104,,C1730,278," $1,350.00 ",
7903947,EP Cath INQUIRY Optima Plus IBI-81717,,C1731,278," $4,500.00 ",
7904040,NL 10MM 320MM FEM LT PROX 04.037.053S,,C1713,278," $7,522.00 ",
7904041,PLT L 72MM SS 2.7MM SCR 4 HL 02.118.302S,,C1713,278," $2,990.00 ",
7904042,GFT BONE TENSIX DBM 5ML CRSH PHG-05C,,,278," $5,508.00 ",
7904043,SCR BONE 3.2MM 20MM ZP ST HCS-010-32-20S,,C1713,278, $978.00 ,
7904044,K WRE TROCAR SINGEL 1.1 HCS-040-11,,C1713,278, $78.00 ,
7904045,DRLBT CNTRSNK 2.3MM HCS-070-32,,C1713,278, $756.00 ,
7904046,SCR 3.5 X 24MM NL TCP SYSTEM 07-624,,C1713,278, $462.00 ,
7904047,PLT DISTAL 80MM 08-380R,,C1713,278," $4,242.00 ",
7904048,SCR BONE 3.5MM 24MM ORTHOLOC 58803524,,C1713,278, $855.00 ,
7904049,SCR BONE 3.5MM 38MM DART D1N35038S,,C1713,278, $756.00 ,
7904050,T-PLT MIDFOOT FUSION LT 5818001L,,C1713,278," $4,554.00 ",
7904051,SCR BONE 2.4MM 8MM ORTHOLOC TI 5201024008,,C1713,278, $855.00 ,
7904052,SCR BONE 2.4MM 14MM ORTHOLOC 5201124014,,C1713,278, $360.00 ,
7907935,ALLGRFT XL 1.5CC PLCNTL ACTV AM150,,,278," $14,085.00 ",
7907936,ALLGRFT M 0.5CC PLCNTL ACTV M AM50,,,278," $8,085.00 ",
7911682,SLNT SPINE DURASEAL EXACT SYS 206520,,,278," $3,075.00 ",
7911689,Lead Ingevity MRI 45CM 7740,,C1898,278," $1,500.00 ",
7911690,Lead Ingevity MRI 52CM 7741,,C1898,278," $1,500.00 ",
7911697,SLNG GYN 7.75CM ALTIS 1 PP 1 519650,,C1771,278," $4,275.00 ",
7911698,IMP BRST X 690CC FX-410690,,C1789,278," $3,285.00 ",
7911699,GFT EVAS 3.3CM 28.5MM 24-26MM PLA280300,,,278," $9,525.00 ",
7911701,SCR BONE 3MM 28MM QWIX TI LWR 111328SND,,C1713,278," $1,186.00 ",
7911704,SET SCR 3MM SURFIX HALLU STD 185100SND,,C1713,278, $555.00 ,
7911705,SCR BONE 3MM 10MM SURFIX HALLU 285110SND,,C1713,278," $1,254.00 ",
7911706,SCR BONE 3MM 16MM SURFIX HALLU 285116SND,,C1713,278," $1,254.00 ",
7911707,SCR BONE 3MM 16MM SURFIX VAR 295116SND,,C1713,278," $1,254.00 ",
7911708,SCR BONE 3MM 18MM SURFIX VAR 295118SND,,C1713,278," $1,254.00 ",
7911709,SCR BONE 2.7MM 16MM SURFIX VAR 295216SND,,C1713,278," $1,254.00 ",
7911983,ALGRF SEMITENDONOSIS OS905,,,278," $4,500.00 ",
7912009,Sheath VisiSheath Small 501-012,,C1893,278, $735.00 ,
7912010,Sheath VisiSheath Large 501-016,,C1893,278, $705.00 ,
7912029,SCR BONE 2.7MM 18MM ELB NLCKG 30-0348,,C1713,278, $222.00 ,
7912031,GFT EVAS 17CM 31MM 14.5MM RLT311417,,,278," $33,000.00 ",
7912032,SCR BONE 6.5MM 8MM 145MM 32MM 217.145,,C1713,278, $139.00 ,
7912033,SCR BONE 3.5MM 54MM LCP SS T15 02.212.054,,C1713,278, $373.00 ,
7912034,SCR BONE 3.5MM 56MM LCP SS T15 02.212.056,,C1713,278, $373.00 ,
7912035,PLUG CV 6MM .055IN 9-AVP2-004,,,278," $2,496.00 ",
7912036,SUB BNGF VITOSS BIOMODAL FM PK 2102-1901,,C1713,278," $2,072.00 ",
7912037,NL 10MM 380MM HIP LT GAMMA3 IM 3525-0380S,,C1713,278," $8,219.00 ",
7912038,PLT FIRST RAY SMALL 58410001,,C1713,278," $4,992.00 ",
7912040,PLT LG UNV 30MM SS 2.7/3.5MM 40240230,,C1713,278," $5,436.00 ",
7912043,ALGRF GRACILIS TENDON OS904,,,278," $4,500.00 ",
7912253,SCR BONE 2MM 22MM Q FIX TI T8 AR-8720-22PT,,C1713,278, $360.00 ,
7912254,SCR BONE 36 MM 4 MM ST CAND AR-8840C-36,,C1713,278, $450.00 ,
7912255,IMPL DEL SYS DISTAL BICEPS  BC AR-2260BC,,C1713,278," $3,300.00 ",
7912266,Stent Protégé GPS 6F OTW SERB65-09-20-120,,C1876,278," $2,400.00 ",
7913965,GFT EVAS 14CM 35MM 14.5MM RLT351414,,,278," $33,000.00 ",
7913966,GFT EVAS 11.5CM 20MM 16.5-18.5 PLC201200,,,278," $13,530.00 ",
7914055,CATH EP 1-4MM LOOP D402893,,C1731,278," $4,800.00 ",
7914056,LEAD PACING 86CM 1458QL/86,,C1900,278," $6,138.00 ",
7914308,IMPL BRST STY 410 560GM FX-410560,,C1789,278," $3,285.00 ",
7914311,SCR BONE 2.7MM 30MM LOPRFL SCR AR-8827-30,,C1713,278, $135.00 ,
7914313,SCR BONE 3.75MM 32MM TI FT AR-7000-32FT,,C1713,278, $600.00 ,
7914318,GFT EVAS 12CM 27MM 21.5-25MM PLC271200,,,278," $13,530.00 ",
7914319,GFT EVAS 12CM 23MM 21.5-25MM PLC231200,,,278," $13,530.00 ",
7914323,VALVE STRATA SMALL D58868,,,278," $14,889.00 ",
7914333,SCR PEEK CF INTFR 10MM X 25MM 10034,,C1713,278, $825.00 ,
7914334,TAPE SUT BRAID 2MM WHITE/BLUE 20042,,C1713,278, $165.00 ,
7914335,ANCH PEEK CR 45 KNTLS 4.5MM 10314,,C1713,278," $1,200.00 ",
7914336,ANCH V-LOX PEEK CF 5.5MM 10324T,,C1713,278," $1,200.00 ",
7914337,SCR INTFR HA 25MM 7MM ACL RVRS 72201773,,C1713,278, $978.00 ,
7914343,NL GMA LNG 11MMX340MM 125D 3525-1340S,,C1713,278," $9,394.00 ",
7914344,SCR BONE 5MM 75MM TI FT LCK 1896-5075S,,C1713,278, $742.00 ,
7914345,NL 11MM 34CM SP CNDL T2 IM TI 1829-1134S,,C1713,278," $7,930.00 ",
7914346,SCR BONE 4MM 60MM ASNS III TI 604660S,,C1713,278, $691.00 ,
7914348,PLT PROX LATERAL TIBIA 2-HOLE 627302,,C1713,278," $6,322.00 ",
7914349,SCR CORT TI AXSOS 3 3.5MMX80MM 661480,,C1713,278, $101.00 ,
7914350,SCR CORT TI AXSOS 3 4.0MMX50MM 661050,,C1713,278, $634.00 ,
7914351,SCR CORT TI AXSOS 3 4.0MMX65MM 661065,,C1713,278, $634.00 ,
7914354,NL 10MM 40CM HIP LT FEM GAMMA3 3530-0400S,,C1713,278," $8,219.00 ",
7914355,SCR BONE 10.5MM 110MM GAMMA3 3060-0110S,,C1713,278," $1,953.00 ",
7914356,PLT LNG NAR 76MMX2MM LCK 54-25375,,C1713,278," $4,008.00 ",
7914358,SCR BONE 2.3MM 13MM VARIAX 58-23013E,,C1713,278, $348.00 ,
7914359,SCR BONE 2.3MM 16MM VARIAX 58-23016E,,C1713,278, $348.00 ,
7914360,SCR BONE 2.3MM 14MM VARIAX TI 53-23014E,,C1713,278, $401.00 ,
7914361,SCR BONE 2.3MM 15MM VARIAX TI 53-23015E,,C1713,278, $401.00 ,
7914362,PLT T NAR 1.5MM 2.3MM SCR 7 HL 57-15370,,C1713,278," $1,925.00 ",
7914363,SCR BONE 10.35MM 110MM TFN-ADV 04.038.110S,,C1713,278," $2,284.00 ",
7914364,NL 11MM 34CM FEM RT PROX TFN 04.037.154S,,C1713,278," $7,029.00 ",
7914365,SCR BONE 2.4MM 18MM 6MM SS T8 02.226.318,,C1713,278, $987.00 ,
7914366,PLT SHRT WV MXLMNDB 10 HL BONE 04.503.820,,C1713,278," $1,131.00 ",
