ACTIVITY TYPE,CDM_DESC, UNIT_AMT ,BILL_ITEM_ID
AFC GENERIC ADD-ON,"LAB DRUG TEST, PHENCYCLIDINE",$7.00 ,5319091
AFC GENERIC ADD-ON,"LAB DRUG TEST, PREGABALIN",$7.00 ,5319073
AFC GENERIC ADD-ON,"LAB DRUG TEST, PROPOXYPHENE",$7.00 ,5319090
AFC GENERIC ADD-ON,"LAB DRUG TEST, SEDATIVE HYPNOTICS",$7.00 ,5319095
AFC GENERIC ADD-ON,"LAB DRUG TEST, TAPENTADOL",$7.00 ,5319093
AFC GENERIC ADD-ON,"LAB DRUG TEST, TRAMADOL",$7.00 ,5319094
AFC GENERIC ADD-ON,"LAB DRUG TEST, TRICYCLICS, OTHER 6/MORE",$7.00 ,5319074
AFC GENERIC ADD-ON,"LAB EBV AB PANEL, IGG AB-L",$40.00 ,5239972
AFC GENERIC ADD-ON,"LAB EBV AB PANEL, IGM AB-L",$40.00 ,5239971
AFC GENERIC ADD-ON,"LAB ESTRADIOL, % FREE L",$119.00 ,5239945
AFC GENERIC ADD-ON,"LAB ESTROGEN FRACTIONATION, ESTRADIOL",$72.00 ,5331557
AFC GENERIC ADD-ON,LAB FACTOR INHIBITOR TEST,$111.00 ,5328460
AFC GENERIC ADD-ON,LAB FACTOR V (LEIDEN) MUTATION,$54.00 ,5346708
AFC GENERIC ADD-ON,LAB FACTOR VIII RISTOCETIN COFACT.L,$74.00 ,5239951
AFC GENERIC ADD-ON,LAB FACTOR VIII VW AG-L,$74.00 ,5239952
AFC GENERIC ADD-ON,LAB FACTOR VIII VW MULTIMER-L,$74.00 ,5239953
AFC GENERIC ADD-ON,LAB FACTOR VIII VW PTT-L,$74.00 ,5239954
AFC GENERIC ADD-ON,LAB FERRITIN,$69.00 ,5239929
AFC GENERIC ADD-ON,LAB FIBRIN MONOMER,$124.00 ,5341766
AFC GENERIC ADD-ON,"LAB FIBRINOGEN, PANEL",$76.00 ,5240030
AFC GENERIC ADD-ON,LAB FIBROSURE AST (SGOT),$78.00 ,5256718
AFC GENERIC ADD-ON,LAB FIBROSURE CHOLESTEROL,$78.00 ,5256714
AFC GENERIC ADD-ON,LAB FIBROSURE GLUCOSE,$78.00 ,5256715
AFC GENERIC ADD-ON,LAB FIBROSURE TRIGLYCERIDES,$78.00 ,5256720
AFC GENERIC ADD-ON,LAB FILAMENTOUS HEMAGGLUTININ AG IGG,$37.00 ,5268572
AFC GENERIC ADD-ON,LAB GLIADIN AB IGA,$36.00 ,5239966
AFC GENERIC ADD-ON,"LAB GLUCOSE, BODY FLUID",$45.00 ,5240040
AFC GENERIC ADD-ON,"LAB GLUCOSE, SPINAL FLUID",$47.00 ,5240037
AFC GENERIC ADD-ON,"LAB GTT, 4TH SPECIMEN",$23.00 ,5239919
AFC GENERIC ADD-ON,"LAB GTT, 5TH SPECIMEN",$28.00 ,5239920
AFC GENERIC ADD-ON,LAB HEMATOCRIT,$12.00 ,5240033
AFC GENERIC ADD-ON,LAB HEMOGLOBINOPATHY EVAL - HCT,$16.00 ,5240047
AFC GENERIC ADD-ON,LAB HEMOGLOBINOPATHY EVAL - HGB,$16.00 ,5240048
AFC GENERIC ADD-ON,LAB HEMOGLOBINOPATHY EVAL - RBC,$16.00 ,5240049
AFC GENERIC ADD-ON,LAB HEP B CORE AB-IGM L2,$98.00 ,5239934
AFC GENERIC ADD-ON,LAB HEP B SUR AB L,$81.00 ,5239933
AFC GENERIC ADD-ON,LAB HEPATITIS E AB IGM,$56.00 ,5322149
AFC GENERIC ADD-ON,LAB HERPES IGG ANTIBODY TYPE 2 L,$40.00 ,5239977
AFC GENERIC ADD-ON,LAB HERPES IGM AB TYPE 2,$42.00 ,5239978
AFC GENERIC ADD-ON,"LAB Herpes Simplex Virus, Type 2, DNA, PCR",$202.00 ,5266603
AFC GENERIC ADD-ON,"LAB HERPES VIRUS 2 DNA, PCR",$70.00 ,5239980
AFC GENERIC ADD-ON,LAB HIV 2 AB DIFF - L,$28.00 ,5239983
AFC GENERIC ADD-ON,LAB HIV SUSCEPT PHENOTYPE BY GENO,$229.00 ,5239981
AFC GENERIC ADD-ON,LAB HOMOCYSTEINE,$54.00 ,5346709
AFC GENERIC ADD-ON,"LAB HPV, HIGH-RISK, 16&18 - L",$52.00 ,5239984
AFC GENERIC ADD-ON,LAB HSP EVAL PROCEDURE LEVEL 6,"$3,627.00 ",5313328
AFC GENERIC ADD-ON,LAB HSP EVAL PROCEDURE LEVEL 7,"$3,203.00 ",5313329
AFC GENERIC ADD-ON,LAB HSP EVAL PROCEDURE LEVEL 8,"$3,203.00 ",5313334
AFC GENERIC ADD-ON,"LAB HSV 2 DNA PCR, CSF",$96.00 ,5339618
AFC GENERIC ADD-ON,LAB HSV 2 IGG CSF,$43.00 ,5281841
AFC GENERIC ADD-ON,LAB IGG SERUM,$37.00 ,5240007
AFC GENERIC ADD-ON,LAB IGG SUBCLASSES 1-4-L,$66.00 ,5239986
AFC GENERIC ADD-ON,"LAB IGG, CSF",$37.00 ,5240008
