Item ID,Description, Price 
186284,16MM X 14MM X 10MM 7 CAGE PORO,"18,000.00"
186264,16MM X 14MM X 11MM 0 CAGE PORO,"18,000.00"
186285,16MM X 14MM X 11MM 7 CAGE PORO,"18,000.00"
186265,16MM X 14MM X 12MM 0 CAGE PORO,"18,000.00"
186286,16MM X 14MM X 12MM 7 CAGE PORO,"18,000.00"
186259,16MM X 14MM X 6MM 0 CAGE POROU,"18,000.00"
186280,16MM X 14MM X 6MM 7 CAGE POROU,"18,000.00"
186260,16MM X 14MM X 7MM 0 CAGE POROU,"18,000.00"
186281,16MM X 14MM X 7MM 7 CAGE POROU,"18,000.00"
186261,16MM X 14MM X 8MM 0 CAGE POROU,"18,000.00"
186282,16MM X 14MM X 8MM 7 CAGE POROU,"18,000.00"
186262,16MM X 14MM X 9MM 0 CAGE POROU,"18,000.00"
186283,16MM X 14MM X 9MM 7 CAGE POROU,"18,000.00"
185719,16MM X 42MM ISP-T PLATE FLARED,"28,069.20"
185712,16MM X 42MM ISP-Z PLATE FLARED,"28,069.20"
301000372,17-HYDROXYPREGNENOLONE,356
176402,17MM Z-LINK LUMBAR PLATE,"9,240.00"
186270,18MM X 15MM X 10MM 0 CAGE PORO,"18,000.00"
186271,18MM X 15MM X 11MM 0 CAGE PORO,"18,000.00"
186291,18MM X 15MM X 11MM 7 CAGE PORO,"18,000.00"
186272,18MM X 15MM X 12MM 0 CAGE PORO,"18,000.00"
193198,18MM X 15MM X 15MM STAPLE,"6,762.00"
186266,18MM X 15MM X 6MM 0 CAGE POROU,"18,000.00"
186287,18MM X 15MM X 6MM 7 CAGE POROU,"18,000.00"
186267,18MM X 15MM X 7MM 0 CAGE POROU,"18,000.00"
186288,18MM X 15MM X 7MM 7 CAGE POROU,"18,000.00"
186268,18MM X 15MM X 8MM 0 CAGE POROU,"18,000.00"
186289,18MM X 15MM X 8MM 7 CAGE POROU,"18,000.00"
186269,18MM X 15MM X 9MM 0 CAGE POROU,"18,000.00"
186290,18MM X 15MM X 9MM 7 CAGE POROU,"18,000.00"
193197,18MM X 18MM X 18MM STAPLE,"6,762.00"
185775,18MM X 40MM X 07MM 12 LLIF CAG,"14,400.00"
185785,18MM X 40MM X 07MM 6 LLIF CAGE,"14,400.00"
185776,18MM X 40MM X 08MM 12 LLIF CAG,"14,400.00"
185786,18MM X 40MM X 08MM 6 LLIF CAGE,"14,400.00"
185777,18MM X 40MM X 09MM 12 LLIF CAG,"14,400.00"
185787,18MM X 40MM X 09MM 6 LLIF CAGE,"14,400.00"
185778,18MM X 40MM X 10MM 12 LLIF CAG,"14,400.00"
185788,18MM X 40MM X 10MM 6 LLIF CAGE,"14,400.00"
185779,18MM X 40MM X 11MM 12 LLIF CAG,"14,400.00"
185789,18MM X 40MM X 11MM 6 LLIF CAGE,"14,400.00"
185780,18MM X 40MM X 12MM 12 LLIF CAG,"14,400.00"
185790,18MM X 40MM X 12MM 6 LLIF CAGE,"14,400.00"
185781,18MM X 40MM X 13MM 12 LLIF CAG,"14,400.00"
185791,18MM X 40MM X 13MM 6 LLIF CAGE,"14,400.00"
185782,18MM X 40MM X 14MM 12 LLIF CAG,"14,400.00"
185792,18MM X 40MM X 14MM 6 LLIF CAGE,"14,400.00"
185783,18MM X 40MM X 15MM 12 LLIF CAG,"14,400.00"
185793,18MM X 40MM X 15MM 6 LLIF CAGE,"14,400.00"
185784,18MM X 40MM X 16MM 12 LLIF CAG,"14,400.00"
185794,18MM X 40MM X 16MM 6 LLIF CAGE,"14,400.00"
185720,18MM X 44MM ISP-T PLATE FLARED,"28,069.20"
185713,18MM X 44MM ISP-Z PLATE FLARED,"28,069.20"
185795,18MM X 45MM X 07MM 12 LLIF CAG,"14,400.00"
185805,18MM X 45MM X 07MM 6 LLIF CAGE,"14,400.00"
185796,18MM X 45MM X 08MM 12 LLIF CAG,"14,400.00"
185806,18MM X 45MM X 08MM 6 LLIF CAGE,"14,400.00"
185797,18MM X 45MM X 09MM 12 LLIF CAG,"14,400.00"
185807,18MM X 45MM X 09MM 6 LLIF CAGE,"14,400.00"
185798,18MM X 45MM X 10MM 12 LLIF CAG,"14,400.00"
185808,18MM X 45MM X 10MM 6 LLIF CAGE,"14,400.00"
185799,18MM X 45MM X 11MM 12 LLIF CAG,"14,400.00"
185809,18MM X 45MM X 11MM 6 LLIF CAGE,"14,400.00"
185800,18MM X 45MM X 12MM 12 LLIF CAG,"14,400.00"
185810,18MM X 45MM X 12MM 6 LLIF CAGE,"14,400.00"
185801,18MM X 45MM X 13MM 12 LLIF CAG,"14,400.00"
185811,18MM X 45MM X 13MM 6 LLIF CAGE,"14,400.00"
185802,18MM X 45MM X 14MM 12 LLIF CAG,"14,400.00"
185812,18MM X 45MM X 14MM 6 LLIF CAGE,"14,400.00"
185803,18MM X 45MM X 15MM 12 LLIF CAG,"14,400.00"
185813,18MM X 45MM X 15MM 6 LLIF CAGE,"14,400.00"
185804,18MM X 45MM X 16MM 12 LLIF CAG,"14,400.00"
185814,18MM X 45MM X 16MM 6 LLIF CAGE,"14,400.00"
185815,18MM X 50MM X 07MM 12 LLIF CAG,"14,400.00"
185825,18MM X 50MM X 07MM 6 LLIF CAGE,"14,400.00"
185816,18MM X 50MM X 08MM 12 LLIF CAG,"14,400.00"
185826,18MM X 50MM X 08MM 6 LLIF CAGE,"14,400.00"
185817,18MM X 50MM X 09MM 12 LLIF CAG,"14,400.00"
185827,18MM X 50MM X 09MM 6 LLIF CAGE,"14,400.00"
185818,18MM X 50MM X 10MM 12 LLIF CAG,"14,400.00"
185828,18MM X 50MM X 10MM 6 LLIF CAGE,"14,400.00"
185819,18MM X 50MM X 11MM 12 LLIF CAG,"14,400.00"
185829,18MM X 50MM X 11MM 6 LLIF CAGE,"14,400.00"
185820,18MM X 50MM X 12MM 12 LLIF CAG,"14,400.00"
185830,18MM X 50MM X 12MM 6 LLIF CAGE,"14,400.00"
185821,18MM X 50MM X 13MM 12 LLIF CAG,"14,400.00"
185831,18MM X 50MM X 13MM 6 LLIF CAGE,"14,400.00"
185822,18MM X 50MM X 14MM 12 LLIF CAG,"14,400.00"
185832,18MM X 50MM X 14MM 6 LLIF CAGE,"14,400.00"
185823,18MM X 50MM X 15MM 12 LLIF CAG,"14,400.00"
185833,18MM X 50MM X 15MM 6 LLIF CAGE,"14,400.00"
185824,18MM X 50MM X 16MM 12 LLIF CAG,"14,400.00"
185834,18MM X 50MM X 16MM 6 LLIF CAGE,"14,400.00"
185835,18MM X 55MM X 07MM 12 LLIF CAG,"14,400.00"
185845,18MM X 55MM X 07MM 6 LLIF CAGE,"14,400.00"
185836,18MM X 55MM X 08MM 12 LLIF CAG,"14,400.00"
185846,18MM X 55MM X 08MM 6 LLIF CAGE,"14,400.00"
185837,18MM X 55MM X 09MM 12 LLIF CAG,"14,400.00"
185847,18MM X 55MM X 09MM 6 LLIF CAGE,"14,400.00"
185838,18MM X 55MM X 10MM 12 LLIF CAG,"14,400.00"
185848,18MM X 55MM X 10MM 6 LLIF CAGE,"14,400.00"
185839,18MM X 55MM X 11MM 12 LLIF CAG,"14,400.00"
185849,18MM X 55MM X 11MM 6 LLIF CAGE,"14,400.00"
185840,18MM X 55MM X 12MM 12 LLIF CAG,"14,400.00"
185850,18MM X 55MM X 12MM 6 LLIF CAGE,"14,400.00"
185841,18MM X 55MM X 13MM 12 LLIF CAG,"14,400.00"
185851,18MM X 55MM X 13MM 6 LLIF CAGE,"14,400.00"
185842,18MM X 55MM X 14MM 12 LLIF CAG,"14,400.00"
185852,18MM X 55MM X 14MM 6 LLIF CAGE,"14,400.00"
185843,18MM X 55MM X 15MM 12 LLIF CAG,"14,400.00"
185853,18MM X 55MM X 15MM 6 LLIF CAGE,"14,400.00"
185844,18MM X 55MM X 16MM 12 LLIF CAG,"14,400.00"
185854,18MM X 55MM X 16MM 6 LLIF CAGE,"14,400.00"
185855,18MM X 60MM X 07MM 12 LLIF CAG,"14,400.00"
185865,18MM X 60MM X 07MM 6 LLIF CAGE,"14,400.00"
185856,18MM X 60MM X 08MM 12 LLIF CAG,"14,400.00"
185866,18MM X 60MM X 08MM 6 LLIF CAGE,"14,400.00"
185857,18MM X 60MM X 09MM 12 LLIF CAG,"14,400.00"
185867,18MM X 60MM X 09MM 6 LLIF CAGE,"14,400.00"
185858,18MM X 60MM X 10MM 12 LLIF CAG,"14,400.00"
185868,18MM X 60MM X 10MM 6 LLIF CAGE,"14,400.00"
185859,18MM X 60MM X 11MM 12 LLIF CAG,"14,400.00"
185869,18MM X 60MM X 11MM 6 LLIF CAGE,"14,400.00"
185860,18MM X 60MM X 12MM 12 LLIF CAG,"14,400.00"
185870,18MM X 60MM X 12MM 6 LLIF CAGE,"14,400.00"
185861,18MM X 60MM X 13MM 12 LLIF CAG,"14,400.00"
185871,18MM X 60MM X 13MM 6 LLIF CAGE,"14,400.00"
185862,18MM X 60MM X 14MM 12 LLIF CAG,"14,400.00"
185872,18MM X 60MM X 14MM 6 LLIF CAGE,"14,400.00"
185863,18MM X 60MM X 15MM 12 LLIF CAG,"14,400.00"
185873,18MM X 60MM X 15MM 6 LLIF CAGE,"14,400.00"
185864,18MM X 60MM X 16MM 12 LLIF CAG,"14,400.00"
