2019 Detailed Line Item,
 $0.04 ,BUPIVACAINE 0.0625%-FENTANYL 2 MCG/ML-EPINEPHRINE 1.25 MCG/ML EPIDURAL INTERMITTENT DOSING IN NS 150 ML PYXIS (AC) [614835]
 $0.04 ,BUPIVACAINE 0.1%-FENTANYL 2 MCG/ML EPIDURAL CLINICIAN DOSE [616277]
 $0.50 ,"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION SOLUTION [53067]"
 $0.29 ,"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION SOLUTION [53065]"
 $0.32 ,"BUPIVACAINE-EPINEPHRINE 0.5 %-1:200,000 INJECTION SOLUTION [4267]"
 $5.64 ,BUPRENORPHINE 2 MG-NALOXONE 0.5 MG SUBLINGUAL FILM [118317]
 $18.83 ,BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION [82400]
 $4.28 ,BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET [52705]
 $2.03 ,BUPROPION HCL 100 MG TABLET [5119]
 $1.60 ,BUPROPION HCL 75 MG TABLET [5118]
 $1.75 ,"BUPROPION HCL SR 100 MG TABLET,12 HR SUSTAINED-RELEASE [41898]"
 $1.87 ,"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE [41899]"
 $4.82 ,BUPROPION XL 150 MG TAB [53708]
 $1.41 ,BUSPIRONE 10 MG TABLET [28850]
 $0.81 ,BUSPIRONE 5 MG TABLET [28849]
 $1.75 ,BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET [5165]
 $1.76 ,BUTALBITAL-ASPIRIN-CAFFEINE 50 MG-325 MG-40 MG CAPSULE [41145]
 $1.46 ,BUTAMBEN-TETRACAINE-BENZOCAINE 2 %-2 %-14 % (200 MG/SEC) TOPICAL SPRAY [45401]
 $10.86 ,CAFFEINE-SODIUM BENZOATE 250 MG/ML(125 MG/ML CAFFEINE) INJECTION SOLN [9080]
 $326.25 ,Calcitonin (hormone) level
 $33.13 ,CALCITONIN (SALMON) 200 UNIT/ACTUATION NASAL SPRAY [46963]
" $1,416.95 ",CALCITONIN (SALMON) 200 UNIT/ML INJECTION SOLUTION [49705]
 $1.32 ,CALCITRIOL 0.25 MCG CAPSULE [29853]
 $0.16 ,CALCIUM ACETATE 667 MG TABLET [45815]
 $7.00 ,CALCIUM ACETATE 667MG TAB
 $0.07 ,CALCIUM CARBONATE 200 MG CALCIUM (500 MG) CHEWABLE TABLET [9859]
 $0.05 ,"CALCIUM CARBONATE 500 MG (1,250 MG)-VITAMIN D3 200 UNIT TABLET [82334]"
 $0.04 ,"CALCIUM CARBONATE 500 MG CALCIUM (1,250 MG) TABLET [32875]"
 $0.84 ,CALCIUM CHLORIDE 100 MG/ML (10 %) INTRAVENOUS SYRINGE [3903]
 $7.00 ,CALCIUM CITRATE-VITAMIN D 315M
 $1.14 ,CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION [9081]
 $178.25 ,Calcium level
 $0.13 ,CALCIUM POLYCARBOPHIL 625 MG TABLET [47666]
 $56.08 ,CAPECITABINE 500 MG TABLET [45861]
 $681.50 ,CAPSULAR TENSION RING
 $1.26 ,CAPTOPRIL 12.5 MG TABLET [5092]
 $2.10 ,CAPTOPRIL 50 MG TABLET [5094]
 $24.38 ,CARBACHOL 0.01 % INTRAOCULAR SOLUTION [47535]
 $0.68 ,CARBAMAZEPINE 100 MG CHEWABLE TABLET [5152]
 $1.65 ,CARBAMAZEPINE 200 MG TABLET [5099]
 $1.85 ,"CARBAMAZEPINE ER 200 MG CAPSULE,EXTENDED RELEASE MPHASE12HR [81365]"
 $257.25 ,Carbamazepine level
 $0.10 ,CARBAMIDE PEROXIDE 6.5 % EAR DROPS [23259]
 $1.25 ,CARBIDOPA 10 MG-LEVODOPA 100 MG TABLET [5120]
 $0.83 ,CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET [42527]
 $1.67 ,CARBIDOPA 25 MG-LEVODOPA 250 MG TABLET [5122]
 $0.86 ,"CARBIDOPA ER 25 MG-LEVODOPA 100 MG TABLET,EXTENDED RELEASE [42932]"
 $479.00 ,Carbohydrate deficient transferrin (protein) level
 $93.00 ,Carbon dioxide (bicarbonate) level
 $1.74 ,CARBOPLATIN 10 MG/ML INTRAVENOUS SOLUTION [42654]
 $439.87 ,CARBOPROST TROMETHAMINE 250 MCG/ML INTRAMUSCULAR SOLUTION [49618]
 $170.00 ,Carboxyhemoglobin (protein) level
 $0.65 ,CARBOXYMETHYLCELLULOSE SODIUM 1 % EYE LIQUID GEL DROPS [49604]
 $238.75 ,Carcinoembryonic antigen (CEA) protein level
 $232.50 ,Cardiac output measurements
 $250.75 ,Cardiolipin antibody (tissue antibody) measurement
" $2,797.35 ",CARFILZOMIB 60 MG INTRAVENOUS SOLUTION [132199]
 $0.23 ,CARISOPRODOL 350 MG TABLET [7375]
 $67.00 ,Carnitine level
 $0.25 ,Carry current status
 $0.25 ,Carry d/c status
 $0.25 ,Carry goal status
 $2.21 ,CARVEDILOL 12.5 MG TABLET [44354]
 $2.21 ,CARVEDILOL 25 MG TABLET [44195]
 $2.21 ,CARVEDILOL 3.125 MG TABLET [46124]
 $2.21 ,CARVEDILOL 6.25 MG TABLET [44249]
 $25.00 ,Cast sup long arm ped fbrgls
 $45.00 ,Cast sup shrt leg ped fbrgls
 $30.00 ,Cast sup sht arm adult fbrgl
 $350.00 ,Catecholamines (organic nitrogen) level
 $15.25 ,CATH FOLEY SIL 2 WAY 14 FR 5CC
 $466.75 ,CATH KIT MAN 10 FR. 19.5
 $826.75 ,"Cath, drainage"
" $1,557.00 ","Cath, ep, 19 or few elect"
 $618.75 ,"Cath, hemodialysis,long-term"
 $723.50 ,"Cath, inf, per/cent/midline"
" $3,868.75 ","Cath, thrombectomy/embolect"
" $6,700.25 ","Cath, trans atherectomy, dir"
" $1,018.50 ","Cath, translumin non-laser"
" $5,904.00 ","Cath, translumin, drug-coat"
 $230.00 ,"Cath,hemodialysis,short-term"
 $22.25 ,CATHETER 12 FR
 $122.00 ,"Catheter, guiding"
" $2,382.50 ","Catheter, intraspinal"
 $1.31 ,CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION [1470]
 $10.55 ,CEFAZOLIN 10 GRAM SOLUTION FOR INJECTION [1472]
 $2.00 ,"CEFAZOLIN 2G IV SYR,PER 500MG"
 $1.91 ,CEFAZOLIN 500 MG SOLUTION FOR INJECTION [1469]
 $17.20 ,"CEFAZOLIN IV, PER 5000MG"
 $1.71 ,CEFDINIR 250 MG/5 ML ORAL SUSPENSION [56375]
 $5.29 ,CEFDINIR 300 MG CAPSULE [49074]
 $21.03 ,CEFEPIME 1 GRAM SOLUTION FOR INJECTION [44445]
 $41.74 ,CEFEPIME 2 GRAM SOLUTION FOR INJECTION [45061]
 $2.73 ,CEFOTAXIME 1 GRAM SOLUTION FOR INJECTION [30667]
 $11.61 ,CEFOXITIN 1 GRAM INTRAVENOUS SOLUTION [28465]
 $90.75 ,CEFPODOXIME 100MG TAB
 $181.75 ,"CEFPODOXIME 100MG/5ML SUSP, 50"
 $217.74 ,CEFTAROLINE FOSAMIL 400 MG INTRAVENOUS SOLUTION [119582]
 $217.74 ,CEFTAROLINE FOSAMIL 600 MG INTRAVENOUS SOLUTION [119584]
 $10.82 ,CEFTAZIDIME 1 GRAM SOLUTION FOR INJECTION [48701]
 $13.65 ,CEFTAZIDIME 2 GRAM SOLUTION FOR INJECTION [45152]
 $47.57 ,CEFTRIAXONE 1 GRAM SOLUTION FOR INJECTION [46535]
 $94.54 ,CEFTRIAXONE 2 GRAM SOLUTION FOR INJECTION [49591]
 $1.49 ,CEFTRIAXONE 250 MG SOLUTION FOR INJECTION [45128]
 $27.80 ,CEFTRIAXONE 500 MG SOLUTION FOR INJECTION [48379]
 $44.00 ,"CEFTRIAXONE PER 250MG, 1GM IN"
 $27.00 ,Ceftriaxone sodium injection
 $4.55 ,CEFUROXIME AXETIL 250 MG TABLET [30665]
 $14.96 ,CELECOXIB 200 MG CAPSULE [40379]
 $214.25 ,Cell examination of body fluid
 $201.75 ,Cell examination of specimen
" $2,753.25 ",CELLSAVER REPROFUSION PROCEDUR
 $1.00 ,CEPACOL (MENTHOL)3MG LOZENGE
 $0.72 ,CEPHALEXIN 250 MG CAPSULE [209]
 $0.30 ,CEPHALEXIN 250 MG/5 ML ORAL SUSPENSION [384]
 $1.42 ,CEPHALEXIN 500 MG CAPSULE [227]
 $146.75 ,"Cerebrospinal fluid, or amniotic fluid albumin (protein) level"
 $113.50 ,Ceruloplasmin (protein) level
 $202.75 ,Cervicovaginal secretion of placenta protein
" $2,728.50 ",Cesarean delivery
 $15.05 ,CETUXIMAB 100 MG/50 ML INTRAVENOUS SOLUTION [110228]
" $2,595.25 ",CHANGE NEPHROSTOMY TUBE
 $260.00 ,Change of breathing tube of windpipe in neck
 $47.50 ,"CH-CARBOPLATIN/50MG,0MG/ML INJ"
 $230.75 ,Chemical analysis using chromatography technique
 $203.50 ,Chemical analysis using spectrophotometry (light)
 $652.50 ,Chemical receptor analysis
 $67.00 ,Chemical test for genetic disorder
 $949.75 ,Chest ultrasound examination of heart
 $26.23 ,"CH-GEMCITABINE/200MG,1GM INJ"
 $411.75 ,"CH-GEMCITABINE/200MG,200MG INJ"
 $20.25 ,"Childbirth preparation/lamaze classes, non-physician provider, per session"
 $0.44 ,CHLORDIAZEPOXIDE 25 MG CAPSULE [9168]
 $0.37 ,CHLORDIAZEPOXIDE 5 MG CAPSULE [9167]
 $5.32 ,CHLORDIAZEPOXIDE-CLIDINIUM 5 MG-2.5 MG CAPSULE [6756]
 $0.03 ,CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH [84608]
 $0.02 ,CHLORHEXIDINE GLUCONATE 4 % TOPICAL LIQUID [8511]
 $67.50 ,Chloride level
 $9.89 ,CHLORPROMAZINE 25 MG TABLET [7440]
 $2.37 ,CHLORTHALIDONE 25 MG TABLET [5966]
 $1.12 ,CHLORZOXAZONE 500 MG TABLET [30935]
 $0.05 ,"CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT TABLET [88837]"
 $0.29 ,CHOLECALCIFEROL (VITAMIN D3) 400 UNIT TABLET [49223]
 $0.34 ,"CHOLECALCIFEROL (VITAMIN D3) 5,000 UNIT TABLET [112436]"
 $122.25 ,Cholesterol level
 $3.47 ,CHOLESTYRAMINE-ASPARTAME 4 GRAM ORAL POWDER FOR SUSP IN A PACKET [53595]
 $168.75 ,Cholinesterase (enzyme) level
 $206.59 ,CHONDROITIN-SOD HYALURON 3 %-4 %(0.5 ML)1 %(0.55 ML)INTRAOCULAR SYRING [44754]
 $276.50 ,Chromium level to test for poisoning or deficiency
 $882.25 ,Chromosome analysis for genetic defects
 $31.75 ,CH-SODIUM CHLORIDE 0.9%IV SOL
 $31.75 ,CH-SODIUM CHLORIDE/0.9% IV SOL
 $1.89 ,CILOSTAZOL 100 MG TABLET [43441]
 $33.37 ,CINACALCET 30 MG TABLET [55310]
 $10.35 ,CIPROFLOXACIN 0.3 % EYE DROPS [42747]
 $36.17 ,"CIPROFLOXACIN 0.3 %-DEXAMETHASONE 0.1 % EAR DROPS,SUSPENSION [53566]"
 $0.15 ,CIPROFLOXACIN 200 MG/100 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK [49732]
 $5.65 ,CIPROFLOXACIN 250 MG TABLET [39995]
 $0.02 ,CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK [45200]
 $3.29 ,CIPROFLOXACIN 500 MG TABLET [39996]
 $3.89 ,CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION [47334]
 $0.50 ,CISPLATIN 1 MG/ML INTRAVENOUS SOLUTION [32805]
 $2.64 ,CITALOPRAM 20 MG TABLET [43432]
 $406.00 ,Citrate level
 $6.22 ,CLARITHROMYCIN 500 MG TABLET [44878]
 $0.90 ,CLINDAMYCIN 150 MG/ML INJECTION SOLUTION [3755]
 $0.43 ,CLINDAMYCIN 600 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK [30476]
 $0.53 ,CLINDAMYCIN 900 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK [30477]
 $1.19 ,CLINDAMYCIN HCL 150 MG CAPSULE [5201]
 $8.84 ,CLOBETASOL 0.05 % TOPICAL CREAM [5904]
 $11.63 ,CLOMIPRAMINE 25 MG CAPSULE [5170]
 $0.07 ,CLONAZEPAM 0.5 MG TABLET [5159]
 $0.94 ,CLONAZEPAM 1 MG TABLET [5160]
 $34.29 ,CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH [44448]
 $57.74 ,CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH [44707]
 $80.10 ,CLONIDINE 0.3 MG/24 HR WEEKLY TRANSDERMAL PATCH [48421]
 $0.24 ,CLONIDINE HCL 0.1 MG TABLET [653]
 $0.09 ,CLONIDINE HCL 0.2 MG TABLET [654]
 $28.80 ,CLOPIDOGREL 300 MG TABLET [102007]
 $8.00 ,CLOPIDOGREL 75 MG TABLET [45777]
" $1,250.50 ",Closed treatment of ankle dislocation
 $297.00 ,Closed treatment of broken ankle
 $300.00 ,Closed treatment of broken ankle joint bone
" $1,701.75 ",Closed treatment of broken ankle with manipulation
 $382.00 ,Closed treatment of broken finger or thumb
 $396.00 ,Closed treatment of broken finger or thumb with manipulation
 $270.00 ,Closed treatment of broken foot bone
 $270.00 ,Closed treatment of broken forearm bone
 $270.00 ,Closed treatment of broken forearm bone at elbow
" $2,013.00 ",Closed treatment of broken forearm bone at elbow with manipulation
 $297.00 ,Closed treatment of broken forearm bones
" $1,441.00 ",Closed treatment of broken forearm bones with manipulation
 $270.00 ,Closed treatment of broken great toe
 $297.00 ,Closed treatment of broken heel bone
" $1,441.00 ",Closed treatment of broken or growth plate separate of forearm bone at wrist with manipulation
 $297.00 ,Closed treatment of broken shin bone
" $2,835.00 ",Closed treatment of broken shin bone with manipulation
 $430.00 ,Closed treatment of broken spine bones with casting or bracing
 $345.00 ,Closed treatment of broken toe
 $727.75 ,Closed treatment of broken toe with manipulation
" $4,798.50 ",Closed treatment of broken upper arm bone with manipulation
 $270.00 ,Closed treatment of broken wrist bone
" $2,835.00 ",Closed treatment of collar bone broken with manipulation
 $265.00 ,Closed treatment of collar bone fracture
 $374.75 ,Closed treatment of dislocated finger joint with manipulation
 $374.75 ,Closed treatment of dislocated foot joint
" $1,190.75 ","Closed treatment of dislocated forearm bone of elbow, child"
 $374.50 ,Closed treatment of dislocated hand joint with manipulation
 $550.00 ,Closed treatment of dislocated hip prosthesis
 $420.00 ,Closed treatment of dislocation of joint between collar and chest bones with manipulation
 $727.75 ,Closed treatment of dislocation of knee cap
 $400.00 ,Closed treatment of fracture and/or dislocation of pelvis and/or sacrum
" $2,700.00 ",Closed treatment of fracture below neck of upper thigh bone
 $270.00 ,Closed treatment of fracture hand bone
" $1,190.75 ",Closed treatment of fracture of bone of hand with manipulation
 $270.00 ,Closed treatment of fracture of shin bone
 $297.00 ,Closed treatment of fracture of upper arm bone at shoulder joint
 $297.00 ,Closed treatment of growth plate or broken upper arm bone at elbow
 $300.00 ,Closed treatment of hip socket fractures
 $727.75 ,Closed treatment of jaw temporomandibular joint (TMJ) dislocation
 $270.00 ,Closed treatment of knee cap fracture
" $1,440.25 ",Closed treatment of shoulder dislocation and broken of upper arm bone with manipulation
 $727.75 ,Closed treatment of shoulder dislocation with manipulation
" $3,646.00 ",Closed treatment of shoulder dislocation with manipulation under anesthesia
 $270.00 ,Closed treatment of upper arm fracture
 $814.75 ,"Closure dev, vasc"
 $392.00 ,Closure of tear duct opening using plug
 $0.59 ,CLOTRIMAZOLE 1 % TOPICAL CREAM [6666]
 $3.22 ,CLOTRIMAZOLE 10MG ORAL TROCHE
 $7.00 ,CLOTRIMAZOLE 10MG TROCHE
 $1.40 ,CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM [41550]
 $237.50 ,"Clotting factor II prothrombin, measurement"
 $237.50 ,Clotting factor inhibitor test
 $187.75 ,Clotting factor IX (PTC or Christmas) measurement
 $435.25 ,Clotting factor V (AcG or proaccelerin) measurement
 $478.00 ,Clotting factor VIII (AHG) measurement
 $301.25 ,Clotting factor VIII (von Willebrand factor) measurement
 $435.25 ,Clotting factor VIII (VW factor) antigen
 $591.75 ,Clotting factor VIII (VW factor) measurement
 $145.25 ,Clotting factor X (Stuart-Prower) measurement
 $280.50 ,Clotting factor X assessment test
 $180.00 ,Clotting factor XI (PTA) measurement
 $178.25 ,Clotting factor XII (Hageman) measurement
 $141.50 ,Clotting factor XIII (fibrin stabilizing) measurement
 $3.55 ,CLOZAPINE 100 MG TABLET [6014]
 $324.50 ,Clozapine level
 $1.37 ,"Clozapine, 25 mg"
 $158.25 ,Coagulation assessment blood test
 $178.25 ,Coagulation function measurement
 $20.00 ,Coagulation function screening test with interpretation and report
 $14.50 ,Coagulation time measurement
 $57.69 ,COCAINE 4 % TOPICAL SOLUTION [2556]
 $0.13 ,CODEINE 10 MG-GUAIFENESIN 100 MG/5 ML ORAL LIQUID [39878]
 $1.07 ,CODEINE SULFATE 30 MG TABLET [2165]
 $6.97 ,COLCHICINE 0.6 MG TABLET [3725]
 $4.31 ,COLESEVELAM 625 MG TABLET [47047]
 $34.74 ,COLISTIN (COLISTIMETHATE SODIUM) 150 MG SOLUTION FOR INJECTION [19591]
 $465.25 ,"Collagen cross links test, (urine test to evaluate bone health)"
 $191.25 ,Collection of blood specimen from a completely implantable venous access device
 $236.25 ,Collection of blood specimen from central or peripheral venous catheter
" $1,796.75 ",COLONOSCOPY
" $2,158.50 ",COLONOSCOPY W/ BIOPSY
 $132.50 ,"Community or work reintegration training, each 15 minutes"
 $79.00 ,"Complete blood cell count (red cells, white blood cell, platelets), automated test"
 $727.75 ,Complex control of nose bleed
 $70.00 ,Computerized mapping of corneal curvature
 $105.00 ,Concentration of specimen for infectious agents
 $148.75 ,Confirmation test for antibody to Borrelia burgdorferi (Lyme disease bacteria)
 $326.25 ,Confirmation test for antibody to Human T-cell lymphotropic virus (HTLV) or HIV
 $368.34 ,CONJUGATED ESTROGENS 25 MG SOLUTION FOR INJECTION [49576]
" $5,171.00 ","Conn tiss, human(inc fascia)"
 $120.75 ,Continuous monitoring of glucose in tissue fluid using sensor under skin
" $2,514.25 ",Control of bleeding in large bowel using an endoscope
" $3,109.50 ",Control of bleeding in small bowel using an endoscope
" $1,490.00 ",Control of nasal bleeding using an endoscope
 $727.75 ,Control of nose bleed and insertion of packing
" $35,412.00 ",Conversion to two chamber pacemaker system
 $199.25 ,Copper level
 $308.25 ,Cortisol (hormone) measurement
 $132.27 ,COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION [45671]
 $271.25 ,C-peptide (protein) level
 $166.25 ,Creatine kinase (cardiac enzyme) level
 $158.25 ,Creatinine clearance measurement to test for kidney function
 $95.25 ,Creatinine level to test for kidney function or muscle injury
 $719.25 ,Critical care delivery critically ill or injured patient
" $1,870.50 ","Critical care delivery critically ill or injured patient, first 30-74 minutes"
 $119.50 ,Cryoglobulin (protein) measurement
 $98.75 ,Crystal identification from tissue or body fluid
" $1,898.25 ",CT scan abdomen
" $2,940.25 ",CT scan abdomen before and after contrast
" $2,352.00 ",CT scan abdomen with contrast
" $1,894.75 ",CT scan chest
" $2,401.50 ",CT scan chest with contrast
" $1,941.25 ",CT scan head or brain
" $1,102.50 ",CT scan head or brain before and after contrast
" $2,431.50 ",CT scan head or brain with contrast
" $1,876.50 ",CT scan leg
" $2,199.75 ",CT scan leg with contrast injection
 $716.50 ,CT scan of abdomen and pelvis
" $2,042.25 ",CT scan of abdomen and pelvis before and after contrast
" $2,042.00 ",CT scan of abdomen and pelvis with contrast
" $1,633.50 ",CT scan of abdominal and pelvic blood vessels with contrast
" $4,970.00 ",CT scan of abdominal aorta and both leg arteries with contrast
" $3,087.00 ",CT scan of abdominal blood vessels with contrast
" $1,835.50 ",CT scan of arm
" $2,441.50 ",CT scan of arm blood vessels with contrast
" $2,017.75 ",CT scan of arm with contrast
" $1,102.50 ",CT scan of blood vessel of head with contrast
" $2,621.75 ",CT scan of blood vessels in chest with contrast
" $1,788.25 ",CT scan of cranial cavity
" $2,095.00 ",CT scan of cranial cavity before and after contrast
" $1,965.75 ",CT scan of cranial cavity with contrast
" $1,720.75 ",CT scan of face
" $2,670.25 ",CT scan of face before and after contrast
" $2,136.75 ",CT scan of face with contrast
" $1,411.50 ",CT scan of heart blood vessels and grafts with contrast dye
 $447.50 ,CT scan of heart structure with contrast
" $3,437.75 ",CT scan of lower leg blood vessels with contrast
" $2,639.50 ",CT scan of lower spine
" $3,193.50 ",CT scan of lower spine before and after contrast
" $2,901.75 ",CT scan of lower spine with contrast
" $1,991.75 ",CT scan of middle spine
" $2,189.25 ",CT scan of middle spine with contrast
" $2,149.75 ",CT scan of neck
" $2,624.50 ",CT scan of neck before and after contrast
" $1,102.50 ",CT scan of neck blood vessels with contrast
" $2,387.25 ",CT scan of neck with contrast
" $2,878.75 ",CT scan of pelvic blood vessels with contrast
" $2,617.00 ",CT scan of pelvis before and after contrast
" $1,997.50 ",CT scan of upper spine
" $2,498.25 ",CT scan of upper spine with contrast
" $1,857.25 ",CT scan pelvis
" $2,229.25 ",CT scan pelvis with contrast
 $238.75 ,Culture for acid-fast bacilli
 $2.43 ,CUPRIC CHLORIDE 0.4 MG/ML INTRAVENOUS SOLUTION [44283]
 $0.05 ,"CYANOCOBALAMIN (VIT B-12) 1,000 MCG TABLET [26173]"
 $8.67 ,"CYANOCOBALAMIN (VIT B-12) 1,000 MCG/ML INJECTION SOLUTION [8608]"
 $0.02 ,CYANOCOBALAMIN (VIT B-12) 100 MCG TABLET [5291]
 $185.00 ,Cyanocobalamin (vitamin B-12) level
 $1.00 ,CYCLOBENZAPRINE 10 MG TABLET [6480]
 $10.09 ,CYCLOPENTOLATE 2 % EYE DROPS [47437]
 $909.06 ,CYCLOPHOSPHAMIDE 1 GRAM INTRAVENOUS SOLUTION [42451]
" $1,704.50 ",CYCLOPHOSPHAMIDE 2 GRAM INTRAVENOUS SOLUTION [42452]
 $454.53 ,CYCLOPHOSPHAMIDE 500 MG INTRAVENOUS SOLUTION [42450]
 $10.54 ,CYCLOSPORINE 0.05 % EYE DROPS IN A DROPPERETTE [52797]
 $288.50 ,Cyclosporine level
 $7.00 ,"CYCLOSPORINE PER 25MG, 25MG CA"
 $1.10 ,CYPROHEPTADINE 4 MG TABLET [5816]
 $285.75 ,CYTOLOGY BRUSH
 $8.28 ,DABIGATRAN ETEXILATE 150 MG CAPSULE [119046]
 $8.28 ,DABIGATRAN ETEXILATE 75 MG CAPSULE [119358]
 $14.89 ,DACARBAZINE 200 MG INTRAVENOUS SOLUTION [10520]
" $1,904.62 ",DALBAVANCIN 500 MG INTRAVENOUS SOLUTION [142890]
 $2.00 ,DANTROLENE 25 MG CAPSULE [44539]
 $552.87 ,DAPTOMYCIN 500 MG INTRAVENOUS SOLUTION [54582]
 $126.55 ,DARATUMUMAB 20 MG/ML INTRAVENOUS SOLUTION [149877]
" $1,921.13 ",DARBEPOETIN ALFA 100 MCG/0.5 ML IN POLYSORBATE INJECTION SYRINGE [88219]
" $4,802.82 ",DARBEPOETIN ALFA 150 MCG/0.3 ML IN POLYSORBATE INJECTION SYRINGE [88351]
" $4,802.82 ",DARBEPOETIN ALFA 200 MCG/0.4 ML IN POLYSORBATE INJECTION SYRINGE [88214]
" $4,802.82 ",DARBEPOETIN ALFA 300 MCG/0.6 ML IN POLYSORBATE INJECTION SYRINGE [88217]
 $960.56 ,DARBEPOETIN ALFA 40 MCG/0.4 ML IN POLYSORBATE INJECTION SYRINGE [88215]
" $4,802.82 ",DARBEPOETIN ALFA 500 MCG/ML IN POLYSORBATE INJECTION SYRINGE [87339]
" $1,921.13 ",DARBEPOETIN ALFA 60 MCG/0.3 ML IN POLYSORBATE INJECTION SYRINGE [88218]
" $3,590.25 ",DBX MIX 10CC
" $2,291.50 ",DBX MIX 5CC
" $1,026.00 ",DBX PUTTY 2.5CC
" $1,872.25 ",DBX PUTTY 5CC
" $1,178.99 ",DECITABINE 50 MG INTRAVENOUS SOLUTION [87152]
 $867.00 ,Declotting infusion of implanted central venous access device or catheter
 $11.68 ,DEFEROXAMINE 500 MG SOLUTION FOR INJECTION [39169]
 $606.19 ,DEGARELIX 80 MG SUBCUTANEOUS SOLUTION [111032]
 $203.50 ,Dehydroepiandrosterone (DHEA) hormone level
 $207.25 ,Dehydroepiandrosterone (DHEA-S) hormone level
 $250.75 ,Demonstration and/or evaluation of manual maneuvers to chest wall to assist movement of lung secretions
 $187.00 ,"Demonstration and/or evaluation of patient use of aerosol generator, nebulizer, metered dose inhaler or intermittent positive pressure breathing (IPPB) device"
" $1,618.62 ",DENOSUMAB 120 MG/1.7 ML (70 MG/ML) SUBCUTANEOUS SOLUTION [119545]
 $829.25 ,DEPUY 1 GENTAMICIN BN CMNT 40G
 $7.88 ,DESMOPRESSIN 0.2 MG TABLET [45242]
 $72.96 ,DESMOPRESSIN 4 MCG/ML INJECTION SOLUTION [10519]
 $380.00 ,Destruction of 15 or more skin growths
 $35.00 ,Destruction of 2-14 skin growths
" $2,672.00 ",Destruction of extensive growths of external female genitals
" $1,764.00 ",Destruction of external female genital growths
" $2,385.00 ","Destruction of growths on esophagus, stomach, and/or upper small bowel using an endoscope"
" $1,028.00 ",Destruction of peripheral nerve or branch
 $206.00 ,Destruction of skin growth
 $215.00 ,Destruction of up to 14 skin growths
 $12.36 ,"DESVENLAFAXINE SUCCINATE ER 50 MG TABLET,EXTENDED RELEASE 24 HR [102745]"
 $229.75 ,Detection of infectious agent antibody
 $67.00 ,Detection test for candida species (yeast)
 $162.00 ,Detection test for chlamydia
 $129.50 ,Detection test for clostridium difficile
 $125.50 ,Detection test for cryptosporidium (parasite)
 $352.25 ,Detection test for Cytomegalovirus (CMV)
 $356.50 ,"Detection test for cytomegalovirus, quantification"
 $59.25 ,Detection test for entamoeba histolytica group (parasite)
 $559.00 ,Detection test for enterovirus (intestinal virus)
 $67.00 ,Detection test for gardnerella vaginalis (bacteria)
 $47.25 ,Detection test for Hepatitis B surface antigen
