2019 Detailed Line Item,
 $9.85 ,AMPICILLIN 2 GRAM SOLUTION FOR INJECTION [1481]
 $3.05 ,AMPICILLIN 500 MG SOLUTION FOR INJECTION [1475]
 $4.83 ,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION [41966]
 $9.57 ,AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [41967]
" $3,000.00 ",Amputation of foot
 $146.75 ,Amylase (enzyme) level
 $196.25 ,Analysis for antibody (IgM) to Cytomegalovirus (CMV)
 $219.50 ,Analysis for antibody (IgM) to Toxoplasma (parasite)
 $128.00 ,Analysis for antibody (IgM) to West Nile virus
 $366.25 ,Analysis for antibody bacteria
 $49.50 ,Analysis for antibody bordetella (respiratory bacteria)
 $315.00 ,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria)
 $98.25 ,Analysis for antibody to aspergillus (fungus)
 $51.50 ,Analysis for antibody to Bartonella (bacteria)
 $98.25 ,Analysis for antibody to blastomyces (fungus)
 $31.75 ,Analysis for antibody to Brucella (bacteria)
 $98.25 ,Analysis for antibody to Coccidioides (bacteria)
 $214.25 ,Analysis for antibody to Cytomegalovirus (CMV)
 $214.25 ,Analysis for antibody to Diphtheria (bacteria)
 $246.75 ,Analysis for antibody to Enterovirus (gastrointestinal virus)
 $163.75 ,Analysis for antibody to Epstein-Barr virus (mononucleosis virus)
 $148.25 ,Analysis for antibody to Giardia lamblia (intestinal parasite)
 $181.50 ,Analysis for antibody to Helicobacter pylori (gastrointestinal bacteria)
 $200.00 ,Analysis for antibody to helminth (intestinal worm)
 $219.50 ,Analysis for antibody to Hepatitis D virus
 $110.75 ,Analysis for antibody to Herpes simplex virus
 $83.00 ,"Analysis for antibody to Herpes simplex virus, type 1"
 $51.25 ,"Analysis for antibody to Herpes simplex virus, type 2"
 $98.25 ,Analysis for antibody to histoplasma (fungus)
 $100.75 ,Analysis for antibody to HIV -1 virus
 $250.75 ,Analysis for antibody to Influenza virus
 $196.50 ,Analysis for antibody to Leptospira
 $113.00 ,Analysis for antibody to mumps virus
 $207.25 ,Analysis for antibody to Mycoplasma (bacteria)
 $63.00 ,Analysis for antibody to parvovirus
 $67.75 ,Analysis for antibody to Rickettsia (bacteria)
 $113.00 ,Analysis for antibody to Rubella (German measles virus)
 $113.00 ,Analysis for antibody to Rubeola (measles virus)
 $46.00 ,Analysis for antibody to Salmonella (intestinal bacteria)
 $231.50 ,Analysis for antibody to tetanus bacteria (Clostridium tetanus)
 $261.25 ,Analysis for antibody to Toxoplasma (parasite)
 $105.00 ,Analysis for antibody to varicella-zoster virus (chicken pox)
 $197.50 ,Analysis for antibody to virus
 $128.00 ,Analysis for antibody to West Nile virus
 $217.25 ,"Analysis for antibody, Treponema pallidum"
 $234.25 ,Analysis for detection of tumor marker
 $310.50 ,Analysis of substance using immunoassay technique
 $53.50 ,Analysis using chemiluminescent technique (light and chemical )reaction
 $4.18 ,"Anastrozole, oral, 1 mg"
" $3,440.25 ","Anchor/screw bn/bn,tis/bn"
 $108.25 ,Androstenedione (hormone) level
 $539.00 ,ANES-BIER BLOCK 15 MIN
 $539.00 ,ANES-GENERAL 15 MIN
 $319.75 ,ANES-MAC 15MIN
 $319.75 ,ANES-PARAVERT BLOCK 15 MIN
 $319.75 ,ANES-REGIONAL BLOCK 15 MIN
 $319.75 ,ANES-SPINAL 15MIN
 $539.00 ,ANESTH GENERAL 1ST 15 MIN
 $539.00 ,ANESTH GENRAL ADD 15 MIN
 $319.75 ,ANES-WPIDURAL 15MIN
 $253.75 ,Angiotensin l - converting enzyme (ACE) level
 $304.25 ,Antibody evaluation
 $419.50 ,Antibody identification test for platelet antibodies
 $344.25 ,Antibody identification test for white blood cell antibodies
 $2.68 ,ANTI-INHIBITOR COAGULANT COMPLEX 400 UNIT-650 UNIT INTRAVENOUS SOLN [56616]
 $215.50 ,"Antimicrobial study, mycobacteria (TB organism family)"
 $201.75 ,Antithrombin III antigen (clotting inhibitor) activity
 $196.25 ,Antithrombin III antigen (clotting inhibitor) level
 $8.67 ,APIXABAN 5 MG TABLET [135092]
 $114.75 ,Apligraf
 $211.75 ,Apolipoprotein level
 $67.50 ,Application of blood vessel compression or decompression device to 1 or more areas
 $260.00 ,Application of cast to hand and lower forearm
 $260.00 ,"Application of cast, elbow to finger (short arm)"
 $260.00 ,"Application of cast, shoulder to hand (long arm)"
 $372.75 ,Application of chemical agent to excessive wound tissue
 $77.00 ,"Application of electrical stimulation to 1 or more areas, each 15 minutes"
 $67.50 ,Application of hot or cold packs to 1 or more areas
 $30.75 ,Application of hot wax bath to 1 or more areas
 $254.25 ,Application of long arm splint (shoulder to hand)
 $275.00 ,Application of long leg cast (thigh to toes)
 $384.75 ,Application of long leg splint (thigh to ankle or toes)
 $72.00 ,Application of mechanical traction to 1 or more areas
 $98.75 ,"Application of medication through skin using electrical current, each 15 minutes"
 $369.75 ,"Application of moveable, hinged short arm splint (forearm to hand)"
 $254.25 ,"Application of non-moveable, hinged finger splint"
 $281.75 ,"Application of non-moveable, short arm splint (forearm to hand)"
 $492.00 ,Application of rigid total contact leg cast
 $260.00 ,Application of short leg cast (below knee to toes)
 $254.00 ,Application of short leg splint (calf to foot)
 $193.00 ,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes"
" $2,361.50 ","Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 25 sq cm or less)"
 $846.00 ,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs"
" $2,361.50 ","Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs (first 25 sq cm or less)"
 $79.00 ,"Application of ultrasound to 1 or more areas, each 15 minutes"
 $253.25 ,Application of vein wound compression system lower leg below knee including ankle and foot
 $34.41 ,APRACLONIDINE 1 % EYE DROPS IN A DROPPERETTE [49077]
 $146.49 ,APREPITANT 40 MG CAPSULE [87882]
 $10.04 ,ARFORMOTEROL 15 MCG/2 ML SOLUTION FOR NEBULIZATION [90429]
 $652.04 ,ARGATROBAN 100 MG/ML INTRAVENOUS SOLUTION [28081]
" $1,902.50 ",ARGON FOCAL LASER
 $33.17 ,ARIPIPRAZOLE 10 MG TABLET [52490]
 $36.90 ,ARIPIPRAZOLE 15 MG TABLET [52491]
