CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
2450111500,HB  VAD PERFUSION HOURS 15.00," $15,850.00 ",,,
2450111600,HB  VAD PERFUSION HOURS 16.00," $16,240.00 ",,,
2450111700,HB  VAD PERFUSION HOURS 17.00," $16,630.00 ",,,
2450111800,HB  VAD PERFUSION HOURS 18.00," $17,020.00 ",,,
2450111900,HB  VAD PERFUSION HOURS 19.00," $17,410.00 ",,,
2450112000,HB  VAD PERFUSION HOURS 20.00," $17,800.00 ",,,
2450112100,HB  VAD PERFUSION HOURS 21.00," $18,190.00 ",,,
2450112200,HB  VAD PERFUSION HOURS 22.00," $18,580.00 ",,,
2450112300,HB  VAD PERFUSION HOURS 23.00," $18,970.00 ",,,
2450112400,HB  VAD PERFUSION HOURS 24.00," $19,360.00 ",,,
2453394600,HB VAD SUPPORT VENOVENOUS INITIATION," $8,960.00 ",,,
2453394700,HB VAD SUPPORT VENOARTERIAL INITIATION," $8,960.00 ",,,
2453394800,HB VAD SUPPORT VENOVENOUS EA ADDL 24HR," $8,960.00 ",,,
2453394900,HB VAD SUPPORT VENOARTERIAL EA ADDL 24HR," $8,960.00 ",,,
2459110100,HB  VAD PERFUSION CATH LAB HOURS 1.00," $10,390.00 ",,,
2459110200,HB  VAD PERFUSION CATH LAB HOURS 2.00," $10,780.00 ",,,
2459110300,HB  VAD PERFUSION CATH LAB HOURS 3.00," $11,170.00 ",,,
2459110400,HB  VAD PERFUSION CATH LAB HOURS 4.00," $11,560.00 ",,,
2459110500,HB  VAD PERFUSION CATH LAB HOURS 5.00," $11,950.00 ",,,
2459110600,HB  VAD PERFUSION CATH LAB HOURS 6.00," $12,340.00 ",,,
2459110700,HB  VAD PERFUSION CATH LAB HOURS 7.00," $12,730.00 ",,,
2459110800,HB  VAD PERFUSION CATH LAB HOURS 8.00," $13,120.00 ",,,
2459110900,HB  VAD PERFUSION HOURS 9.00," $13,510.00 ",,,
2459111000,HB  VAD PERFUSION HOURS 10.00," $13,900.00 ",,,
2459111100,HB  VAD PERFUSION HOURS 11.00," $14,290.00 ",,,
2459111200,HB  VAD PERFUSION HOURS 12.00," $14,680.00 ",,,
2459111300,HB  VAD PERFUSION HOURS 13.00," $15,070.00 ",,,
2459111400,HB  VAD PERFUSION HOURS 14.00," $15,460.00 ",,,
2459111500,HB  VAD PERFUSION HOURS 15.00," $15,850.00 ",,,
2459111600,HB  VAD PERFUSION HOURS 16.00," $16,240.00 ",,,
2459111700,HB  VAD PERFUSION HOURS 17.00," $16,630.00 ",,,
2459111800,HB  VAD PERFUSION HOURS 18.00," $17,020.00 ",,,
2459111900,HB  VAD PERFUSION HOURS 19.00," $17,410.00 ",,,
2459112000,HB  VAD PERFUSION HOURS 20.00," $17,800.00 ",,,
2459112100,HB  VAD PERFUSION HOURS 21.00," $18,190.00 ",,,
