"Description                             ","Price     "
"INTRODUCER CHIOU SP TUBE SUPRAPUBIC SET ","    282.70"
"SHEATH VASCULAR TUNNELER AND BULLET TIP ","    158.54"
"NEEDLE EXPRESSEW  (OLD # 214001)        ","    721.00"
"TUBE MYRINGOTOMY ARMSTRONG              ","     47.04"
"TUBING IRRIGATOR-STRAIGHT SHOT          ","    123.90"
"WIRE TONSIL SNARE                       ","     29.75"
"PORT TITANIUM POWER W/O SUTURE PLUG     ","   1015.00"
"DRESSING AG AQUACEL SURGICAL 3.5 X 6.0 S","    117.23"
"DRESSING AG AQUACEL SURGICAL 3.5 X 9.75 ","    146.57"
"DRESSING AG AQUACEL SURGICAL 3.5 X 13.75","    163.32"
"ANCHOR (C) QUICK GII  W/ORTHOCORD 222983","   1372.00"
"ANCHOR (C) VERSALOK W/ ORTHOCORD  DEPUY ","   1312.50"
"SHEATH BIO INTRA FIX TIB SM 30M MITEK #2","    955.50"
"SCREW TAPER BIO INTRA FIX 6-8M MITEK 254","    910.00"
"FORCEP ALLIGATOR 3FR 115CM DISP 210320  ","    889.00"
"CANNULA CLEAR THREADED 7.0MMX75MM 5/PK 2","    133.46"
"PAD GROUNDING PED #E7510-25             ","     16.45"
"SUTURE (C) NEEDLE EXPRESS SEW 2 5/PK 214","    523.39"
"MICROFIX (C) QA #3/0 ORTHOCORD V-4 W/BIT","   1242.50"
"CANNULA (C) CLEAR THREADED 5.5MMX75MM 5/","    133.00"
"REPAIR ANTERIOR SYSTEM PROA1  PROSIMA   ","   7103.43"
"HARMONIC ACE 45CM ACE45E                ","   1943.06"
"BLADDER SLING ABBREVO TVTOML (6% DISCOUN","   4115.37"
"ANCHOR GRYPHON P BR  W/ORHOCORD 2 SUTURE","   1464.75"
"SCREW CANCELLOUS 6.5X25                 ","    633.50"
"HEMOSTATIC MPH ARISTA ENT APPLICATOR KIT","    349.30"
"CAUTERY 5 MM HOOK TIP #400156 10/BOX    ","    316.80"
"DISSECTOR 5MM MARYLAND 428050 (5 X USES)","    434.00"
"BALL ELECTRODE UTAH 5MM DIA, 11CM REDSHA","     52.50"
"BLADE INFERIOR TURBINATE 2MM (1882040HRE","    889.67"
"BLADE HALL SAGITTAL                     ","     32.45"
"BURR ROUND 6.1                          ","    203.00"
"STRETCH NET SIZE 7  10 YARDS/BOX        ","      6.83"
"CATHETER FOGARTY 6 FR                   ","    131.99"
"SHEETING SILICONE   55X 75 #10682       ","     43.40"
"CANNULA & SEAL KII 5MMX100MM THREADED 12","     28.00"
"CAUTERY 5MM MONOPOLAR (REPL. 428052) 428","    997.50"
"K-WIRE DOUBLE DIAMOND .028 X 4          ","      8.47"
"CLIP 5MM MEDIUM-LARGE APPLIER #428053 (4","   2327.50"
"TVT CHOICE W/ABDOMINAL GUIDE            ","   4217.85"
"PLUG REDUCER 8MM                        ","      4.24"
"CANNULA KII THREADED 12MMX100 12EA/BX   ","     54.25"
"SET DILATOR SHEATH AMPLATZ M0062602500  ","    897.68"
"PERCUFLEX PLUS W/BRAIDED SUTURE 4.8 X 22","    495.57"
"SET PIN & DRILL                         ","    354.20"
"FORCEPS BICOAG CUTTING 5 X 45MM GYRUS (5","   1407.00"
"BLADE ELITE STONECUTTER 4.0MM #72200728 ","    222.64"
"GLIDEWIRE .035  UWR1035 (WAS 630-100)   ","    140.00"
"CATH OCCLUSION BALLOON LG 27 M001171070 ","    774.06"
"KIT KYPHON FIRST FRACTURE 2005          ","   9521.19"
"MESH HERNIA SM. CIRCLE W/STRAP 1.7 (4.3C","   1211.35"
"MESH VENTRIO ST HERNIA SM OVAL 3.1X4.7 (","   1780.10"
"TRAY KYPHO PACK 15/3 1ST FX             ","   9521.19"
"TRAY KYPHO PACK                         ","   6370.39"
"MARKER PASSIVE                          ","    328.13"
"KIT FLUID ASEPTIC TRANSFER 10/BX (Discon","     47.25"
"FORCEPS BICOAG CUTTING CURVED           ","    955.50"
"ADAPTER UROLOK M0067301401              ","     60.31"
"CATHETER 5FR OPEN ENDED M0064002011     ","     37.73"
"NEBULIZER TREATMENT - GI LAB @ IW       ","    100.00"
"SYSTEM PUMPING SINGLE ACTION M0067201001","    187.57"
"BASKET NITENOLZERO TIP 1.9FR M0063901050","    799.33"
"BASKET GEMINI 120CM M0063301070         ","    763.70"
"SUCTION 5MM IRRIGATOR #428054  (10 X USE","     99.75"
"BLADE RAD 40 4MM M4 ROTATE 1884006EM    ","   1230.25"
"SCISSORS 5 MM CURVED #428057  (5 X USES)","    434.00"
"FORCEPS 5MM CADIERE #428055  (5 X USES) ","    416.50"
"SHEET CARDIO-VASCULAR  7/CS  9162       ","     89.99"
"GRASPER 5MM CROCODILE  #428059  (5 X USE","    416.50"
"RETRACTOR SHORT RIGHT ATRIAL #420246  (1","   5369.00"
"DISSECTOR PERICARDIAL INTUITIVE #420203 ","   4004.00"
"PAD ADHESIVE ENT FUSION  XOMED (25/PK)  ","     17.15"
"LOOP TIGER AR-7234T 12/BX               ","    175.00"
"PORT  FOR 8.MM ENDOSCPE SINGLE SITE #428","    498.75"
"TRACKER PATIENT FUSION  9734887XOM (REPL","    714.00"
"DOCK ASSIST TOOL #428083                ","     95.00"
"GRASPER 5MM FUNDUS #428058 (5 X USES)   ","    416.50"
"TRAY TRIALYSIS CATH CURVED EXTENSION LEG","    602.91"
"TRAY SUPER PUBIC #143112                ","    272.27"
"BLADE MORCELLATOR 15MM CUTTER 5/BOX 0911","   2001.44"
"PLUG BIO CEMENT 10MM #163005            ","    420.00"
"TRACKER INSTRUMENT FUSION  9733533XOM   ","    551.95"
"CUTTER ENDO 45MM ARTICULATING           ","   1678.46"
"MESH ST VENTRIO MED OVAL 4.3 X 5.5 (11.0","   2628.50"
"MESH ST VENTRIO LG OVAL 7 X 9           ","   4334.40"
"NAVIGATOR 11 X 13FR 28CM M0062502000    ","    441.21"
"CEMENT & MIXER                          ","    612.50"
"FIBER SURGICAL LASER HOLMIUM 1000 MICRON","   3781.58"
"PERCUFLEX PLUS W/BRAIDED SUTURE 4.8 X 24","    495.57"
"BUR ROUND CARBIDE 2.3MM                 ","     22.26"
"BLADE RAZOR CUT 4.5                     ","    163.80"
"SHIELD FACE GUARDALL FULL LENGTH NO MASK","      4.87"
"BUR OVAL CARBIDE EXTENDED 4MM           ","    112.00"
"STENT CONTOUR 7 X 22 (REPL 180-157-04) M","    626.68"
"PAD DISP. FOR IMP KNEE POSITIONER       ","    120.75"
"BLADE SAGITTAL STRYKER SYSTEM 6         ","    194.36"
"SAWBLADE  STRYKER                       ","    194.36"
"FIBERS SLIM LINE 200 DFL  #AC-1001635 (R","   1620.68"
"FIBERS LASER 0D365UM HOLMIUM SINGLE USE ","   1245.23"
"STENT GRAFT PROSTHESIS UNIVERSAL TITANIU","   1433.60"
"NEEDLE CURVED FAST FIX ABSORBABLE PROBE ","   1133.27"
"COVERALLS FLUID RESISTANT               ","      5.15"
"TOWEL OR 17X27IN WHITE PREWASHED STERILE","      4.76"
"CEMENT W/ TOBRAMYCIN SIMPLEX STRYKER FUL","   1015.00"
"STENT URETERAL POLARIS 5 X 26 M006192123","    551.25"
