Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Charges,
37739835,OR STEM NXGN STRT EXT 15X145,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4375.97,
37739836,OR STEM NXGN STRT EXT 14X145,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4375.97,
37739837,OR BLOCK NXGEN DST ONLY E/15MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4180.47,
37739838,OR ART SURF LCCK NXGN 3/4 14MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7603.24,
37739839,OR ART SURF LCCK NXGN 3/4 17MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7603.24,
37739840,OR PL XTEND AC 3LVL 48MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4042.64,
37739841,OR SC VIPER+ TI CORT FIX 4X25,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739842,OR SC VIPER+ TI CORT FIX 4X30,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739843,OR SC VIPER+ TI CORT FIX 4X35,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739844,OR SC VIPER+ TI CORT FIX 4X40,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739845,OR SC VIPER+ TI CORT FIX 5X30,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739846,OR FEM LCCK NXGEN SZ E/RT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6670.36,
37739847,OR PLATE NXGN PC STMD TIB SZ 3,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,21478.55,
37739848,OR PL TI OCC 50MM FOR 4.0 ROD,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,12172.03,
37739849,OR MESH VENTRALIGHT ST 30X35,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,8269.05,
37739850,OR MESH VENTRALIGHT ST 17X22,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4667.41,
37739851,OR MATRISTEM SURG MTRX 10X20CM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,20286.71,
37739852,LINER R3 20D XLPE 40ID/60OD,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6751.21,
37739853,TS CORNEAL TRANSPLANT TISSUE,01/10/2017,812,10.44210,HMA REV-GENERAL SURGERY,0,
37739854,OR CUP MLTIHOLE W/GRIPTON 58MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,11367.18,
37739855,OR HEAD M ARTIC 40 +5 12/14,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5308.73,
37739856,OR TISSUE EXPANDER 133MV-14T,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4961.43,
37739858,OR SHELL TRDNT TRI HMSPHR 58F,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,9345.85,
37739859,OR LINER MDM NON-CMNT 46F,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5889.4,
37739860,OR INSERT RSTRATN X3 28/52 46F,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4639.85,
