"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00030610133,HC OVA AND PARASITES EXAM,$202.00,$202.00
Px00030610142,HC ROTAVIRUS ANTIGEN DETECTION,$296.00,$296.00
Px00030610148,HC STREP GROUP A AG,$101.00,$101.00
Px00030610160,HC UREAPLSMA-MYCOPLSMA CULTR(ARUP),$259.00,$259.00
Px00030610167,HC WEST NILE VIRUS PCR,$252.00,$252.00
Px00030610171,HC RSV Antigen screen,$302.00,$302.00
Px00030610301,HC BLOOD CULTURE FOR BACTERIA,$197.00,$197.00
Px00030610304,HC FECES CULTURE BACTERIA,$261.00,$261.00
Px00030610308,HC STOOL CULTR BACTERIA EACH - ADDTL PATH,$105.00,$105.00
Px00030610321,HC CULTURE BACTERIA OTHER,$252.00,$252.00
Px00030610356,HC CULTURE ANAEROBE IDENT EACH,$216.00,$216.00
Px00030610359,HC CULTURE AEROBIC IDENTIFY - AEROBIC ID,$71.00,$71.00
Px00030610362,HC CULTURE AEROBIC IDENTIFY - BACTERIAL ID,$56.00,$56.00
Px00030610387,HC CULTURE SCREEN ONLY,$145.00,$145.00
Px00030610395,HC Culture screen only - Bacteria Culture Screen,$137.00,$137.00
Px00030610403,HC CULTURE SCREEN ONLY - THROAT,$137.00,$137.00
Px00030610417,HC URINE CULTURE/COLONY COUNT,$254.00,$254.00
Px00030610420,HC SKIN FUNGI CULTURE,$348.00,$348.00
Px00030610421,HC FUNGUS ISOLATION CULTURE - YEAST,$318.00,$318.00
Px00030610432,HC BLOOD FUNGUS CULTURE,$317.00,$317.00
Px00030610436,HC FUNGI IDENTIFICATION YEAST,$142.00,$142.00
Px00030610444,HC FUNGI IDENTIFICATION MOLD,$164.00,$164.00
Px00030610448,HC MYCOBACTERIA CULTURE - AFB CULTURE,$142.00,$142.00
Px00030610463,HC CULTURE TYPE IMMUNOLOGIC,$106.00,$106.00
Px00030610479,HC Tissue homogenization cultr - For culture,$118.00,$118.00
Px00030610483,HC MICROBE SUSCEPTIBLE DIFFUSE,$123.00,$123.00
Px00030610491,HC MICROBE SUSCEPTIBLE DISK,$175.00,$175.00
Px00030610498,HC Microbe susceptible disk - Antibiotic Sensitivity - MI,$164.00,$164.00
Px00030610504,HC MICROBE SUSCEPTIBLE MIC,$166.00,$166.00
Px00030610551,HC MICROBE SUSCEPTIBLE ENZYME,$126.00,$126.00
Px00030610563,HC SMEAR GRAM STAIN,$90.00,$90.00
Px00030610566,HC GRAM STAIN,$84.00,$84.00
Px00030610574,HC KOHEXAM,$83.00,$83.00
Px00030610576,HC Tissue exam for fungi - Hair/Nail/Skin,$88.00,$88.00
Px00030610581,HC CLOSTRIDIUM AG EIA,$300.00,$300.00
Px00030610583,HC GIARDIA ANTIGEN,$235.00,$235.00
Px00030610588,HC Hpylori stool eia - Fecal AG,$285.00,$285.00
Px00030610591,HC INFLUENZA A OR B ANTIGEN,$226.00,$226.00
Px00030610598,HC H PYLORI AB IGA(ARUP),$159.00,$159.00
Px00030610604,HC CULTURE-BLOOD,$163.00,$163.00
Px00030610605,HC CULTURE-STOOL,$245.00,$245.00
Px00030610634,HC CULTURE-URINE,$238.00,$238.00
Px00030610663,HC H PYLORI ANTIGEN STOOL,$305.00,$305.00
Px00030610669,HC C DIFFICILE ANTIGEN,$108.00,$108.00
Px00030610688,HC ENTEROVIRUS DNA AMPLIFIED PROBE,$398.00,$398.00
Px00030010281,HC FECAL LEUKOCYTES,$139.00,$139.00
Px00030610698,HC HEPATITIS B DNA QUANTIFICATION,$526.00,$526.00
Px00030710008,HC URINALYSIS AUTO W/O SCOPE,$72.00,$72.00
Px00030710009,HC URINALYSIS AUTO W/SCOPE,$112.00,$112.00
Px00030710010,HC MICROSCOPIC EXAM OF URINE,$64.00,$64.00
Px00030710011,HC FATS/LIPIDS FECES QUAL,$100.00,$100.00
Px00030710036,HC HCG URINE QUAL PREGNANCY,$72.00,$72.00
Px00031010048,HC CALCULUS QUANTITATIVE ANALYSIS CHEMICAL,$291.00,$291.00
Px00031010246,HC BCR Nucleic acid ISO add'l,$298.00,$298.00
Px00031010279,HC Chromosome analysis,"$1,448.00","$1,448.00"
Px00031010281,HC CHROMOSOME ANALYSIS 15-20 CELLS; 2 KARATYPES,"$2,051.00","$2,051.00"
Px00031010286,HC CHROMOSOME ANALYSIS; 20-25 CELLS,"$1,548.00","$1,548.00"
Px00031010292,"HC CHROMOSOME ANALYSIS; ADD'L, KARYOTYPE, EA STUDY",$370.00,$370.00
Px00031010297,HC Chromosome count cells,"$1,953.00","$1,953.00"
Px00031010298,HC Chromosome culture harvest,"$1,197.00","$1,197.00"
Px00031010314,HC CYTO SPIN,$383.00,$383.00
Px00031010330,HC CYTOPATH EVAL FINE NEEDLE ASPIRATION INTERP/REPORT,$500.00,$500.00
Px00031010337,HC CYTOPATH SMEAR OTHER SOURCE; PREP/SCREEN/INTERP,$223.00,$223.00
Px00031010339,HC Cytopath smear/concentrate/interp; tech,$395.00,$395.00
Px00031010341,HC DECALCIFICATION,$372.00,$372.00
Px00031010386,HC IMMUNOHISTOCHEMISTRY EA ANTIBODY,$574.00,$574.00
Px00031010398,"HC INTRAOP CYTO PATH CONSULT, INITIAL SITE",$240.00,$240.00
Px00031010406,"HC ISH EACH PROBE, COMPUTER ASSISTED",$835.00,$835.00
Px00031010407,"HC ISH EACH PROBE, MANUAL",$917.00,$917.00
Px00031010448,"HC Molecular cytogenetics DNA probe; fish study, mayo",$300.00,$300.00
Px00031010498,HC Special stain group 1,$251.00,$251.00
Px00031010500,HC Special stain group 2,$202.00,$202.00
Px00031010519,"HC Surgical path gross, level 1",$78.00,$78.00
Px00031010520,"HC SURGICAL PATH GROSS/MICRO, LEVEL 2",$178.00,$178.00
Px00031010522,"HC Surgical path gross/micro, level 3",$236.00,$236.00
Px00031010524,"HC Surgical path gross/micro, level 4",$316.00,$316.00
Px00031010531,"HC SURGICAL PATH GROSS/MICRO, LEVEL 5",$557.00,$557.00
Px00031010536,"HC SURGICAL PATH GROSS/MICRO, LEVEL 6",$640.00,$640.00
Px00031010547,HC TISSUE CULTURE SKIN/BIOPSY; NON-NEO,$764.00,$764.00
Px00031010566,"HC TUMOR IMMUNOHISTOCHEMISTRY; MANUAL, EACH ANTIBODY",$605.00,$605.00
Px00031010577,HC Chromosome analysis blood,$732.00,$732.00
Px00031110007,"HC BILL CYTO NON-GYN W PATH INTERP, FLUID WASHINGS",$565.00,$565.00
Px00031110033,HC PAP-THIN PREP SCREENING,$79.00,$79.00
Px00098310088,INTRADERMAL ALLERGY TEST W/ ALLERGEN,$46.00,$46.00
Px00098310090,LAB HANDLING FEE,$44.00,$44.00
Px00098310091,PERCUT ALLERGY SKIN TESTS,$42.00,$42.00
Px0000117637L,HC NET RETRIEVAL ROTH 2.5MM,$467.00,$467.00
Px00036010110,HC Puncture drainage/aspiration of lesion,$431.00,$431.00
Px00036010111,HC DRAINAGE OF BREAST LESION,$679.00,$679.00
Px00036010114,HC INJECTION FOR BREAST X-RAY DUCTOGRAM OR GALACTOGRAM,$877.00,$877.00
Px00036010130,HC DRAIN/INJECT JOINT/BURSA SMALL W/O ULTRASOUND GUIDANCE,$501.00,$501.00
Px00036010131,HC DRAIN/INJECT JOINT/BURSA INTERM  W/O ULTRASOUND GUIDANCE,$501.00,$501.00
Px00036010132,HC ASPIRATE/INJ GANGLION CYST,$421.00,$421.00
Px00036010133,HC INJECTION FOR SHOULDER X-RAY,$747.00,$747.00
Px00036110558,HC BONE BIOPSY TROCAR/NEEDLE SUPERFICIAL,$902.00,$902.00
Px00036110562,HC DRAIN/INJECT JOINT/BURSA MAJOR JOINT W/O ULTRASOUND GUIDANCE,$501.00,$501.00
Px00045010309,HC DRAINAGE OF SKIN ABSCESS SIMPLE OR SINGLE,$266.00,$266.00
Px00045010310,HC DRAINAGE OF SKIN ABSCESS COMPLICATED OR MULTIPLE,$450.00,$450.00
Px00045010311,HC Drainage of pilonidal cyst simple,$224.00,$224.00
Px00045010312,HC Drainage of pilonidal cyst complicated,$945.00,$945.00
Px00045010313,HC REMOVE FOREIGN BODY SIMPLE,$501.00,$501.00
Px00045010314,HC REMOVE FOREIGN BODY COMPLICATED,"$1,237.00","$1,237.00"
Px00045010316,HC DRAINAGE OF HEMA/FLUID,$945.00,$945.00
Px00045010317,HC COMPLEX DRAINAGE WOUND - CMPLX,$945.00,$945.00
Px00045010318,HC DEBRIDE INFECTED SKIN,$421.00,$421.00
Px00045010320,HC DEBRIDE SKIN AT FX SITE,$543.00,$543.00
Px00045010321,HC Deb skin bone at fx site,$543.00,$543.00
Px00045010324,HC DEB SUBQ TISSUE 20 SQ CM/< - DEBRIDE SKIN,$448.00,$448.00
Px00045010325,HC DEB MUSC/FASCIA 20 SQ CM/<,$454.00,$454.00
Px00045010327,HC DEB BONE 20 SQ CM/<,$543.00,$543.00
Px00045010346,HC DEBRIDE NAIL 1-5,$224.00,$224.00
Px00045010347,HC DEBRIDE NAIL 6 OR MORE,$224.00,$224.00
Px00045010348,HC REMOVAL OF NAIL PLATE,$224.00,$224.00
Px00045010349,HC REMOVE NAIL PLATE ADD-ON,$224.00,$224.00
Px00045010351,HC REMOVAL OF NAIL BED,$543.00,$543.00
Px00045010353,HC REPAIR OF NAIL BED,$224.00,$224.00
Px00045010354,HC EXCISION OF NAIL FOLD TOE,$224.00,$224.00
Px00045010355,HC REPAIR SUPERFICIAL WOUND(S)< 2.5CM SLP NK AX EXGEN TRNK EXTR HND FT,$417.00,$417.00
Px00045010356,HC REPAIR SUPERFICIAL WOUND(S) 2.6 TO 7.5CM SLP NK AX EXGEN TRNK EXTR HND FT,$459.00,$459.00
Px00045010357,HC REPAIR SUPERFICIAL WOUND(S)7.6 TO 12.5CM SLP NK AX EXGEN TRNK EXTR HND FT,$505.00,$505.00
Px00045010358,HC REPAIR SUPERFICIAL WOUND(S)12.6 TO 20.0CM SLP NK AX EXGEN TRNK EXTR HND FT,$556.00,$556.00
Px00045010359,HC REPAIR SUPERFICIAL WOUND(S) 20.1-30.0CM SLP NK AX EXGEN TRNK EXTR HND FT,$612.00,$612.00
Px00045010360,HC Repair superficial wound(s) >30CM slp nk ax exgen trnk extr hnd ft,$673.00,$673.00
Px00045010361,HC REPAIR SUPERFICIAL WOUND(S) <2.5 FACE ERS EYLD NSE LPS MUC,$417.00,$417.00
Px00045010362,HC REPAIR SUPERFICIAL WOUND(S) 2.6 TO 5.0CM FACE ERS EYLD NSE LPS MUC,$459.00,$459.00
Px00045010363,HC REPAIR SUPERFICIAL WOUND(S) 5.1 TO 7.5CM FACE ERS EYLD NSE LPS MUC,$459.00,$459.00
Px00045010364,HC REPAIR SUPERFICIAL WOUND(S) 7.6 TO 12.5CM FACE ERS EYLD NSE LPS MUC,$505.00,$505.00
Px00045010365,HC REPAIR SUPERFICIAL WOUND(S) 12.6 TO 20.0CM FACE ERS EYLD NSE LPS MUC,$556.00,$556.00
Px00045010367,HC Repair superficial wound(s) 20.1 TO 30.0CM face ers eyld nse lps muc,$612.00,$612.00
Px00045010369,HC Repair superficial wound(s) > 30.0 CM face ers eyld nse lps muc,$673.00,$673.00
Px00045010370,HC CLOSURE OF SPLIT WOUND SIMPLE CLOSURE,$543.00,$543.00
Px00045010371,HC CLOSURE OF SPLIT WOUND W/PACKNG,$421.00,$421.00
Px00045010372,HC INTMD WND REPAIR S/TR/EXT UP TO 2.5CM,$501.00,$501.00
Px00045010373,HC INTMD WND REPAIR S/TR/EXT 2.6 TO 7.5CM,$551.00,$551.00
Px00045010374,HC INTMD WND REPAIR S/TR/EXT 7.6 TO 12.5CM,$606.00,$606.00
Px00045010375,HC INTMD WND REPAIR S/TR/EXT 12.6 TO 20.0CM,$667.00,$667.00
Px00045010376,HC Intmd wnd repair s/tr/ext 20.1 TO 30.0CM,$734.00,$734.00
Px00045010377,HC Intmd wnd repair s/tr/ext > 30 CM.,$807.00,$807.00
Px00045010378,HC INTMD WND REPAIR N-HF/GENIT UP TO 2.5CM,$501.00,$501.00
Px00045010380,HC INTMD WND REPAIR N-HG/GENIT 2.6 TO 7.5CM,$551.00,$551.00
Px00045010381,HC INTMD WND REPAIR N-HG/GENIT 7.6 TO 12.5CM,$606.00,$606.00
Px00045010382,HC Intmd wnd repair n-hg/genit 12.6 TO 20.0CM,$667.00,$667.00
Px00045010383,HC Intmd wnd repair n-hg/genit 20.1-30.0CM,$734.00,$734.00
Px00045010384,HC Intmd wnd repair n-hg/genit >30.0CM,$807.00,$807.00
Px00045010385,HC Intmd wnd repair face/mm <2.5 CM,$501.00,$501.00
Px00045010386,HC INTMD WND REPAIR FACE/MM 2.6 TO 5.0CM,$551.00,$551.00
Px00045010387,HC INTMD WND REPAIR FACE/MM 5.1 TO 7.5CM,$551.00,$551.00
Px00045010388,HC INTMD WND REPAIR FACE/MM 7.5 TO 12.5CM,$606.00,$606.00
Px00045010389,HC INTMD WND REPAIR FACE/MM 12.6 TO 20.0CM,$667.00,$667.00
Px00045010390,HC Intmd wnd repair face/mm 20.1 TO 30.0CM,$734.00,$734.00
Px00045010391,HC Intmd wnd repair face/mm >30CM,$807.00,$807.00
Px00045010392,"HC REPAIR OF WOUND OR LESION 1.1 TO 2.5CM COMPLEX, TRUNK",$586.00,$586.00
Px00045010393,"HC Repair of wound or lesion 2.6 TO 7.5CM complex, trunk",$645.00,$645.00
Px00045010394,"HC Repair wound/lesion add-on EA ADD 5CM complex, trunk",$645.00,$645.00
Px00045010395,"HC REPAIR OF WOUND OR LESION 1.1 TO 2.5CM COMPLEX, SCLP ARM LEG",$586.00,$586.00
Px00045010396,"HC REPAIR OF WOUND OR LESION 2.6 TO 7.5CM COMPLEX, SCLP ARM LEG",$645.00,$645.00
Px00045010398,"HC Repair wound/lesion add-on 5CM OR LESS complex, sclp arm leg",$645.00,$645.00
Px00045010399,"HC REPAIR OF WOUND OR LESION 1.1 TO 2.5CM CMPLX, FRHD CKS SHN MTH NK AX GEN HND FT",$586.00,$586.00
Px00045010501,"HC REPAIR OF WOUND OR LESION 2.6 TO 7.5CM CMPLX, FRHD CKS SHN MTH NK AX GEN HND FT",$645.00,$645.00
Px00045010502,"HC Repair wound/lesion add-on 5CM cmplx, frhd cks shn mth nk ax gen hnd ft",$645.00,$645.00
Px00045010504,HC Repair of wound or lesion 1.1 TO 2.5CM cmplx eyld ns ers lip,$586.00,$586.00
Px00045010505,HC Repair of wound or lesion 2.6 TO 7.5CM cmplx eyld ns ers lip,$645.00,$645.00
Px00045010506,HC Repair wound/lesion add-on 5CM cmplx eyld ns ers lip,$645.00,$645.00
Px00045010518,HC INITIAL TREATMENT OF BURN(S) 1ST DEG LOCAL TX,$224.00,$224.00
Px00045010519,HC DRESS/DEBRID P-THICK BURN S <5% TBSA,$592.00,$592.00
Px00045010534,"HC REMOVAL OF FOREIGN BODY MUSC, SIMP",$543.00,$543.00
Px00045010535,HC REMOVAL OF FOREIGN BODY COMPLEX,"$1,380.00","$1,380.00"
Px00045010538,HC INJ TENDON SHEATH/LIGAMENT,$421.00,$421.00
Px00045010539,HC INJ TRIGGER POINT 1/2 MUSCL,$421.00,$421.00
Px00045010540,HC INJECT TRIGGER POINTS =/> 3,$421.00,$421.00
Px00045010545,HC Treatment of nose fracture w/o manipulation,$224.00,$224.00
Px00045010547,HC Treatment of nose fracture w/ stabilization,$945.00,$945.00
Px00045010554,HC Treat lower jaw fracture w/o manipulation,"$2,802.00","$2,802.00"
Px00045010556,HC Reset dislocated jaw uncomplicated,$933.00,$933.00
Px00045010560,HC Treat sternum fracture,$269.00,$269.00
Px00045010566,HC TREAT CLAVICLE FRACTURE W/O MANIP,$224.00,$224.00
Px00045010569,HC Treat clavicle fracture W/MANIP,$945.00,$945.00
Px00045010572,HC Treat clavicle dislocation W/O MANI,$543.00,$543.00
Px00045010574,HC Treat clavicle dislocation W/MANIP,$543.00,$543.00
Px00045010576,HC Treat clavicle dislocationAC JT DISLO W/O MAN,$224.00,$224.00
Px00045010577,HC Treat clavicle dislocationAC JT DISLO W/O MAN BILAT,$446.00,$446.00
Px00045010579,HC Treat clavicle dislocation AC JT DISLO W/MAN,$543.00,$543.00
Px00045010580,HC Treat clavicle dislocation AC JT DISLO W/MAN BILAT,"$1,086.00","$1,086.00"
Px00045010581,HC Treat shoulder blade fx W/O MANIP,$224.00,$224.00
Px00045010583,HC Treat shoulder blade fx W/MANIP,$543.00,$543.00
Px00045010584,HC Treat shoulder blade fx W/MANIP BILAT,"$1,086.00","$1,086.00"
Px00045010585,HC Treat humerus fracture W/O MANIP,$224.00,$224.00
Px00045010586,HC Treat humerus fracture W/O MANIP BILAT,$446.00,$446.00
Px00045010588,HC Treat humerus fracture W/MANIP,$945.00,$945.00
Px00045010590,HC Treat humerus fracture TUBEROSITY W/O MAN,$224.00,$224.00
Px00045010591,HC Treat humerus fracture TUBEROSITY W/O MAN BILAT,$446.00,$446.00
Px00045010592,HC Treat humerus fracture TUBEROSITY W/MAN,$945.00,$945.00
Px00045010594,HC TREAT SHOULDER DISLOCATION W/MANIP,$266.00,$266.00
Px00045010595,HC Treat shoulder dislocation W/MANIP BILAT,$531.00,$531.00
Px00045010596,HC Treat shoulder dislocation W/MANIP & ANNES,"$1,218.00","$1,218.00"
Px00045010598,HC TREAT DISLOCATION/FRACTURE WITH MANIPULATION,$543.00,$543.00
Px00045010599,HC TREAT DISLOCATION/FRACTURE WITH MANIPULATION,"$1,086.00","$1,086.00"
Px00045010602,HC DRAINAGE OF ARM LESION,$945.00,$945.00
Px00045010603,HC Drainage of arm lesion BILAT,"$1,890.00","$1,890.00"
Px00045010604,HC Drainage of arm bursa,"$1,134.00","$1,134.00"
Px00045010606,HC Removal of arm foreign body,$543.00,$543.00
Px00045010609,HC DRAIN BLOOD FROM UNDER NAIL,$224.00,$224.00
Px00045010612,HC Treatment of nose fracture w/o stabilization,$945.00,$945.00
Px00051010401,HC FINE NEEDLE ASPIRATION BX W/O IMG GDN 1ST LESION,$617.00,$617.00
Px00096910485,EXC TR-EXT B9+MARG 3.1-4 CM,"$1,063.00","$1,063.00"
Px00096910486,EXC TR-EXT B9+MARG > 4.0 CM,"$2,101.00","$2,101.00"
Px00096910489,EXC H-F-NK-SP B9+MARG 0.6-1,$696.00,$696.00
Px00096910490,EXC H-F-NK-SP B9+MARG 3.1-4,"$1,120.00","$1,120.00"
Px00096910492,EXC FACE-MM B9+MARG 0.6-1 CM,$849.00,$849.00
Px00096910493,REMOVAL SWEAT GLAND LESION AXIL,"$1,744.00","$1,744.00"
Px00096910495,EXC TR-EXT MLG+MARG 0.6-1 CM,$728.00,$728.00
Px00096910496,EXC TR-EXT MLG+MARG 1.1-2 CM,$789.00,$789.00
Px00096910498,DEBRIDE NAIL 6 OR MORE,$132.00,$132.00
Px00096910501,INJECTION INTO SKIN LESIONS,$202.00,$202.00
Px00096910506,DESTRUCT B9 LESION 1-14,$291.00,$291.00
Px00096910507,DESTRUCTION OF SKIN LESIONS TNK/ARM/LG M 0.6-1,$799.00,$799.00
Px00096910508,DESTRUCTION OF SKIN LESIONS TNK/ARM/LG M 1.1-2,$832.00,$832.00
Px00096910509,DESTRUCTION OF SKIN LESIONS TNK/ARM/LG M 2.1-3,$869.00,$869.00
Px00096910510,DESTRUCTION OF SKIN LESIONS TNK/ARM/LG M >4,$863.00,$863.00
Px00096910513,REMOVAL OF BREAST LESION 1OR MORE LESION,"$4,162.00","$4,162.00"
Px00096910514,EXCISION BREAST LESION,"$3,817.00","$3,817.00"
Px00096910516,PARTIAL MASTECTOMY,"$3,252.00","$3,252.00"
Px00096910518,MAST SIMPLE COMPLETE,"$5,289.00","$5,289.00"
Px00096910519,THER INJECTION CARP TUNNEL,$337.00,$337.00
Px00096910520,"HC PR INJ TENDON SHEAT,LIG,TRIG",$476.00,$476.00
Px00096910521,EXC BACK TUM DEEP 5+ CM SUBFACIAL,"$4,413.00","$4,413.00"
Px00096910523,EXC SHOULDER LES SC > 3 CM,"$2,239.00","$2,239.00"
Px00096910524,PARTIAL REMOVAL COLLAR BONE,"$3,960.00","$3,960.00"
Px00096910528,TREAT CLAVICLE FRACTURE,"$5,002.00","$5,002.00"
Px00096910531,EXC ARM/ELBOW LES SC 3+ CM,"$3,005.00","$3,005.00"
Px00096910532,EXPLORE/TREAT ELBOW JOINT,"$3,243.00","$3,243.00"
Px00096910533,REMOVAL OF ELBOW BURSA,"$2,053.00","$2,053.00"
Px00096910534,REMOVE ELBOW LESION,"$3,051.00","$3,051.00"
Px00096910535,EXC TR-EXT MLG+MARG 2.1-3 CM,"$1,211.00","$1,211.00"
Px00096910537,REMOVAL OF SUPPORT IMPLANT,"$1,502.00","$1,502.00"
Px00096910538,REMOVAL OF IMPLANT,"$2,808.00","$2,808.00"
Px00097510019,HC PR FINE NEEDLE ASPIRATION BX W/O IMG GDN 1ST LESION,$481.00,$481.00
Px00097510021,ACNE SURGERY,$301.00,$301.00
Px00097510032,DEBRIDE SKIN AT FX SITE,"$1,878.00","$1,878.00"
Px00097510036,DEB SKIN BONE AT FX SITE,"$2,749.00","$2,749.00"
Px00097510038,TRIM SKIN LESION,$105.00,$105.00
Px00097510044,REMOVAL OF SKIN TAGS,$291.00,$291.00
Px00097510045,REMOVE SKIN TAGS ADD-ON,$112.00,$112.00
Px00097510046,SHAVE SKIN LESION 0.5 CM OR LESS TRNK ARM LEG,$260.00,$260.00
Px00097510048,SHAVE SKIN LESION 0.6 TO 1.0 CM TRNK ARM LEG,$390.00,$390.00
Px00097510050,SHAVE SKIN LESION 1.1 TO 2.0 CM TRNK ARM LEG,$380.00,$380.00
Px00097510053,SHAVE SKIN LESION OVER 2.0 CM TRNK ARM LEG,$457.00,$457.00
Px00097510056,SHAVE SKIN LESION 1.1 TO 2.0 CM SCLP NK HND FT GEN,$399.00,$399.00
Px00097510058,SHAVE SKIN LESION OVER 2.0 CM SCLP NK HND FT GEN,$461.00,$461.00
Px00097510060,SHAVE SKIN LESION 0.5 CM OR LESS FACE ERS EYLD NSE LPS MUC,$390.00,$390.00
Px00097510063,SHAVE SKIN LESION 0.6 TO 1.0 CM FACE ERS EYLD NSE LPS MUC,$464.00,$464.00
Px00097510065,SHAVE SKIN LESION 1.1 TO 2.0 CM FACE ERS EYLD NSE LPS MUC,$440.00,$440.00
Px00097510066,EXC TR-EXT B9+MARG 0.5 < CM,$492.00,$492.00
Px00097510068,EXC TR-EXT B9+MARG 1.1-2 CM,$675.00,$675.00
Px00097510070,HC PR 11403 EXC SKIN BENIG 2.1-3CM,"$1,054.00","$1,054.00"
Px00097510074,EXC H-F-NK-SP B9+MARG 0.5 <,$552.00,$552.00
Px00097510075,EXC H-F-NK-SP B9+MARG 1.1-2,$944.00,$944.00
Px00097510076,EXC H-F-NK-SP B9+MARG 2.1-3,"$1,132.00","$1,132.00"
Px00097510077,EXC H-F-NK-SP B9+MARG > 4 CM,"$1,574.00","$1,574.00"
Px00097510078,EXC FACE-MM B9+MARG 0.5 < CM,$649.00,$649.00
Px00097510079,EXC FACE-MM B9+MARG 1.1-2 CM,"$1,134.00","$1,134.00"
Px00097510080,EXC FACE-MM B9+MARG 2.1-3 CM,$126.00,$126.00
Px00097510081,EXC FACE-MM B9+MARG 3.1-4 CM,"$1,338.00","$1,338.00"
Px00097510082,EXC H-F-NK-SP MLG+MARG 0.6-1,$733.00,$733.00
Px00097510083,EXC H-F-NK-SP MLG+MARG 1.1-2,$884.00,$884.00
Px00097510084,EXC H-F-NK-SP MLG+MARG 2.1-3,"$1,097.00","$1,097.00"
Px00097510085,EXC H-F-NK-SP MLG+MARG 3.1-4,"$1,281.00","$1,281.00"
Px00097510086,EXC H-F-NK-SP MLG+MAR > 4 CM,"$1,588.00","$1,588.00"
Px00097510087,EXC FACE-MM MALIG+MARG 0.5 <,"$1,042.00","$1,042.00"
Px00097510088,EXC FACE-MM MALIG+MARG 0.6-1,$909.00,$909.00
Px00097510089,EXC FACE-MM MALIG+MARG 1.1-2,"$1,624.00","$1,624.00"
Px00097510090,EXC FACE-MM MALIG+MARG 2.1-3,"$2,158.00","$2,158.00"
Px00097510091,EXC FACE-MM MALIG+MARG 3.1-4,"$1,442.00","$1,442.00"
Px00097510092,EXC FACE-MM MLG+MARG > 4 CM,$315.00,$315.00
Px00097510093,REMOVAL OF PILONIDAL LESION SIMPLE,"$2,085.00","$2,085.00"
Px00097510095,REMOVAL OF PILONIDAL LESION,"$3,712.00","$3,712.00"
Px00097510097,INSERT DRUG IMPLANT DEVICE,$421.00,$421.00
Px00097510098,REMOVE DRUG IMPLANT DEVICE,$421.00,$421.00
Px00097510301,LATE CLOSURE OF WOUND EXTENSIVE OR COMPLICATED,"$2,306.00","$2,306.00"
Px00097510302,"SKIN TISSUE REARRANGEMENT 10 SQ CM OR LESS SCALP,ARM LEG","$2,769.00","$2,769.00"
Px00097510308,WOUND PREP TRK/ARM/LEG FIRST 100 SQ CM,"$2,536.00","$2,536.00"
Px00097510311,SKIN SPLT GRFT TRNK/ARM/LEG FIRST 100 SQ CM OR LESS,"$6,168.00","$6,168.00"
Px00097510313,SKIN FULL GRFT FACE/GENIT/HF 20 SQ CM OR LESS,"$4,617.00","$4,617.00"
Px00097510314,SKIN FULL GRAFT EEN & LIPS 20 SQ CM OR LESS,"$4,530.00","$4,530.00"
Px00097510316,DELAY FLAP EYE NS EAR LIP,"$3,012.00","$3,012.00"
Px00097510334,DESTRUCT PREMALG LESION FIRST LESION,$286.00,$286.00
Px00097510335,DESTRUCT PREMALG LES 2-14,$43.00,$43.00
Px00097510336,DESTROY PREMLG LESIONS 15+,"$1,056.00","$1,056.00"
Px00097510337,DESTRUCT LESION 15 OR MORE,$399.00,$399.00
Px00097510338,DESTRUCTION OF SKIN LESIONS TNK/ARM/LG M<=0.5,$422.00,$422.00
Px00097510339,DESTRUCTION OF SKIN LESIONS TNK/ARM/LG M 3.1-4,$693.00,$693.00
Px00097510340,DESTRUCTION OF SKIN LESIONS OTHER M <=0.5,$489.00,$489.00
Px00097510341,DESTRUCTION OF SKIN LESIONS OTHER M 0.6-1,$507.00,$507.00
Px00097510342,DESTRUCTION OF SKIN LESIONS OTHER M 1.1-2,$662.00,$662.00
Px00097510343,DESTRUCTION OF SKIN LESIONS OTHER M 2.1-3,$728.00,$728.00
Px00097510344,DESTRUCTION OF SKIN LESIONS OTHER M 3.1-4,$794.00,$794.00
Px00097510345,DESTRUCTION OF SKIN LESIONS OTHER M >4,$897.00,$897.00
Px00097510346,DESTRUCTION OF SKIN LESIONS FC EAR EYLDS NS LIP MUC 0.5 CM OR LESS,$575.00,$575.00
Px00097510347,DESTRUCTION OF SKIN LESIONS F E EY N L MOU 0.6 TO 1.0 CM,$592.00,$592.00
Px00097510348,DESTRUCTION OF SKIN LESIONS FACE M 1.1-2,$693.00,$693.00
Px00097510349,DESTRUCTION OF SKIN LESIONS M 2.1-3,$794.00,$794.00
Px00097510350,DESTRUCTION OF SKIN LESIONS FACE M 3.1-4,$897.00,$897.00
Px00097510353,INCISION OF BREAST LESION,"$1,336.00","$1,336.00"
Px00097510355,BX BREAST PERCUT W/O IMAGE,"$1,190.00","$1,190.00"
