"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00098710013,SUBSEQUENT HOSPITAL CARE LEVEL 3,$664.00,$664.00
Px00098710017,HOSPITAL DISCHARGE DAY < 30 MINUTES,$327.00,$327.00
Px00098710018,HOSPITAL DISCHARGE DAY > 30 MINUTES,$491.00,$491.00
Px00098810001,OFFICE CONSULTATION LEVEL 1,$504.00,$504.00
Px00098810002,OFFICE CONSULTATION LEVEL 2,$604.00,$604.00
Px00098810003,OFFICE CONSULTATION LEVEL 3,$771.00,$771.00
Px00098810004,OFFICE CONSULTATION LEVEL 4,$894.00,$894.00
Px00098810005,OFFICE CONSULTATION LEVEL 5,"$1,206.00","$1,206.00"
Px00098810006,INPATIENT CONSULTATION LEVEL 1,$270.00,$270.00
Px00098810007,INPATIENT CONSULTATION LEVEL 2,$411.00,$411.00
Px00098810008,INPATIENT CONSULTATION LEVEL 3,$504.00,$504.00
Px00098810009,INPATIENT CONSULTATION LEVEL 4,$630.00,$630.00
Px00098810010,INPATIENT CONSULTATION LEVEL 5,$792.00,$792.00
Px00042010103,HC BIOFEEDBACK PERI/URO/RECTAL,$489.00,$489.00
Px00042010108,HC Canalith reposition proc,$237.00,$237.00
Px00042010110,HC Mechanical traction therapy,$176.00,$176.00
Px00042010113,HC ELECTRIC STIM THER,$176.00,$176.00
Px00042010124,"HC ELECTRICAL STIMULATION ATTENDED, EA 15 MIN",$176.00,$176.00
Px00042010125,HC IONTOPHORESIS PER 15-MIN,$176.00,$176.00
Px00042010126,"HC CONTRAST BATH THERAPY, EA 15 MIN",$176.00,$176.00
Px00042010127,"HC ULTRASOUND THERAPY, EA 15 MIN",$176.00,$176.00
Px00042010131,"HC THERAPEUTIC EXERCISES, EA 15 MIN",$176.00,$176.00
Px00075010272,HC MPU LEVEL 6,"$0.00 | $10,920.00","$0.00 | $10,920.00"
Px00042010139,"HC NEUROMUSCULAR REEDUCATION, EA 15 MIN",$176.00,$176.00
Px00042010142,"HC GAIT TRAINING THERAPY, EA 15 MIN",$176.00,$176.00
Px00042010144,"HC MASSAGE THERAPY, EA 15 MIN",$168.00,$168.00
Px00042010146,HC PHYSICAL MEDICINE PROCEDURE,$176.00,$176.00
Px00042010150,"HC MANUAL THERAPY, EA 15 MIN",$176.00,$176.00
Px00042010153,HC Group therapeutic procedures,$131.00,$131.00
Px00042010160,"HC THERAPEUTIC ACTIVITIES, EA 15 MIN",$176.00,$176.00
Px00042010165,"HC WHEELCHAIR MNGMENT TRAINING, EA 15 MIN",$161.00,$161.00
Px00042010166,HC RMVL DEVITAL TIS 20 CM/<,$569.00,$569.00
Px00042010173,HC RMVL DEVITAL TIS ADDL 20 CM<,$687.00,$687.00
Px00042010182,HC WOUND(S) CARE NON-SELECTIVE,$482.00,$482.00
Px00042010188,HC NEG PRESS WOUND TX < 50 CM,$524.00,$524.00
Px00042010195,HC NEG PRESS WOUND TX > 50 CM,$786.00,$786.00
Px00042010248,"HC PHYSICAL PERFORMANCE TEST, EA 15 MIN",$184.00,$184.00
Px00042010264,"HC ORTHOTIC MGMT AND TRAINING, EA 15 MIN",$194.00,$194.00
Px00042010265,"HC PROSTHETIC TRAINING, EA 15 MIN",$176.00,$176.00
Px00042010270,HC ELEC STIM OTHER THAN WOUND,$176.00,$176.00
Px00043010004,HC PARAFFIN BATH THERAPY,$168.00,$168.00
Px00043010007,"HC SENSORY INTEGRATION, EA 15 MIN",$176.00,$176.00
Px00043010008,"HC SELF CARE MNGMENT TRAINING, EA 15 MIN",$184.00,$184.00
Px00043010014,"HC COMMUNITY/WORK REINTEGRATION, EA 15 MIN",$176.00,$176.00
Px00043010015,HC COMMUNITY/WORK REINTEGRATION - ONSITE,$176.00,$176.00
Px00043010029,HC ASSISTIVE TECHNOLOGY ASSESS,$176.00,$176.00
Px00044010016,HC SPEECH/HEARING THERAPY - INDIV,$525.00,$525.00
