Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
2500964,Marcaine W/Epi .25Pc 50Ml, $68.95 
2500965,Marcaine W/Epi .5Prc 50Ml, $73.75 
2500966,Marcaine .5Prc 30Ml, $76.67 
2500967,Bupivacaine 0.5Prc 30Ml, $42.75 
2500968,Bupivacaine .75Pc 30Ml Ij, $44.45 
2500969,Marcaine .25Prc 50Ml, $56.15 
2500970,Bupivacaine 0.5Prc 50 Ml, $62.50 
2500974,Maxitrol Oph 5Ml (Stat), $-   
2500975,Maxitrol Oph Oint 3.5Gm (Stat), $-   
2500984,Cefoxitin 2000 Mg Inj, $82.50 
2500999,Mestinon 10Mg Inj 2Ml, $178.60 
2501013,Methylene Blue Inj 1Ml, $8.25 
2501020,Race Epinephrine Inh 1Ml (Stat), $-   
2501031,Miochol Oph 2Ml (Stat), $-   
2501040,Miconazole 7 Vag Supp (Stat), $-   
2501041,Miconazole 7 Vag Cr 2% 47 (Stat), $-   
2501043,Morphine 15Mg Inj 20Ml, $10.38 
2501047,Morphine 10Mg Inj 1Ml, $9.70 
2501056,Muri-Lube 10Ml (Stat), $-   
2501070,Mydriacyl 1% 15Ml, $-   
2501089,Naloxone 0.4Mg Inj 1Ml, $84.65 
2501096,Tobramycin Up To 80Mg I, $14.30 
2501107,Neo-Synephrine .5% Sp 15M (Stat), $-   
2501108,Neo-Synphrne .25% Dp 30Ml (Stat), $-   
2501110,Neo-Synphrne .5% Dp 30Ml, $-   
2501111,Neo-Synphrne 2.5%Oph 5Ml, $-   
2501112,Neo-Synphrne 10% Opl 5Ml (Stat), $-   
2501113,Phenylephrine 1% Inj 1Ml, $39.95 
2501121,Neosporin Gu Irrig 1Ml, $59.80 
2501122,Neosporin Oph 10Ml Sol (Stat), $-   
2501123,Neosporin Oph Oint 3.75Gm (Stat), $-   
2501133,Sodium Nitroprusside 50Mg," $3,507.55 "
2501140,Nitroglycerin 50Mg Inj, $58.15 
2501169,Ampicillin 500Mg Inj, $25.00 
2501170,Ampicillin 250Mg Inj, $23.70 
2501171,Ampicillin 1000Mg Inj, $24.48 
2501173,Ophthaine .5% Oph 15Ml (Stat), $-   
2501176,Orabase Pl 6 Gm Paste (Stat), $-   
2501192,Papaverine 60Mg Inj 2Ml, $65.40 
2501201,Pancuronium 2Mg/Ml Inj 2M, $100.63 
2501204,Penicillin G Pot 5Mmu Inj, $67.25 
2501205,Penicillin G Pot 1Mmu, $9.85 
2501206,Penicillin G Sod 5Mmu Inj, $64.04 
2501240,Phenytoin 100Mg Inj 2Ml, $4.85 
2501246,Pilocarpine 2% 2Ml Oph, $-   
2501247,Piperacillin 4Gm Inj, $209.99 
2501248,Oxytocin 10Units Inj 1Ml, $10.15 
2501250,Vasopressin Aq 20U 1Ml, $702.50 
2501266,Polysporin Oph Oint 3.5Gm (Stat), $-   
