Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
3093585,Vanillylmandelic Acid (VMA) Urine-ARUP, $17.50 
3093586,Varicella Zoster Virus IgG Ab-ARUP, $14.50 
3093587,Varicella Zoster Virus IgM Ab-ARUP, $14.50 
3093588,Vasoactive Intestinal Polypeptide-ARUP, $18.00 
3093589,Vitamin A (Retinol)-ARUP, $13.00 
3093590,Vitamin B1 (Thiamine) Whole Blood-ARUP, $23.75 
3093591,Vitamin B6 (Pyridoxal 5-Phosphate)-ARUP, $31.50 
3093592,"Vitamin D, 1,25-Dihydroxy-ARUP", $36.75 
3093593,25-Hydroxyvitamin D2 and D3 Level-ARUP, $25.25 
3093594,Vitamin E-ARUP, $16.00 
3093595,Von Willebrand Panel-ARUP, $-   
3093596,Factor VIII:C-ARUP, $20.00 
3093597,Von Willebrand Factor Activity (RCF)-ARUP, $25.75 
3093598,Von Willebrand Factor Antigen-ARUP, $25.75 
3093600,Zinc Level-ARUP, $12.75 
3093601,Zonisamide Quantitative-ARUP, $15.25 
3093602,C-Reactive Protein-ARUP, $5.75 
3093605,Meconium-Drug Screen 9251, $-   
3093606,Mec Cann, $15.50 
3093607,Mec Coca, $15.50 
3093608,Mec Opi, $15.50 
3093609,Mec Pcp, $15.50 
3093610,Mec Amph, $15.50 
3093611,Mec Metho, $15.50 
3093612,Mec Barb, $15.50 
3093613,Mec Benz, $15.50 
3093614,Mec Propoxyphene, $15.50 
3093615,"Methotrexate, Sensitive-ARUP", $15.25 
3093616,"Drug Panel Meconium, Screen w/Rflx to Conf-ARUP", $0.01 
3093617,Mec Cann Add, $15.50 
3093618,Mec Coca Add, $15.50 
3093619,Mec Opi Add, $15.50 
3093620,Mec Pcp Add, $15.50 
3093621,Mec Amph Add, $15.50 
3093622,Mec Metho Add, $15.50 
3093623,Mec Barb Add, $15.50 
3093624,Mec Benz Add, $15.50 
3093625,Mec Propoxyphene Add, $15.50 
3093640,"Epstein-Barr Virus by Quant PCR, WB-ARUP", $48.00 
3093662,Afb Concentration (Arup), $7.50 
3093677,Tacrolimus by HPLC-MS/MS-ARUP, $15.50 
3093678,Vitamin D 25 Hydroxy (Ref), $25.25 
3093679,Cyclosporine A by HPLC-MS/MS-ARUP, $19.25 
3093681,Streptococcus pneumoniae Ag Urine-ARUP, $10.50 
3093682,Bile Acids Total-ARUP, $208.00 
3093683,Histoplasma Capsul Ag Eia, $10.50 
3093685,"Endomysial Antibody, IgA by IFA-ARUP", $13.50 
3093686,Bile Acids; Total, $19.25 
3093690,Adenovirus Igg, $14.50 
3093691,Adenovirus Igm, $14.50 
3093692,Anti-Mullerian Hormone-ARUP, $14.50 
3093724,ADAMTS13 Activity-ARUP, $27.25 
3093726,Hdl Fraction, $34.25 
3093727,Ldl Subfraction, $27.50 
3093728,Thyroid Stimulating Hormone Receptor Ab-ARUP, $18.00 
3093729,Neutrophil Oxdative Burst, $441.50 
3093730,Meningitis/Encephalitis Panel, $450.00 
3093995,Unlisted Chemistry Test, $-   
3094000,"(1,3)-Beta-D-Glucan (Fungitell)-ARUP", $165.00 
3094001,11-Deoxycortisol Quantitative-ARUP, $32.37 
3094002,"18-Hydroxycorticosterone, HPLC MS/MS-ARUP", $150.60 
3094003,21-Hydroxylase Antibody-ARUP, $14.94 
3094004,"A1A ELISA, Random Stool-ARUP", $14.85 
3094005,Acetone Quantitative-ARUP, $9.03 
3094006,Acetylcholine Blocking Antibody-ARUP, $10.27 
3094007,Acid Phosphatase Total-ARUP, $7.60 
3094008,Adenosine Deaminase RBC-ARUP, $7.60 
3094009,"Adenosine Deaminase, Pleural Fluid-ARUP", $7.60 
3094010,Alanine Aminotransferase-ARUP, $5.86 
3094011,Albumin Level CSF-ARUP, $2.83 
3094012,Alkaline Phosphatase Bone Specific-ARUP, $16.35 
3094013,"Allergen, Animal, Cat Dander-ARUP", $5.78 
3094014,"Allergen, Food, Blue Mussel-ARUP", $5.78 
3094015,"Allergen, Food, Clam-ARUP", $5.78 
3094016,"Allergen, Food, Goat Milk-ARUP", $5.78 
3094017,"Allergen Food, Honeydew/Cantaloupe Melon-ARUP", $5.78 
3094018,"Allergen, Food, Kiwi-ARUP", $5.78 
3094019,"Allergen, Food, Lobster IgG-ARUP", $5.78 
3094020,"Allergen, Food, Lobster-ARUP", $5.78 
3094021,"Allergen, Food, Oyster-ARUP", $5.78 
3094022,"Allergen, Food, Red Dye-ARUP", $5.78 
3094023,"Allergen, Food, Scallop-ARUP", $5.78 
3094024,"Allergen, Fungi/Mold, A. alternatas-ARUP", $5.78 
3094026,"Allergen, Fungi/Mold, Phoma betae IgG-ARUP", $5.78 
3094027,"Allergen, Fungi/Mold, T. viride-ARUP", $5.78 
3094028,"Allergen, Grass, Alfalfa IgE-ARUP", $5.78 
3094029,"Allergen, Grass, June/Kentucky Blue-ARUP", $5.78 
3094030,"Allergen, Insect, Honey Bee Venom IgE-ARUP", $5.78 
3094031,"Allergen, Tree, Alder Tree-ARUP", $5.78 
3094032,"Allergen, Tree, Japanese Cedar Tree-ARUP", $5.78 
3094033,"Allergen, Weed, Lamb's Quarters-ARUP", $5.78 
3094034,Alpha Fetoprotein Total & L3 Percent-ARUP, $71.99 
3094035,Aminolevulinic Acid (ALA) Urine-ARUP, $18.20 
3094036,"Amitriptyline and Nortriptyline, SP-ARUP", $34.77 
3094037,Amphiphysin  IgG Antibody-ARUP, $10.27 
3094038,Amylase Level Body Fluid-ARUP, $7.17 
3094039,"ANA, IgG ELISA w/ Reflex to ANA, IgG IFA-ARUP", $13.36 
3094040,Androstanediol Glucuronide Quantitative-ARUP, $287.75 
3094041,Aquaporin-4 Receptor Antibody-ARUP, $10.27 
3094042,Arginine Vasopressin Hormone-ARUP, $37.53 
3094043,Arsenic Fractionated Urine-ARUP, $20.98 
3094044,Aspartate Aminotransferase-ARUP, $5.71 
3094045,Aspergillus fumigatus IgG Ab by ELISA-ARUP, $16.64 
3094046,"Aspergillus Galactomannan EIA, Broncho-ARUP", $10.38 
3094047,B. burgdorferi IgG Ab by Western Blot-ARUP, $17.12 
3094048,B. burgdorferi IgM Ab by Western Blot-ARUP, $17.12 
3094049,Bartonella henselae IgG Antibody by IFA-ARUP, $11.25 
3094050,Bartonella henselae IgM Antibody by IFA-ARUP, $11.25 
3094051,"BCR-ABL1, Major (p210), Quantitative-ARUP", $70.49 
3094052,"Benzodiazepine Conf, Mec Bill-ARUP", $20.45 
3094053,Beta Globin Full Gene Sequencing-ARUP, $161.81 
3094054,Beta-2 Transferrin-ARUP, $32.80 
3094055,Beta-Hydroxybutyric Acid-ARUP, $9.03 
3094056,Bicarbonate (HCO3) Urine-ARUP, $5.32 
3094057,"Bile Acids, Fractionated and Total-ARUP", $19.97 
3094058,"Bismuth, Blood-ARUP", $22.37 
3094059,"BK Virus Detection by PCR, Urine-ARUP", $47.36 
3094060,"BK Virus, Quantitative by PCR-ARUP", $47.36 
3094061,Blastomyces Antibody by CF-ARUP, $14.26 
3094062,Borrelia Species by PCR (Lyme Disease)-ARUP, $38.80 
3094063,Brucella Ab (Total) by Agglutination-ARUP, $9.76 
3094064,C. difficile Cytotoxin Antibody-ARUP, $92.60 
3094065,"C. difficile toxin B gene (tcdB), RT-PCR Stool-ARUP", $39.77 
3094066,C-1-Esterase Inhibitor Functional-ARUP, $13.27 
3094067,C-1-Esterase Inhibitor-ARUP, $13.27 
3094068,C1Q Binding Assay-ARUP, $26.94 
3094069,Calprotectin Stool-ARUP, $21.94 
3094070,Carotene Level-ARUP, $10.20 
3094071,Catecholamine Epi/Nor-ARUP, $27.92 
3094072,CDT for Alcohol Use-ARUP, $9.32 
3094073,Celiac Disease Reflexive Cascade-ARUP, $6.08 
3094074,Chlamydia pneumoniae Body Fluid by PCR Fluid-ARUP, $38.80 
3094075,"Cholesterol, Fluid-ARUP", $7.60 
3094076,"Chromatin Antibody, IgG-ARUP", $10.27 
3094077,Chromium Level-ARUP, $22.42 
3094078,Chromogranin A-ARUP, $23.01 
3094079,Cobalt Serum or Plasma-ARUP, $22.37 
3094080,Cobalt Whole Blood-ARUP, $22.37 
3094081,"Cocaine Conf, Mec Bill-ARUP", $16.75 
3094082,"Complement Activity, Total EIA-ARUP", $22.46 
3094083,"Complement Component 1, Functional-ARUP", $124.27 
3094084,Complement Component 2-ARUP, $13.27 
3094085,Complement Factor H (B1H)-ARUP, $76.31 
3094086,Copper Level Urine-ARUP, $13.72 
3094087,Cortisol Saliva-ARUP, $18.02 
3094088,Cortisol Urine Free by LC-MS/MS-ARUP, $18.48 
3094089,Coxsackie A Serotype 9 Titer-ARUP, $14.41 
3094090,Creatine Level Urine-ARUP, $5.12 
3094091,Creatinine Body Fluid-ARUP, $5.32 
3094092,Cryoglobulin Qualitative with Rflx-ARUP, $5.32 
3094093,Cryoglobulin Qualitative-ARUP, $5.32 
3094094,"Cryptococcus Antigen by EIA, CSF-ARUP", $10.27 
3094095,C-Telopeptide Beta-Cross-Linked-ARUP, $20.50 
3094096,Cyclic Citrullinated Peptid IgG Ab-ARUP, $7.10 
3094097,"CYP450 2D6 (CYP2D6) 14 Variants,Gene Dup-ARUP", $210.00 
3094098,Cystic Fibrosis (CFTR) 32 Mutations-ARUP," $1,214.16 "
3094099,"Cysticercosis IgG Ab by ELISA, CSF-ARUP", $14.38 
3094100,Cysticercosis IgG Ab by ELISA-ARUP, $14.38 
3094101,Cystine Quantitative Timed Urine-ARUP, $18.65 
3094102,"Cytomegalovirus by Qualitative PCR, Body Fluid-ARUP", $38.80 
3094103,Cytomegalovirus IgG Ab Avidity-ARUP, $16.36 
3094104,Dehydroepiandrosterone by TMS-ARUP, $27.94 
3094105,Des-gamma-carboxy Prothrombin-ARUP, $72.98 
3094106,Dexamethasone by LC-MS/MS-ARUP, $15.14 
3094107,DNA Antibody (Single-stranded)-ARUP, $13.38 
3094108,DNase-B Antibody-ARUP, $14.66 
3094109,DRVVT Confirmation Bill-ARUP, $10.58 
3094110,dRVVT Reflex to 1:1 Mix and Confirm-ARUP, $10.58 
3094111,"DRVVT, 1:1 Mix Bill-ARUP", $10.58 
3094112,dsDNA (Crithidia luciliae) IgG Ab by IFA-ARUP, $13.33 
3094113,Ehlers-Danlos Syndrome Type VI Screen-ARUP, $20.50 
3094114,Epstein-Barr Virus by Quantitative PCR-ARUP, $47.36 
3094115,Estrone by TMS-ARUP, $27.60 
3094116,Ethyl Glucuronide/Sulfate Urine Quant-ARUP, $11.94 
3094117,Ethylene Glycol Level-ARUP, $16.47 
3094118,Everolimus by HPLC-MS/MS-ARUP, $18.73 
3094119,Factor IX Activity-ARUP, $21.05 
3094120,Factor V Leiden (F5) R506Q Mutation-ARUP, $31.83 
3094121,Factor VII Activity-ARUP, $19.80 
3094122,Fat Fecal Qualitative-ARUP, $5.63 
3094123,Fecal Occult Blood by Immunoassay-ARUP, $14.30 
3094124,Felbamate Level-ARUP, $15.14 
3094125,"Fentanyl and Metabolite, Urine Quant-ARUP", $21.51 
3094126,"Fibroblast Growth Factor 23, Plasma-ARUP", $223.20 
3094127,Flecainide Level-ARUP, $15.14 
3094128,"Fluconazole, Quantitation by LC-MS/MS-ARUP", $15.14 
3094129,"Fluoride Quantitative, Urine-ARUP", $78.00 
3094130,"Francisella tularensis IgG, IgM Abs-ARUP", $-   
3094131,Free T4 by Equil Dialysis-TMS-ARUP, $9.97 
3094132,"Gastric Parietal Cell Antibody, IgG-ARUP", $10.27 
3094133,GBM IgG Antibody by IFA-ARUP, $12.16 
3094134,"Glomerular Filtration Rate, Estimated-ARUP", $5.32 
3094135,Glucose Body Fluid-ARUP, $4.34 
3094136,Glutamic Acid Decarboxylase Antibody-ARUP, $10.27 
3094137,Glutathione Level Total-ARUP, $68.00 
3094138,H. Influenzae B IgG Antibody-ARUP, $16.58 
3094139,HBV Genotype by Sequencing-ARUP, $353.88 
3094140,"HBV QNT PCR, w/Reflex to Genotype-ARUP", $47.36 
3094141,HCV Genotyping by PCR and Sequencing-ARUP, $284.62 
3094142,Heat Shock Protein 70 by WB-ARUP, $10.27 
3094143,"Helicobacter pylori Ag, Stool by EIA-ARUP", $15.90 
3094144,"Helicobacter pylori Breath Test, Adult-ARUP", $74.47 
3094145,Hemochromatosis (HFE) 3 Mutations-ARUP, $55.19 
3094146,Hemoglobin S Evaluation-ARUP, $19.97 
3094147,"Hemoglobin, Urine-ARUP", $4.36 
3094148,"Heparin Anti-Xa, LMWH-ARUP", $14.47 
3094149,"Heparin-Ind Thrombocytopenia PF4 Ab, IgG-ARUP", $20.30 
3094150,"Hepatitis A Virus Antibodies, Total-ARUP", $13.70 
3094151,Hepatitis B Surface Ag w/ Reflex to Conf-ARUP, $11.42 
3094152,Hepatitis B Virus by Quantitative PCR-ARUP, $47.36 
3094153,"Hepatitis B Virus Core Antibodies, Total-ARUP", $13.33 
3094154,Hepatitis B Virus Surface Antibody-ARUP, $16.58 
3094155,Hepatitis B Virus Surface Antigen Conf-ARUP, $11.42 
3094156,Hepatitis Be Virus Antibody-ARUP, $12.78 
3094157,Hepatitis Be Virus Antigen-ARUP, $12.74 
3094158,Hepatitis C Virus Antibody by CIA-ARUP, $15.78 
3094159,"Hepatitis E Virus Ab, IgM by ELISA-ARUP", $14.25 
3094160,"Hepatitis Panel, Acute-ARUP", $52.66 
3094161,Histamine Urine-ARUP, $32.65 
3094162,"Histamine, Plasma-ARUP", $32.65 
3094163,Histone IgG Antibody-ARUP, $10.27 
3094164,"Histoplasma Galactomannan Ag Quant, Urine-ARUP", $10.27 
3094165,HIV 1 Antibody Confirm by Western Blot-ARUP, $21.40 
3094166,"HIV-1 PCR, Qualitative-ARUP", $94.07 
3094167,HLA Class I Panel (ABC) by NGS-ARUP, $780.00 
3094168,Homovanillic Acid (HVA) Urine-ARUP, $11.40 
3094169,HSV 1 Glycoprotein G IgG Ab-ARUP, $14.58 
3094170,HSV 2 Glycoprotein G IgG Ab-ARUP, $21.40 
3094171,HSV-1 and HSV-2 Subtype by PCR-ARUP, $30.15 
3094172,Human Epididymis Protein 4 (HE4)-ARUP, $23.58 
3094173,Human Metapneumovirus DFA-ARUP, $10.27 
3094174,"Hypoglycemia Pan, Sulfonylureas, S/P-ARUP", $19.97 
3094175,IA-2 Antibody-ARUP, $18.38 
3094176,IgF Binding Protein 1-ARUP, $122.00 
3094177,Immunoglobulin A-ARUP, $6.08 
3094178,Immunoglobulin E-ARUP, $18.21 
3094179,Immunoglobulin G Subclass 4-ARUP, $8.87 
3094180,Inhibin B-ARUP, $14.31 
3094181,Inhibin-A (DIMER)-ARUP, $17.54 
3094182,Insulin 120 Minutes-ARUP, $12.65 
3094183,Insulin 30 Minutes-ARUP, $12.65 
3094184,Insulin 60 Minutes-ARUP, $12.65 
3094185,Insulin Antibody-ARUP, $23.67 
3094186,"Insulin, Fasting-ARUP", $12.65 
3094187,Iodine Level Serum-ARUP, $22.37 
3094188,Iodine Urine-ARUP, $22.37 
3094189,"Itraconazole, Quantitative by LC-MS/MS-ARUP", $15.14 
3094190,JC Virus by PCR-ARUP, $38.80 
3094191,JO-1 Antibody-ARUP, $15.20 
3094192,Lacosamide Level-ARUP, $15.14 
3094193,Lactate Dehydrogenase Body Fluid-ARUP, $6.68 
3094194,Lead Urine-ARUP, $13.38 
3094195,Legionella pneumophila 1-6 IgG Antibody-ARUP, $16.92 
3094196,Legionella pneumophila 1-6 IgM Antibody-ARUP, $16.92 
3094197,Legionella pneumophila by DFA-ARUP, $10.27 
3094198,Leptin Quant by CIA-ARUP, $19.27 
3094199,Leukocyte Alkaline Phosphatase Smear-ARUP, $9.50 
3094200,Lidocaine Level-ARUP, $16.24 
3094201,Lipase Body Fluid-ARUP, $7.62 
3094202,Listeria CSF Ab by CF-ARUP, $82.00 
3094203,Liver-Kidney Microsome IgG Abs-ARUP, $15.20 
3094204,Lyme Disease Acute Reflexive Panel-ARUP, $18.83 
3094205,"Lymphocyte Subset 2, CD4 Pct. and Absl-ARUP", $29.60 
3094206,Lysozyme Level-ARUP, $20.74 
3094207,Magnesium Urine-ARUP, $7.41 
3094208,"Magnesium, RBC-ARUP", $7.41 
3094209,Manganese Level Serum-ARUP, $27.18 
3094210,"Marijuana Conf Mec, Bill-ARUP", $19.97 
3094211,Measles (Rubeola) IgM Ab-ARUP, $14.25 
3094212,Mercury Urine-ARUP, $14.12 
3094213,Metanephrines Fractionated Urine-ARUP, $18.73 
3094214,"Methadone & Metabolite, Quant-ARUP", $18.05 
3094215,"Methadone Conf, Mec Bill-ARUP", $18.05 
3094216,Methanol Level-ARUP, $17.77 
3094217,Methemoglobin Reductase-ARUP, $298.32 
3094218,Methylenetetrahydrofolate Reductase-ARUP, $64.05 
3094219,Methylmalonic Acid Urine-ARUP, $18.20 
3094220,Mitochondrial Disorders (mtDNA) Seq.-ARUP," $1,800.00 "
3094221,"MMA Serum/Plasma, Metabolic Disorder-ARUP", $18.20 
3094222,"MMA Serum/Plasma, Vitamin B12 Status-ARUP", $18.20 
3094223,Mycophenolic Acid and Metabolites-ARUP, $24.63 
3094224,Mycoplasma pneumoniae by PCR-ARUP, $38.80 
3094225,Natural Killer Cell Panel-ARUP, $42.16 
3094226,Neisseria gonorrhoea Antibodies Total-ARUP, $14.25 
3094227,Neuron Specific Enolase  CSF-ARUP, $23.01 
3094228,"Neuronal Nuclear Abs IgG, Immunoblot-ARUP", $10.27 
3094229,Neutrophil Associated Antibodies-ARUP, $15.88 
3094230,Niacin (Vitamin B3)-ARUP, $80.00 
3094231,Nicotine and Metabolites Quant-ARUP, $26.18 
3094232,Nicotine and Metabolites Urine Quant-ARUP, $26.18 
3094233,N-methyl-D-Aspartate Rcptr IgG Ab-ARUP, $145.60 
3094234,N-methyl-D-Aspartate Receptor Ab CSF-ARUP, $145.60 
3094235,N-methyl-D-Aspartate Receptor Bill-ARUP, $100.80 
3094236,"Norovirus Group 1 and 2 Detection PCR, Stool-ARUP", $30.15 
3094237,"N-Telopeptide, Cross-Linked, Urine-ARUP", $20.50 
3094238,Osmolality Stool-ARUP, $22.40 
3094239,Osmotic Fragility Erythrocyte-ARUP, $7.39 
3094240,Osteocalcin by ECIA-ARUP, $17.81 
3094241,"Oxalate, Total Urine-ARUP", $14.24 
3094242,Oxycodone/Oxymorphone Urine Scrn w/Rflx-ARUP, $15.22 
3094243,Pancreastatin Level-ARUP, $170.00 
3094244,Pancreatic Elastase Stool-ARUP, $14.31 
3094245,"Parvovirus B 19, by PCR-ARUP", $38.80 
3094246,Phospholipids-ARUP, $7.60 
3094247,Pipecolic Acid Level-ARUP, $19.97 
3094248,"Plasminogen Activator Inhibitor, Activity-ARUP", $19.01 
3094249,Porphobilinogen Quantitative Urine-ARUP, $9.12 
3094250,"Posaconazole, Quantitative by LC-MS/MS-ARUP", $15.14 
3094251,Potassium Stool-ARUP, $11.48 
3094252,Procalcitonin Level-ARUP, $37.69 
3094253,"Proinsulin, Intact-ARUP", $19.70 
3094254,Prostatic Acid Phosphatase-ARUP, $10.68 
3094255,Protein C Total Antigen-ARUP, $13.29 
3094256,Protein S Total Antigen-ARUP, $12.82 
3094257,Prothrombin IgG Antibody-ARUP, $61.88 
3094258,PSA Ultra Sensitive-ARUP, $20.34 
3094259,PTHRP by LC-MS/MS-ARUP, $19.97 
3094260,Pyruvic Acid Level-ARUP, $12.01 
3094261,Quetiapine Level-ARUP, $15.14 
3094262,RBC Band 3 Protein Reduction-ARUP, $42.18 
3094263,Respiratory Virus Panel by PCR-ARUP, $388.39 
3094264,Ribosomal P Protein IgG Ab-ARUP, $10.27 
3094265,Risperidone and Metabolite S/P-ARUP, $15.14 
3094266,Serine Protease 3 IgG-ARUP, $10.27 
3094267,Sickle Solubility Bill-ARUP, $5.80 
3094268,Signal Recognition Particle (SRP) Ab-ARUP, $75.00 
3094269,"Smooth Muscle Ab, IgG Titer-ARUP", $13.33 
3094270,Sodium Stool-ARUP, $5.43 
3094271,Soluble Transferrin Receptor-ARUP, $40.42 
3094272,"SRA, Unfractionated Heparin-ARUP", $20.30 
3094273,Sulfate Urine-ARUP, $5.25 
3094274,T. pallidum IgG (FTA-ABS) Antibody-ARUP, $-   
3094275,Tetanus IgG Antibody-ARUP, $16.58 
3094276,Thallium Blood-ARUP, $22.37 
3094277,Thiopurine Drug Metabolites-ARUP, $129.78 
3094278,Thyroglobulin by LC-MS/MS-ARUP, $17.76 
3094279,Thyroglobulin Reflex-ARUP, $14.97 
3094280,Toxoplasma gondii by PCR-ARUP, $38.80 
3094281,Transforming Growth Factor beta-ARUP, $14.31 
3094282,Tricyclic Antidepressant Detection-ARUP, $15.22 
3094283,"Tricyclic Antidepressants, Quant, Urine-ARUP", $141.28 
3094284,Triglycerides Body Fluid-ARUP, $6.36 
3094285,"Triiodothyronine, Reverse by TMS-ARUP", $17.42 
3094286,Trypanosoma cruzi  IgM Ab-ARUP, $13.70 
3094287,Trypanosoma cruzi IgG Ab-ARUP, $13.70 
3094288,Tryptase-ARUP, $14.31 
3094289,Tumor Necrosis Factor - alpha-ARUP, $14.31 
3094290,UGT1A1 Genotyping-ARUP, $46.14 
3094291,Urea Nitrogen Urine-ARUP, $5.25 
3094292,Uric Acid Body Fluid-ARUP, $5.25 
3094293,Varicella-Zoster Virus by PCR-ARUP, $38.80 
3094294,Very Long/Branched-Chain Fatty Acids-ARUP, $19.97 
3094295,Viscosity Serum-ARUP, $12.91 
3094296,Vitamin B1 (Thiamine) Plasma-ARUP, $23.48 
3094297,Vitamin B12 Binding Capacity-ARUP, $15.84 
3094298,Vitamin B2 (Riboflavin)-ARUP, $22.37 
3094299,Vitamin B7 (Biotin)-ARUP, $105.00 
3094300,Vitamin K1-ARUP, $15.15 
3094301,Voltage-Gated Calcium Channel (VGCC) Ab-ARUP, $14.94 
3094302,Voltage-Gated Potassium Channel (VGKC)Ab-ARUP, $14.94 
3094303,von Willebrand Factor Multimers-ARUP, $25.38 
3094304,"Voriconazole, Quantitation by LC-MS/MS-ARUP", $15.14 
3094305,West Nile Virus Antibody Panel-ARUP, $16.09 
3094306,Zinc Timed Urine-ARUP, $12.59 
3094307,Zinc Transporter 8 Antibody-ARUP, $18.38 
3094308,"Babesia microti IgG,IgM Antibody by  IFA-ARUP", $-   
3094309,"Bartonella henselae IgG, IgM Ab-ARUP", $-   
3094310,"Bartonella quintana IgG, IgM Antibodies-ARUP", $-   
3094311,"Ehrlichia Chaffeensis IgG, IgM Ab-ARUP", $-   
3094312,"Ganglioside (GM1) Antibodies, IgG/IgM-ARUP", $-   
3094313,"Gliadin Peptide IgA, IgG  Antibodies-ARUP", $-   
3094314,Hantavirus Antibodies by ELISA w Rlx-ARUP, $-   
3094315,HLA Class II (DRB1 and DQB1) by NGS-ARUP, $-   
3094316,"Measles, Rubeola IgG, IgM Abs-ARUP", $-   
3094317,MPO/PR-3 (ANCA) Antibodies-ARUP, $-   
3094318,"Parvovirus B19 IgG,IgM Abs-ARUP", $-   
3094319,"Phosphatidylserine Antibodies, IgG & IgM-ARUP", $-   
3094320,"Platelet Assoc Abs, Direct Assay-ARUP", $-   
3094321,"SSA 52 and 60 (Ro) (ENA) Ab, IgG-ARUP", $-   
3094322,"Candida IgA,IgG,IgM Antibodies-ARUP", $-   
3094323,Diphtheria and Tetanus IgG Ab-ARUP, $-   
3094324,Histoplasma Antibodies by CF and ID-ARUP, $-   
3094325,"Yersinia IgA,IgG,IgM by Immunoblot-ARUP", $-   
3094326,"Immunoglobulin G Subclasses (1, 2, 3, 4)-ARUP", $-   
3094327,"Influenza A, B Virus IgG, IgM Abs-ARUP", $-   
3094328,"Allergen, Hymenoptera, Bee Venom Profile-ARUP", $-   
3094329,"Allergen, Pediatric Food Panel 1-ARUP", $-   
3094330,Echovirus Antibodies-ARUP, $-   
3094331,"Allergen, Peanut Cmpnts IgE-ARUP", $-   
3094332,Coxsackie B Virus Antibodies-ARUP, $-   
3094333,"PNH Panel, High Sensitivity, (RBC, WBC)-ARUP", $-   
3094334,"Allergen, Food, Mixed Nuts-ARUP", $-   
3094335,"Allergen, Pediatric Food/Inhalant Panel-ARUP", $-   
3094336,"Allergen, Pediatric Inhalant, Southwest-ARUP", $-   
3094337,"Allergen, Food, Common Adult Panel-ARUP", $-   
3094338,"Allergen, Food, Comprehensive Panel 1-ARUP", $-   
3094339,"Allergen, Inhalant, Comprehensive Panel-ARUP", $-   
3094340,"Allergen, Region 14 Respiratory Pan IgE-ARUP", $-   
3094341,"Amphetamines Conf, Mec Bill-ARUP", $-   
3094342,ANCA Titer Bill-ARUP, $-   
3094343,Antiphospholipid Syndrome Panel-ARUP, $-   
3094344,Autoimmune Liver Disease Eval w/ Reflex-ARUP, $-   
3094345,"Chlamydia Ab Differentiation (LGV), MIF-ARUP", $-   
3094346,Chlamydia trachomatis Culture-ARUP, $-   
3094347,Crohn Disease Prognostic Panel-ARUP, $-   
3094348,"CT/NG by TMA, M4/UTM-ARUP", $-   
3094349,Electrolyte Panel Urine-ARUP, $-   
3094350,FibroMeter Virus-ARUP, $-   
3094351,"HSV 1,2 Glyco G-Specific, IgG-ARUP", $-   
3094352,Inflammatory Bowel Disease PRO-ARUP, $-   
3094353,Insecticide Exposure Panel-ARUP, $-   
3094354,"Kappa/Lambda Free Light Chains Qual, Urn-ARUP", $-   
3094355,Kappa/Lambda Free Light Chains Quant Urn-ARUP, $-   
3094356,Kidney Stone Risk Panel Urine-ARUP, $-   
3094357,Lipo-Profile by NMR-ARUP, $-   
3094358,Lupus Anticoagulant Reflexive Panel-ARUP, $-   
3094359,"Lymphocyte Subset 3, CD4 and CD8-ARUP", $-   
3094360,Myositis-Specific Panel-ARUP, $-   
3094361,"Opiates Conf, Mec Bill-ARUP", $-   
3094362,"Opiates Quantatative, Urine-ARUP", $-   
3094363,"Proinsulin, Intact/ Insulin Ratio-ARUP", $-   
3094364,"Protein C and S Panel, Functional-ARUP", $-   
3094365,"Protein C and S Panel, Total, Antigen-ARUP", $-   
3094366,"Saccharomyces cerevisiae IgG, IgA Abs-ARUP", $-   
3094367,"Supersaturation Profile, Urine-ARUP", $-   
3094368,"Testosterone Free And Total, Adult Male-ARUP", $-   
3094369,"Testosterone Free/Total, Female/Child-ARUP", $-   
3094370,"Testosterone, Bio and SHBG, Adult Male-ARUP", $-   
3094371,"Testosterone, Bio w/SHBG, Female/Child-ARUP", $-   
3094372,Thyroid Antibodies-ARUP, $-   
3094373,"Toxoplasm IgG, IgM Antibodies-ARUP", $-   
3094374,"Triiodothyronine Total, Reverse, Ratio-ARUP", $-   
3094375,von Hippel-Lindau (VHL) Seq and Del/Dup-ARUP, $-   
3094376,Von Willebrand Multimeric Panel-ARUP, $-   
3094377,West Nile Virus Antibody Panel CSF-ARUP, $-   
3094378,Lipid panel-ARUP, $13.88 
3094379,Drug screen amphetamines 1/2-ARUP, $8.59 
3094380,Methylenedioxyamphetamines-ARUP, $8.59 
3094381,Opiates 1 or more-ARUP, $10.76 
3094382,Drug screening oxycodone-ARUP, $10.76 
3094383,Hla ii typing 1 loc hr-ARUP, $258.00 
3094384,von Hippel-Lindau (VHL) 81403-ARUP, $99.65 
3094385,von Hippel-Lindau (VHL) 81404-ARUP, $99.65 
3094386,Assay of calcium in urine-ARUP, $6.67 
3094387,Assay of urine chloride-ARUP, $5.32 
3094388,Assay serum cholinesterase-ARUP, $8.71 
3094389,Assay rbc cholinesterase-ARUP, $8.50 
3094390,Assay of citrate-ARUP, $30.74 
3094391,Assay of ige-ARUP, $18.21 
3094392,Igg 1 2 3 or 4 each-ARUP, $8.87 
3094393,Assay of ggt-ARUP, $7.96 
3094394,Immunoassay nonantibody-ARUP, $10.27 
3094395,Assay of insulin-ARUP, $12.65 
