,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
ALDESTERONE 2H,ALDESTERONE 2, 335.40 ,,,,,,,,,
ALDOLASE,ALDOLASE, 79.92 ,,,,,,,,,
ALDOSTERONE,ALDOSTERONE, 335.40 ,,,,,,,,,
ALDOSTERONE BL,ALDOSTERONE B, 335.40 ,,,,,,,,,
ALDOSTERONE URINE,ALDOSTERONE U, 335.40 ,,,,,,,,,
ALFUZOSIN (UROXATROL) ER 10MG TAB,ALFUZOSIN, 5.00 ,,,,,,,,,
ALKALINE PHOSPHATASE,ALKALINE PHOS, 42.60 ,,,,,,,,,
ALKALINE PHOSPHATASE BONE SPECIFIC,ALK PHOS BONE, 121.68 ,,,,,,,,,
ALKALINE PHOSPHATASE ISOENZYME,ALKALINE PHOS, 121.68 ,,,,,,,,,
ALLERGEN PROFILE MOLD,ALLER-MOLD, 42.96 ,,,,,,,,,
"ALLERGEN PROFILE,FOOD",ALLERGEN PROF, 42.96 ,,,,,,,,,
"ALLERGEN PROFILE,ZONE 3 PART 1",ALLERGEN PROF, 135.48 ,,,,,,,,,
"ALLERGEN PROFILE,ZONE 3 PART 2",ALLERGEN PROF, 135.48 ,,,,,,,,,
"ALLERGEN PROFILE,ZONE 8",ALLERGEN PROF, 42.96 ,,,,,,,,,
"ALLERGEN, ANIMAL","ALLERGEN, ANI", 45.30 ,,,,,,,,,
"ALLERGEN, EGG WHITE","ALLERGEN, EGG", 42.96 ,,,,,,,,,
"ALLERGEN, MILK","IGE, MILK", 42.96 ,,,,,,,,,
"ALLERGEN, PEANUT","ALLERGEN, PEA", 42.96 ,,,,,,,,,
ALLERGENS EGG WHITE,ALLERGENS EGG, 42.96 ,,,,,,,,,
ALLERGENS GENERAL,ALLERGENS GEN, 42.96 ,,,,,,,,,
ALLERGENS-FISH,ALLERGENS-FIS, 42.96 ,,,,,,,,,
ALLERGENS-MARZE,ALLERGENS-MAR, 42.96 ,,,,,,,,,
ALLERGENS-PEANUT,ALLERGENS-PEA, 42.96 ,,,,,,,,,
ALLERGENS-SCALLOPS,ALLERGENS-SCA, 42.96 ,,,,,,,,,
ALLERGENS-SHRIMP,ALLERGENS-SHR, 42.96 ,,,,,,,,,
ALLERGENS-SOYBEANS,ALLERGENS-SOY, 42.96 ,,,,,,,,,
ALLERGENS-WALNUT,ALLERGENS-WAL, 42.96 ,,,,,,,,,
ALLERGENS-WHEAT,ALLERGENS-WHE, 42.96 ,,,,,,,,,
ALLOPURINOL (ZYLOPRIM) 100MG TAB,ALLOPURINOL, 5.00 ,,,,,,,,,
ALPHA 1 ANTITRYPSIN,A1 ANTITRYP, 110.58 ,,,,,,,,,
"ALPHA 1 ANTITRYPSIN,PHENOTYPE",A-1ANTITRYP, 119.04 ,,,,,,,,,
ALPHA-1-GLOB U,ALPHA-1-GLOB, 146.76 ,,,,,,,,,
ALPHA-2-GLOB U,ALPHA-2-GLOB, 146.76 ,,,,,,,,,
ALPRAZolam (XANAX) 0.5MG TAB,ALPRAZolam (X, 12.00 ,,,,,,,,,
ALTEPLASE (ACTIVASE) 100MG VIAL,ALTEPLASE," 10,949.64 ",,,,,,,,,
ALTEPLASE (CATHFLO) 2MG VIAL,CATHFLO 2MG, 410.45 ,,,,,,,,,
AMANTADINE (SYMMETREL) 100MG CAP,AMANTADINE, 5.85 ,,,,,,,,,
"AMIKACIN, PEAK","AMIKACIN, PEA", 140.00 ,,,,,,,,,
"AMIKACIN, TROUGH","AMIKACIN, TRO", 140.00 ,,,,,,,,,
AMINO ACID QUAN,AMINO ACID QU, 124.98 ,,,,,,,,,
AMINO ACID UA,AMINO ACID UA, 225.00 ,,,,,,,,,
AMINO ACIDS (TRAVASOL) 10% 500ML,AMINO ACIDS, 485.91 ,,,,,,,,,
AMINOPHYLLINE 25MG/1ML 20ML VIAL,AMINOPHYLLINE, 20.00 ,,,,,,,,,
AMIODARONE,AMIODARONE, 111.84 ,,,,,,,,,
AMIODARONE (CORDARONE) 150MG/3ML  INJ,CORDARONE, 20.00 ,,,,,,,,,
AMIODARONE (CORDARONE) 200MG TAB,CORDARONE 200, 8.25 ,,,,,,,,,
AMITRIPTYLINE,AMITRIPTYLINE, 686.58 ,,,,,,,,,
AMITRIPTYLINE (ELAVIL) 10MG TAB,ELAVIL 10MG T, 5.00 ,,,,,,,,,
amLODIPine (NORVASC) 5MG TAB,NORVASC 5MG T, 5.00 ,,,,,,,,,
AMMONIA,AMMONIA, 81.42 ,,,,,,,,,
AMMONIUM HYDROXIDE (AMMONIA) INHALANT,AMMONIA INHAL, 5.00 ,,,,,,,,,
AMMONIUM LACTATE 12% LOTION 240ML BOTTLE,AMMONIUM LACT, 33.66 ,,,,,,,,,
AMO,AMO, 33.00 ,,,,,,,,,
AMOXICI/CLAV 250MG/5ML ORAL SUSP 75ML,AMOXICI/CLAV, 20.00 ,,,,,,,,,
AMOXICILLIN (AMOXIL) 250MG CAP,AMOXIL 250MG, 5.00 ,,,,,,,,,
AMOXICILLIN (AMOXIL) 875MG TAB,AMOXIL 875MG, 5.00 ,,,,,,,,,
AMOXICILLIN 250MG/5ML ORAL SUSP 100ML,AMOXICILLIN, 34.16 ,,,,,,,,,
AMOXICILLIN 250MG/5ML ORAL SUSP UDC,AMOXICILLIN 2, 25.00 ,,,,,,,,,
AMOXICILLIN/CLAVULANATE K 250MG TAB,AUGMENTIN 250, 15.50 ,,,,,,,,,
AMOXICILLIN/CLAVULANATE K 875MG TAB,AUGMENTIN 875, 22.50 ,,,,,,,,,
AMPH BLOOD,AMPH BLOOD, 99.00 ,,,,,,,,,
AMPICILLIN (OMNIPEN) 1 GM VIAL,OMNIPEN 1GM, 25.00 ,,,,,,,,,
AMPICILLIN (OMNIPEN) 2 GM VIAL,AMPICILLIN, 54.70 ,,,,,,,,,
AMPICILL-SULBAC (UNASYN) :  1.5GM VIAL,UNASYN 1.5GM, 36.00 ,,,,,,,,,
AMPLIFICATION,AMPLIFICATION, 120.00 ,,,,,,,,,
AMPLIFICATION FIRST 2,AMPLIFICATION, 120.00 ,,,,,,,,,
AMYLASE,AMYLASE, 53.34 ,,,,,,,,,
AMYLASE FLUID,AMYLASE FLUID, 53.34 ,,,,,,,,,
ANA,ANA, 99.48 ,,,,,,,,,
ANA Comprehensive Panel,ANA Comprehen, 113.10 ,,,,,,,,,
ANA DIRECT,ANA DIRECT, 99.48 ,,,,,,,,,
"ANA(IFA), WITH REFLEX",ANA(IFA), 99.48 ,,,,,,,,,
ANAEROBIC ID,ANAEROBIC ID, 66.48 ,,,,,,,,,
ANCHOR MIN HARPOON LNG SHAFT,ANCHOR MIN H," 1,273.00 ",,,,,,,,,
ANCHOR MIN HARPOON SHRT SHAFT,ANCHOR MIN H," 1,273.00 ",,,,,,,,,
ANCHOR QUATTRO LINK SP KNOTLESS 4.5MM,ANCHOR  QUATT," 1,768.00 ",,,,,,,,,
ANCHOR QUATTRO X SUTURE 5.5MM,ANCHOR QUATT," 1,358.00 ",,,,,,,,,
ANCHOR SUTURE 1.8MM Q-FIX,ANCHOR SUTURE," 1,592.00 ",,,,,,,,,
ANCHOR SUTURE 2.8MM Q-FIX,ANCHOR SUTURE," 1,580.00 ",,,,,,,,,
ANCHOR SUTURE 3.0 TI-SCREW,ANCHOR SUTUR," 1,183.00 ",,,,,,,,,
