"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Hospital department charges for Services and Supplies,,
,,
,,
Charge Code,Short Description,Charge Each
134584,APP FINGER SPLINT STATIC,124
134586,"STRAPPING, SHOULDER",172
134600,APP LONG LEG SPLINT THIGH TO ANKLE OR TOES,312
134602,APP SHORT LEG SPLINT CALF TO FOOT,244
134606,"STRAPPING, KNEE",186
134608,"STRAPPING, ANKLE AND/OR FOOT",395
134624,FB REM NOSE INTRANASAL OFFC,"1,032"
134626,CONTRL NASL HEMORR ANT SIMPLE,300
134628,CONTRL NASL HEMORR ANT CMPLX,809
134630,CONTRL NASL HEMORR POST INITIAL,298
134632,"CONTRL NASL HEMORR,POST, SUBSEQUE","1,244"
133812,AIRWAY INTUBATION,196
135848,LARYNGOSCOPY FLEX FIBEROPTIC DIAG,411
133368,CHEST TUBE INSERT,"1,032"
134664,THORACENTESIS NDLE CATH ASP WO IMG,"4,112"
132942,THORACENTESIS NDLE CATH ASP W IMG UNILATERAL,"4,382"
129298,LAB VENIPUNCTURE,56
136114,LAB BLOOD TRANSFUSION,"1,149"
133446,INSERT NON-TUNNELED CENTRAL VENOUS CATH < 5 YEARS,"1,032"
134686,INSERT CV CATH NON TUN >5YRS,"1,032"
133450,INSERT PICC W/O PUMP PORT >5YRS,"2,428"
133454,PICC REPAIR/SHORTENING,"1,109"
129302,LAB CVC/VAD BLOOD DRAW,319
134688,COLLECT BLOOD FRM ESTABLISHED PICC,119
133460,CVA IVT VENOUS ACCESS DEVICE DECLOTTING,521
133462,CVA CONTRAST INJECTION,942
129304,LAB ARTERIAL PUNCTURE,319
135870,"ARTERIAL CATH, PERCUTANEOUS",239
134692,PLACEMENT NEEDLE INTRAOSSEOUS INF,347
134694,THROMBOLYSIS CEREBRAL BY IV INF,818
231266,UNLISTED PROC VASC-MIDLINE,"3,174"
133148,NEEDLE BIOPSY/LYMPH NODE,"1,415"
133492,INJECT FOR SENTINEL NODE,366
134706,REP LIP FULL THICKNESS OVER 1/2 VERT,"2,004"
134710,DRAIN ABSCESS/CYST MOUTH SIMP,759
