"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
14011,PHALANGEAL DISTAL FX w MANIP RT/FINGR F8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F8
14012,PHALANGEAL DISTAL FX w MANIP RT/FINGR F9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755F9
14013,PHALANGEAL DISTAL FX w MANIP LT/FINGR FA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26755FA
14014,INTERPHALANGEAL JNT DISCLO W/O ANESTH F1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F1
14015,INTERPHALANGEAL JNT DISCLO W/O ANESTH F2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F2
14016,INTERPHALANGEAL JNT DISCLO W/O ANESTH F3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F3
14017,INTERPHALANGEAL JNT DISCLO W/O ANESTH F4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F4
14018,INTERPHALANGEAL JNT DISCLO W/O ANESTH F5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F5
14019,INTERPHALANGEAL JNT DISCLO W/O ANESTH F6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F6
14020,INTERPHALANGEAL JNT DISCLO W/O ANESTH F7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F7
14021,INTERPHALANGEAL JNT DISCLO W/O ANESTH F8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F8
14022,INTERPHALANGEAL JNT DISCLO W/O ANESTH F9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770F9
14023,INTERPHALANGEAL JNT DISCLO W/O ANESTH FA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26770FA
14024,INTERPHALANGEAL JNT DISCLO W ANESTH F1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F1
14025,INTERPHALANGEAL JNT DISCLO W ANESTH F2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F2
14026,INTERPHALANGEAL JNT DISCLO W ANESTH F3,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F3
14027,INTERPHALANGEAL JNT DISCLO W ANESTH F4,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F4
14028,INTERPHALANGEAL JNT DISCLO W ANESTH F5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F5
14029,INTERPHALANGEAL JNT DISCLO W ANESTH F6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F6
14030,INTERPHALANGEAL JNT DISCLO W ANESTH F7,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F7
14031,INTERPHALANGEAL JNT DISCLO W ANESTH F8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F8
14032,INTERPHALANGEAL JNT DISCLO W ANESTH F9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775F9
14033,INTERPHALANGEAL JNT DISCLO W ANESTH FA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,26775FA
14034,ED-CLSD TX HIP ACETABULUM FX W/O MANI BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,2722050
14035,ED-CLSD TX HIP ACETABILUM FX W/O MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27220LT
14036,ED-CLSD TX HIP ACETABILUM FX W/O MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27220RT
14037,ED-DRAINAGE of SCROTAL WALL ABSCESS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2300,55100
14038,ED-I & D ADSCESS; PERITONSILLAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,42700
14040,ED-FEMORAL PROX/MALNECK FX WO MANI BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2723050
14041,ED-FEMORAL PROX/MALNECK FX WO MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27230LT
14042,ED-FEMORAL PROX/MALNECK FX WO MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27230RT
14043,ED-CHEMICAL CAUTERY OF TISSUE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,17250
14044,ED-FEM/PROX-NECK FX W/WO MANU SKEL TRACT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1657.75,27232
14046,INTER/PERI/SUBTROCHANTERIC FEMORAL FX BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5323,2723850
14047,INTER/PERI/SUBTROCHANTERIC FEMORAL FX LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,4258.4,27238LT
14048,INTER/PERI/SUBTROCHANTERIC FEMORAL FX RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,4258.4,27238RT
14049,"ED-HIP DISLOCATION,TRAUMATIC W/ANESTH LT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27252LT
14050,ED-UNLISTED PROC-GENITALIA MALE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,55899
14051,ED-I&D VULVA/PERINEAL ABCESS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,600,56405
14052,ED-GREATER TROCHANTERIC FX W/O MANIP BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2724650
14053,ED-GREATER TROCHANTERIC FX W/O MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27246LT
14054,ED-GREATER TROCHANTERIC FX W/O MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27246RT
14055,ED-HIP DISLOCATION W/O ANESTHESIA BI-LAT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2725050
