"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
A6946,ANTERIOR SYNTHETIC SUPPORT 486100,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5051,C1781
A6947,RETROBUTTON FEMORAL XL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1251,
A6948,SPACER 10X20X10,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,17160,
A6949,PATCH XENOSURE BIOLOGIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,528,C1768
A6950,GRAFT DERMIX DECELRIZE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7755,
A6951,SCREW QWIX FIXATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1218,C1713
A6952,PLATE 5 HOLE HUMERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7521,C1713
A6953,CABLE COBALT CHROME,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1927,C1776
A6954,CAP END(FOR ABANDONED LEAD),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,132,
A6955,GRAFT PROPATEN VASC RMVBLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9039,C1768
A6956,GRAFT PROPATEN VASC RMVBL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4808,C1768
A6957,STENT BILIARY SYS 80CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3019,
A6958,STEN BILIARY SELF EXPAND 6F,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3217,
A6959,STENT SELF EXPAND VASCULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4372,C1877
A6960,STENT SLF EXPND NITINOL 6FR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4851,C1877
A6961,STENT POLARIS ULTRA URETERA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,474,C1877
A6962,STENT POLARIS LOOP URETERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,501,C1875
A6963,STENT XACT TAPPERED 8-6MM 9-7MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8563,C1876
A6964,ICD IMPLANT CARDIOVERTER DEFIBRILLATOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,53897,C1721
A6965,STENT URETERAL DOUBLE PIGTAIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,480,C2617
A6966,LEAD ACTIVE DC US EN PACEMK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,16101,C1895
A6967,GRAFT VASCULAR STRETCH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2557,C1768
A6968,FAST FIX 360 STRT NDL DEL SYS PK IMPLANT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1551,C1713
A6969,SPACER KNEE ANTIBIOTIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12243,
A6970,STIMLUAN RAPID CURE 10CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4785,
A6971,STIMULAN RAPID CURE 20CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9240,
A6972,STENT ERCP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,436,C2617
A6973,NEUROSTIMULATOR RESTORE ULTRA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,42900,C1820
A6974,ICD IMPLANTABLE CARDIOVERTER DEFIB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,76824,C1721
A6975,STENT BILLARY WALLFLEX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5692,C2625
A6976,NAIL TIBIAL 10.5CMMX380MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7138,
A6977,ICD IMPLANT CARDIOVERTER DEFIB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,91476,C1721
A6978,GRAFT VASCULAR HYBRID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8286,C1768
A6979,DBM PUTTY DEMIN BONE MATRIX PASTE 5CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1980,C9359
A6980,DBM PUTTY DEMIN BONE MATRIX 10CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3135,C9359
A6981,DBM PUTTY PREMIX W/PRO OSTEON 5CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2640,C9359
A6982,PLATE 8 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,356,C1713
A6983,SCREW CANCELLOUS 4.0X14,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,198,C1713
A6984,SCREW CORTICAL 3.5X16,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,238,C1713
A6985,ICD IMPLANT CARDIO DEFIB DUAL CHAMBER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,57750,C1721
A6986,LEAD VENTRICULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,66000,C1895
A6987,LEAD ATRIAL PACING TILDA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1650,
A6988,SCREW 6.5MM CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1152,C1713
A6989,PLATE 4 HOLES 135 DEG DHS STANDARD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1762,C1713
A6990,SCREW LAG DHS 12.7MM THREAD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1124,C1713
A6991,SCREW CORTEX 4.4MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,75,C1713
A6992,SCREW COMPRESSION DHS 36MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,143,C1713
A6993,INSERT TIBIAL DURASUL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6403,C1776
A6994,TRAY TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,12306,C1776
A6995,INSERT TIBIAL 15MM CONSTRAIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7578,C1776
A6996,STEM 115X8/20X115,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5858,
A6997,ICD IMPLANTABLE CARDIOVERTER DIFIB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,73722,C1721
A6998,ROD PEEK CURVED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1633,C1713
A6999,SUTURE ANCHOR BIOCOMP JAR  AR-1934BCF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1006,C1713
A7000,SUTURE ANTHOR BIOCOMP JAR AR-1934BCF-2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1056,C1713
A7001,MESH COMPOSITE 6X8,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2251,C1781
A7002,MESH COMPOSITE 3X6,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,772,C1781
A7003,ANCHOR SUTURE PUSH LOCK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1254,C1713
A7004,PLATE CERVICAL DISTAL RIGHT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2594,C1713
A7005,SCREW LOCKING 2.7X16/18,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,495,C1713
A7006,SCREW CORTICAL 3.5X18,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,165,C1713
A7007,SCREW LAG                  CAT#200185,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1366,C1713
A7008,SCREW CANNULATED 6.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1102,C1713
A7009,SCREW BIOCOMPOSITE INTERFERENCE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1155,C1713
A7010,SCREW PERI LOCK 3.5 MMX12MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,389,C1713
A7011,SCREW PERI LOC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,103,C1713
A7012,PLATE TUBULAR 6 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,680,C1713
A7013,SCREW CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1419,C1713
A7014,ANCHOR CLICK (SECUR LEADS),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1303,C1713
A7015,GRAFT VASCULAR STRETCH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3633,C1768
A7016,PACEMAKER ADVANTIO DUAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,14850,C1785
A7017,MESH SYMBOTEX COMPOSITE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,887,C1781
A7018,MESH PARIETEX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1779,C1781
A7019,DEVICE LOOP RECORDER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,11550,C1764
A7020,GRAFT VASCULAR STRETCH STD WALL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3514,C1768
A7021,SCREW CANNULATED 6.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,749,C1713
A7022,SCREW CANNUALTED 6.5.MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,931,C1713
A7023,NAIL TIBIAL STANDARD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4708,C1713
A7024,SCREW LAG LOCKING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,574,C1713
A7025,PACEMAKER SINGLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,11286,C1786
A7026,LEAD PACEMAKER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2069,C1779
A7027,SCREW CORTICAL 3.5 FULL THR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,125,C1713
A7028,SCREW CANCELLOUS 4.0 FULLY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,238,C1713
A7029,STENT BIFURCATED GRAFT SYSTEM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,32917,C1874
A7030,STENT CONTRALATERAL GRAFT SYST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,16252,C1874
A7031,THIGHTROPE KNOTLESS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4151,C1713
A7032,PLATE 4 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1063,C1713
A7033,SCRW LOCKING 3.3X14,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,521,C1713
A7034,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,15585,C1776
A7035,INSERT TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9900,C1776
A7036,STEM 12MM X 100MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4863,C1776
A7037,SCREW LAG 85MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1123,C1713
A7038,SREW CORTEX PERI LOC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,96,C1713
A7039,SCREW CORTEX LOCKING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,371,C1713
A7040,BIOCOMPOSITE SUTURE TAK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1072,C1713
A7041,GRAFT VASCULAR COLLAGEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3627,C1768
A7042,SCREW 5X40 ASNIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,644,C1713
A7043,SCREW 5X36 ASMOS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,595,C1716
A7044,GRAFT BONE VITOSS BA FOAM PACK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1157,
A7045,CATHETER INTRATHECAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3630,C1887
A7046,ACCESSORY DEVICE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,264,C1713
A7047,PUMP SYNCHROMED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,36960,C1772
A7048,PLATE LATERAL FIBULA RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7108,C1713
A7049,SCREW LOCKING 3.5X10MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1138,C1713
A7050,SCREW HEADED 4.0MMX36MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1237,C1713
A7051,PUTTY DBM 2.5ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1452,C9359
A7052,TIGHTROPE BTB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1769,C1713
A7053,SCREW BIO INTERFERENCE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1063,C1713
A7054,SCREW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2821,C1713
A7055,GRAFT FIBULA 6.02,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3283,C1768
A7056,PLATE 4-HOLE 140 DEGREE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1762,C1713
A7057,SCREW 95MM LAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1124,C1713
A7058,DISTAL BICEP IMPLANT SYSTEM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2805,C1713
A7059,PACEMAKER EVIA DR-T DUAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,18348,C1785
A7060,LEAD PACEMAKER TENDRIL ST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,5362,C1898
A7061,FILLER BONE HYDROSET 5 CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4795,C9359
A7062,PLATE ATLANTIS 7.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7962,C1713
A7063,SCREW SELF TAPPING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1643,C1713
A7064,SCREW SELF TAPPING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1287,C1713
A7065,SCEW SELF DRILLING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1646,C1713
A7066,GRAFT LORDOTIC CORTICAL BLOCK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3795,
A7067,STENT PERCUFLEX URETERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,376,C1874
A7068,SHELL ACETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9457,C1776
A7069,LINER ACETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8048,C1776
A7070,HEAD FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9947,C1776
A7071,STEM FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,17582,C1776
A7072,HEAD FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6075,C1776
A7073,TRAY TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5603,C1776
A7074,INSERT TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3363,C1776
A7075,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9228,C1776
A7076,FINGER JOINT IMPLANT SILICO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4250,C1776
A7077,SCREW CORTICAL 3.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,224,C1713
A7078,SCREW CANULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1419,C1713
A7079,PLATE 10 HOLE LEFT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5181,C1713
A7080,SCREW LOCKING T25 PERI-LOC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,585,C1713
A7081,SCREW PERO-LOC CORTEX T25,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,96,C1713
A7082,SCREW PERI-LOC CORTEX T25,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,169,C1713
A7083,SCREW CANNULATED 4.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,688,C1713
A7084,ANCHOR QUICK DRAW MINI-BELA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2551,C1713
A7085,SCREW CANNULATED 4.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,688,C1713
A7086,PLATE 8 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3175,C1713
A7087,SCREW CORTICAL 3.5X18,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,333,C1713
A7088,ICD LUMAX 540DT-T,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,60918,C1721
A7089,PLATE 8 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,734,C1713
A7090,SCREW CORTEX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,103,C1713
A7091,SCREW CANCELOUS 4.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,127,C1713
A7092,MICRO SUTURE ANCHOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1439,C1713
A7093,NAIL CANNULATED TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5098,C1713
A7094,SCREW LOCKING STARDRIVE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,613,C1713
A7095,NAIL TIBIAL 10.5 X 320,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6798,C1713
A7096,SCREW CORTICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1099,C1713
A7097,SCREW 1.5 CORTEX SELF TAPP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,121,C1713
A7098,PLATE 1.5 6 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,688,C1713
A7099,FEMORAL COMPONENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,16534,C1776
A7100,SCREW CANNULATED 46MM 4.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,939,C1713
A7101,PATELLA INSET 25MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2625,C1713
A7102,TIBIAL INSERT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6334,C1713
A7103,PLATE VARIAX VOLAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3089,C1776
A7104,SCREW BONE 2.7 X 18,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,373,C1713
A7105,SCREW LOSCKING 2.7 X 14,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,422,C1713
A7106,GRAFT VITOSS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5475,C9359
A7107,GRAFT VASCULAR ACUSEAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4224,C1768
A7108,SCREW 4.0X4.0MM ASNIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,615,
A7109,SCREW CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,659,C1713
A7110,SCREW CANNULATED 7.3MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,903,C1713
A7111,GRAFT VASCULAR ALBO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2557,C1768
A7112,PLATE 7 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,579,C1713
A7113,SCREW CORTICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,103,C1713
A7114,SCREW CANCELLOUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,90,C1713
A7115,SCREW CORTEX HEX 1.5 X 16MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,146,C1713
A7116,ICD CARDIOVERTER DEFIBRILLATOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,49500,C1721
A7117,PLATE 7 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5379,C1713
A7118,SCREW 8MM LOCKING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,924,C1713
A7119,SCREW FIXATION QWIX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1270,C1713
A7120,HEALICOIL REGINISORB 5.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1122,C1713
A7121,ANCHOR SUTURE 2.9,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1082,C1713
A7122,PACEMAKER DUAL CHAMBER   CAT ADDRS1,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,275,13150,C1785
A7123,GRAFT VASCULAR HYBRID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9174,C1768
A7124,PORT CATHAPOWERPORT 6.0FR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,858,C1788
A7125,CAGE ACCETABULAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,9870,
A7126,CUP ACCETABALUR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3453,
A7127,SCREW SELF TAPPING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,628,C1713
A7128,HEAD FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2488,C1713
A7129,STEM HUMERAL 12 X 145,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,14272,C1776
A7130,HEAD HUMERAL 22X44MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6616,C1776
A7131,TIGHTROPE ACL RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1650,C1713
A7132,PLATE VARIAX FIBULA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2180,C1713
A7133,SCREW 3.5X18 BONE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,234,C1713
A7134,SCREW LOCKING 3.5X12,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,528,C1713
A7135,SCREW 4.0 X 46,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,615,C1713
A7136,PLATE 3.5 MM 5 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3085,C1713
A7137,WASHER 7.0MM  (IMPLANT),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,121,C1713
A7138,SCREW 3.5MM X 12MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,102,C1713
A7139,SCREW 5.0MM X 10MM OSTEOPENIA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,249,C1713
A7140,PLATE OSTEOMY TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2409,C1713
A7141,SCREWS CANCELLOUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,280,C1713
A7142,GRAFT WEDGE OSFERION OSTEO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1633,C1768
A7143,NAIL INTERTAN 11.5MM X 20CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6163,C1713
A7144,SCRW INT SUBTROCC LAG11X105,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2161,C1713
A7145,ANCHOR SUTURE 5.5 FOOTPRINT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1098,C1713
A7146,ANCHOR SUTURE 4.75 HEALICOIL REGEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1188,C1713
A7147,INSERT TIBIAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4494,C1776
A7148,SCREW BIOSURE 10X25,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,726,C1713
A7149,ENDO BUTTON,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,779,C1713
A7150,NAIL TIBIAL RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8849,C1713
A7151,BIORAPTOR KNOTLESS (S&N),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,961,C1713
A7152,OSTEORAPTOR CURVED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1314,
A7153,COVER SCREW HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,135,C1713
A7154,SCREW LAG VHS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1564,C1713
A7155,SCREW VHS CORTICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,145,C1713
A7156,ALLOGRAFT WEDGE 8MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6583,C1713
A7157,PLATE UNIVERSAL 24MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5329,C1713
A7158,SCREW PLATE LAG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,643,C1713
A7159,PLATE REARFOOT RECONSTRUCTION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6220,C1713
A7160,SCREW STANDARD 3.5X18MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,709,C1713
A7161,IMPLANT/STERILE-INTERPHALANGEAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3816,
A7162,NAIL THROCHANTERIC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,8078,C1713
A7163,SCREW LAG INTERFACE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3013,C1713
A7164,SCREW CORTICAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,964,C1713
A7165,SCREW LOCKING CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,607,C1713
A7166,SCREW NON-LOCKING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,307,C1713
A7167,SCREW LOCKING CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,835,C1713
A7168,PLATE 4 HOLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6857,C1713
A7169,STEM FEMORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,19747,C1776
A7170,HEAD BI-POLAR ASSY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,4523,C1776
A7171,HEAD TOTAL NEUTRAL NECK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3277,C1776
A7172,GRAFT VASCULAR THIN WALL 8MM X 50CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,6148,
A7173,GRAFT REVISION CORE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,2924,C1768
A7174,GRAFT TIBIALIS TENDON,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,5004,C1768
A7175,ENDO BUTTONULTRA PAC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,1095,C1713
A7176,NAIL TROCH SHORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,7468,C1713
A7177,SCREW LAG SOLID FIXED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3264,C1713
A7178,IMPLANT GEL ROUND NATRELLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3059,C1789
