Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
110358,CHLORPROMAZINE 10MG,$11.00 
110359,CHLORPROMAZINE 25MG,$5.50 
110367,CLONAZEPAM 0.5MG T,$5.50 
110368,CLONAZEPAM 1MG T,$4.50 
110371,DESIPRAMINE 25MG T,$6.50 
110373,DIAZEPAM 2MG T,$14.50 
110374,DIAZEPAM 5MG T,$14.50 
110377,DOXEPIN 10MG C,$5.50 
110378,DOXEPIN 25MG C,$5.50 
110379,DOXEPIN 50MG CAP,$6.00 
110383,FLUPHENAZINE 5MG T,$8.00 
110388,HALOPERIODOL 1MG T,$9.50 
110391,HALOPERIDOL 5MG T,$10.50 
110394,HYDROXYZINE 25MG C,$17.50 
110406,IMIPRAMINE 10MG TABS,$4.50 
110408,IMIPRAMINE 25MG T,$5.50 
110419,LORAZEPAM 0.5MG T,$15.00 
110422,LORAZEPAM 1MG T,$15.00 
110428,LOXAP SUC 25MG C,$7.50 
110437,METHYLPHEN 5MG T,$7.50 
110442,NORTRIPT 10MG C,$5.50 
110443,NORTRIP 25MG C,$12.00 
110447,OXAZEPAM 15MG C,$6.50 
110457,CARBAMAZ 200MG T,$5.50 
110458,PERPHEN 4MG T,$10.00 
110459,PERPHEN AMITR 2\10 T,$12.00 
110461,PERPHEN AMITR 2\25 T,$12.00 
110463,PERPHEN AMITR 4\25 T,$12.00 
110464,PHENOBARB 100MG T,$12.00 
110468,PHENOBARB 20\5 5ML,$12.00 
110469,PHENOBARB 30MG T,$12.00 
110471,PHENYTOIN 100MG C,$4.50 
110472,PHENYTOIN 125\5 5ML,$4.50 
110473,PHENYTOIN 50MG T,$4.50 
110474,PRIMIDONE 250MG T,$10.50 
110477,PRIMIDONE 50MG T,$9.50 
110482,TEMAZEPAM 15MG C,$12.00 
110483,THIORIDAZ 10MG T,$3.00 
110486,THIORIDAZ 25MG T,$3.00 
110491,THIOTHIXENE 1MG C,$11.00 
110494,TRAZODONE 50MG T,$4.50 
110498,TRIFLUOPER 5MG T,$4.50 
110508,DIVALPROEX 250 ECT,$12.00 
110513,BUPROPION 75MG T,$5.50 
110516,BUSPIRONE 5MG T,$4.50 
110517,FLUOXETINE 20MG C,$14.50 
110518,FLUOXETINE 10MG C,$5.50 
110523,BUPROPION 100MG T,$5.50 
110526,SELEGILINE 5MG T,$8.50 
110533,DIVALPR 125MG ECT,$4.00 
110539,SERTRALINE 50MG T,$12.00 
110544,PAROXETINE 20MG T,$14.00 
110548,TEMAZEPAM 7.5MG C,$27.00 
110549,ZOLPIDEM TAR 5MG T,$12.00 
110553,RISPERIDONE 1MG T,$9.50 
110554,VENLAFAX 37.5MG T,$7.50 
110557,GABAPENTIN 100MG C,$7.50 
110561,GABAPENTIN 400MG C,$7.50 
110563,GABAPENTIN 300MG C,$17.50 
110564,NEFAZOD 100MG T,$7.50 
110567,ISTRADIPINE 2.5MG C,$4.50 
110574,ACETYL20% 30ML INH,$8.00 
110582,ALBUTEROL 4MG T,$4.50 
110584,AMILOR HCTZ 5/50 T,$5.50 
110588,ATENOLOL 25MG T,$9.00 
110593,BUMETANIDE 1MG T,$4.50 
110596,CAPTOPRIL 25MG T,$12.00 
110597,CAPTOPRIL 50MG T,$12.00 
110599,ISTRADIPINE 5MG C,$4.50 
110602,INDAPAMIDE 2.5MG T,$3.50 
110606,ATENOLOL 50MG T,$17.50 
110607,RAMIPRIL 2.5MG C,$4.50 
110608,RAMIPRIL 5MG C,$4.50 
110617,NTG SL 0.4MG 25'S,$3.00 
110622,AMMONIA AR EA INH,$14.00 
110626,CHLORTHALIDONE 25MG,$4.50 
110628,CLONIDINE 0.1MG T,$5.50 
110637,BENAZEPRIL 10MG T,$5.50 
110642,FOSINOPRIL 10MG T,$12.00 
110646,DIGOXIN 0.125MG T,$3.00 
110647,DIGOXIN 0.25MG T,$3.00 
110652,DIGOXIN 0.25\5 5ML,$3.00 
110654,DILTIAZEM 30MG T,$5.50 
110656,DILTIAZEM 60MG T,$5.50 
110657,FELODIPINE 5MG 5,$5.50 
110662,DIPYRIDAM 25MG T,$5.50 
110668,DYPHYLL 160\15 15ML,$8.00 
110669,QUINAPRIL 10MG T,$5.50 
110673,DYPHYL GG 200 MG T,$5.50 
110679,FUROSEMIDE 40MG/5ML,$19.00 
110682,FUROSEMIDE 20MG T,$3.00 
110684,FUROSEMIDE 40MG T,$3.00 
110686,ISMN 20MG SRT,$12.00 
110687,PROMETH 6.25MG\5ML,$20.00 
110689,HYDRALAZ 10MG T,$4.50 
110691,HYDRALAZ 25MG T,$4.50 
110704,SOTALOL HCL 80MG T,$7.50 
110711,ISDN 10MG T,$12.00 
110713,ISDN 20MG T,$12.00 
110723,LORATADINE 10/10 10M,$0.50 
110726,LORATADINE 10MG TAB,$1.00 
110744,ISDN 60MG SRT,$12.00 
110746,METHYLDOP 250MG T,$7.50 
110749,METOLAZ 2.5MG T,$3.00 
110751,METOLAZ 5MG T,$3.00 
110753,METOPROL 100MG T,$5.50 
110754,METOPROL 50MG T,$5.50 
110756,MINOXIDIL 10MG T,$5.50 
110757,MINOXIDIL 2.5MG T,$10.00 
110758,NADOLOL 40MG T,$12.00 
110759,NIFEDIPINE 10MG C,$7.50 
110761,NTG 0.4MG\HR TDP,$10.50 
110767,NTG 0.2MG\HR TDP,$10.50 
110769,NTG 2% 1GM OI,$1.00 
110777,OXYMET NS 15ML,$11.00 
110778,PAPAV 150MG TRC,$3.00 
